MDTU,link
458,1.0872
459,1.08738
460,1.08659
461,1.08791
462,1.08791
463,1.08513
464,1.09043
465,1.09043
466,1.0811
467,1.09403
468,1.09014
469,1.09764
470,1.08995
471,1.09253
472,1.08808
473,1.09874
474,1.09947
475,1.09727
476,1.10195
477,1.10195
478,1.09433
479,1.10023
480,1.09962
481,1.09962
482,1.09864
483,1.09827
484,1.09827
485,1.10234
486,1.09755
487,1.09721
488,1.09773
489,1.1028
490,1.09704
491,1.10324
492,1.10324
493,1.10324
494,1.09773
495,1.10669
496,1.0997
497,1.10022
498,1.09911
499,1.09693
500,1.09954
501,1.09123
502,1.102
503,1.09259
504,1.09213
505,1.09307
506,1.09623
507,1.09623
508,1.09204
509,1.09635
510,1.09461
511,1.09258
512,1.09967
513,1.09226
514,1.10356
515,1.09946
516,1.09574
517,1.10277
518,1.0935
519,1.10031
520,1.09699
521,1.09571
522,1.10049
523,1.10049
524,1.09684
525,1.10245
526,1.09985
527,1.10247
528,1.09745
529,1.09929
530,1.09595
531,1.09407
532,1.10209
533,1.10217
534,1.09621
535,1.10044
536,1.09745
537,1.1037
538,1.1037
539,1.1037
540,1.1037
541,1.09815
542,1.10037
543,1.10011
544,1.10236
545,1.10221
546,1.09553
547,1.09922
548,1.09869
549,1.10062
550,1.09672
551,1.09397
552,1.09438
553,1.09734
554,1.09962
555,1.09937
556,1.10234
557,1.099
558,1.10646
559,1.0995
560,1.09866
561,1.09665
562,1.09898
563,1.10085
564,1.09156
565,1.09795
566,1.09651
567,1.1002
568,1.09504
569,1.09481
570,1.09752
571,1.09158
572,1.09109
573,1.0856
574,1.09848
575,1.09848
576,1.08866
577,1.09017
578,1.0948
579,1.0948
580,1.09105
581,1.09477
582,1.09211
583,1.09269
584,1.08758
585,1.09077
586,1.09125
587,1.09464
588,1.08483
589,1.0938
590,1.0938
591,1.0897
592,1.08797
593,1.09628
594,1.08974
595,1.09005
596,1.09558
597,1.09558
598,1.09558
599,1.09149
600,1.09445
601,1.08892
602,1.09374
603,1.0905
