MDTU,S_F
1,0.980363
2,0.992818
3,1.00374
4,0.999285
5,1.00398
6,1.00004
7,0.9964
8,1.00309
9,0.999831
10,0.999437
11,1.00127
12,0.998721
13,0.997172
14,1.00379
15,0.997913
16,0.998792
17,0.99566
18,1.0028
19,0.995854
20,0.99529
21,0.995113
22,1.00097
23,0.999022
24,1.00384
25,1.00015
26,0.999338
27,0.994541
28,0.996226
29,0.995265
30,1.00247
31,0.999815
32,1.00043
33,0.999042
34,1.00035
35,1.00034
36,0.999248
37,1.00191
38,1.00239
39,0.998526
40,0.994796
41,1.00214
42,1.00269
43,0.993496
44,1.00013
45,1.003
46,0.998132
47,0.998371
48,1.00109
49,0.999612
50,0.998654
51,1.00136
52,0.998919
53,0.999116
54,0.99679
55,0.997812
56,1.00058
57,0.996652
58,0.996259
59,0.99611
60,1.00273
61,0.999624
62,1.00332
63,0.998433
64,0.999052
65,1.00017
66,0.99742
67,0.997822
68,1.00313
69,0.999534
70,0.997073
71,1.00007
72,1.00329
73,1.00685
74,0.994691
75,1.00079
76,1.00475
77,1.00362
78,0.997194
79,1.00187
80,1.00257
81,1.00345
82,0.997441
83,0.996073
84,1.00033
85,1.00346
86,1.00065
87,0.992437
88,1.00168
89,0.995268
90,1.00311
91,0.995324
92,1.0014
93,1.00158
94,1.0002
95,1.00178
96,1
97,1.00547
98,0.998898
99,1.00035
100,1.0011
101,1.00062
102,1.00005
103,1.00086
104,0.99705
105,1.0006
106,0.997313
107,1.002
108,1.00121
109,0.998366
110,0.996458
111,0.997674
112,0.995736
113,0.999995
114,0.995185
115,1.00079
116,1.00153
117,0.999341
118,1.00264
119,1.00088
120,0.997137
121,1.0082
122,0.997147
123,0.997485
124,1.00019
125,0.997466
126,1.00198
127,0.9981
128,1.00067
129,0.997644
130,1.00206
131,1.00136
132,1.00202
133,0.99941
134,1.00155
135,0.997876
136,1.00571
137,0.998178
138,0.999406
139,1.00125
140,1.00126
141,0.997213
142,1.00003
143,1.00084
144,0.999041
145,1.00016
146,1.00061
147,1.00584
148,1.00145
149,1.00349
150,0.998614
151,0.99724
152,0.997423
153,1.00679
154,1.0011
155,1.00278
156,1.00129
157,0.997899
158,0.996977
159,1.00019
160,0.999338
161,1.00323
162,0.997072
163,0.994569
164,1.0001
165,0.997351
166,1.00271
167,1.00139
168,1.00212
169,0.998466
170,0.998885
171,1.00184
172,1.00182
173,0.998194
174,1.00121
175,0.999765
176,0.995425
177,0.999893
178,0.994625
179,0.998435
180,0.997794
181,0.999569
182,0.996583
183,0.998637
184,0.998301
185,0.998374
186,1.00167
187,1.00293
188,0.998304
189,0.996097
190,0.999583
191,0.998576
192,0.999758
193,0.996102
194,0.999777
195,1.00144
196,1.00054
197,0.993925
198,0.998774
199,0.995797
200,0.999315
