MDTU,S_B
1,0.517747
2,0.693443
3,0.794481
4,0.854908
5,0.904483
6,0.928391
7,0.959398
8,0.968388
9,0.978063
10,0.982921
11,0.997716
12,0.997716
13,0.997716
14,0.991859
15,0.989795
16,0.99556
17,0.994682
18,0.990922
19,0.994931
20,0.989172
21,0.995319
22,0.996758
23,0.998149
24,0.996802
25,0.998532
26,0.995328
27,1.00137
28,0.992987
29,0.995425
30,0.993031
31,0.991873
32,0.996769
33,0.992819
34,0.996895
35,1.00071
36,0.992093
37,0.985152
38,0.994217
39,0.983681
40,0.998968
41,0.996058
42,0.994897
43,1.00051
44,0.995174
45,0.991045
46,0.993391
47,0.997997
48,0.988772
49,0.999475
50,0.993752
51,0.991358
52,0.989799
53,0.999161
54,0.995804
55,1.00108
56,1.00609
57,1.0018
58,0.999332
59,1.00322
60,1.0007
61,1.00333
62,0.999597
63,1.00732
64,1.00246
65,1.00137
66,0.99718
67,1.00311
68,0.997948
69,0.994951
70,0.996909
71,1.01119
72,1.01119
73,0.99905
74,0.997698
75,1.002
76,0.998889
77,0.998078
78,1.00319
79,0.997605
80,0.997401
81,1.00058
82,1.0066
83,1.00071
84,1.0095
85,1.00375
86,0.998366
87,0.99627
88,0.996181
89,0.999585
90,0.998481
91,1.00691
92,1.0064
93,0.997962
94,0.994413
95,1.00023
96,0.996877
97,1.0003
98,0.999925
99,1.00046
100,0.996423
101,0.996423
102,1.00551
103,1.00025
104,1.00025
105,0.997811
106,1.00483
107,1.00861
108,0.998303
109,0.993219
110,0.993281
111,0.986462
112,0.997737
113,0.998217
114,1.0015
115,1.00396
116,1.00268
117,1.00031
118,0.998935
119,0.998935
120,1.00031
121,0.994317
122,0.989834
123,0.999449
124,1.00126
125,0.998818
126,0.994898
127,1.00771
128,1.00274
129,1.00735
130,1.00217
131,1.00189
132,0.996686
133,1.00023
134,1.00391
135,1.00052
136,1.00139
137,1.00139
138,1.00097
139,1.01097
140,0.999161
141,1.00449
142,1.00168
143,0.996144
144,0.999556
145,0.996366
146,0.99381
147,1.00054
148,1.00482
149,0.996449
150,0.996449
151,1.00411
152,1.00106
153,0.99706
154,0.997848
155,0.999739
156,0.999983
157,0.998994
158,0.997751
159,0.999494
160,0.993535
161,0.993859
162,0.990536
163,0.997414
164,0.994257
165,0.993457
166,0.998097
167,0.997489
168,0.996844
169,0.996355
170,1.00113
171,0.999202
172,0.997325
173,0.994884
174,0.99318
175,0.99318
176,0.992643
177,1.00034
178,1.00034
179,1.00528
