MDTU,min_width,max_width
1,0.112329,0.0781808
2,0.131133,0.0883839
3,0.141984,0.0940195
4,0.15052,0.0970716
5,0.158764,0.102159
6,0.163543,0.101877
7,0.161765,0.101955
8,0.165125,0.101265
9,0.160804,0.0999478
10,0.167183,0.101166
11,0.167309,0.102471
12,0.167309,0.102471
13,0.167309,0.102471
14,0.165519,0.10258
15,0.168312,0.103626
16,0.167084,0.102586
17,0.166864,0.101793
18,0.166189,0.101277
19,0.169791,0.103999
20,0.169711,0.10469
21,0.172876,0.103665
22,0.175593,0.106943
23,0.176663,0.108124
24,0.175048,0.108349
25,0.169566,0.107057
26,0.176505,0.105034
27,0.174723,0.106831
28,0.168204,0.103848
29,0.170889,0.10386
30,0.166983,0.104133
31,0.169047,0.106037
32,0.172684,0.105553
33,0.169372,0.106362
34,0.172323,0.104445
35,0.172308,0.104322
36,0.167317,0.104424
37,0.171373,0.106778
38,0.168574,0.105129
39,0.164809,0.102113
40,0.165882,0.102455
41,0.166838,0.103326
42,0.170057,0.102916
43,0.171548,0.104808
44,0.167817,0.104359
45,0.167377,0.104059
46,0.167769,0.102814
47,0.165383,0.10325
48,0.165649,0.102943
49,0.167714,0.103011
50,0.168277,0.102317
51,0.16956,0.103211
52,0.165087,0.103384
53,0.171238,0.103408
54,0.168549,0.103462
55,0.169271,0.105926
56,0.173382,0.104769
57,0.170134,0.105055
58,0.16951,0.102651
59,0.166969,0.102781
60,0.169353,0.104687
61,0.165553,0.10534
62,0.166699,0.104488
63,0.169246,0.103584
64,0.166502,0.103251
65,0.16606,0.103606
66,0.167833,0.102406
67,0.167833,0.104745
68,0.169075,0.104358
69,0.169031,0.105761
70,0.172396,0.107222
71,0.170452,0.102623
72,0.170452,0.102623
73,0.171985,0.103339
74,0.165969,0.101172
75,0.168219,0.103262
76,0.171015,0.103542
77,0.178351,0.10374
78,0.171182,0.105358
79,0.16926,0.103076
80,0.172482,0.102506
81,0.174016,0.102608
82,0.178283,0.104516
83,0.174679,0.104232
84,0.174593,0.107536
85,0.175471,0.104357
86,0.170526,0.104661
87,0.175121,0.105967
88,0.174428,0.105911
89,0.172773,0.103804
90,0.174174,0.102295
91,0.178035,0.106836
92,0.175559,0.105069
93,0.174562,0.103802
94,0.169954,0.105199
95,0.172424,0.103812
96,0.1704,0.10446
97,0.168847,0.106088
98,0.171326,0.107053
99,0.171613,0.104922
100,0.169087,0.10478
101,0.169087,0.10478
102,0.172276,0.104253
103,0.170714,0.104807
104,0.170714,0.104807
105,0.170156,0.105413
106,0.172035,0.105562
107,0.17035,0.103459
108,0.168969,0.104673
109,0.167659,0.105123
110,0.165978,0.103207
111,0.165295,0.103803
112,0.165049,0.104538
113,0.170638,0.106489
114,0.168345,0.10489
115,0.167231,0.104513
116,0.171205,0.105902
117,0.169346,0.103357
118,0.170915,0.103962
119,0.170915,0.103962
120,0.167918,0.102269
121,0.168865,0.105811
122,0.168019,0.103328
123,0.166906,0.10287
124,0.170757,0.102933
125,0.166079,0.102584
126,0.166917,0.102341
127,0.167211,0.10398
128,0.166231,0.105237
129,0.171725,0.10373
130,0.168551,0.103073
131,0.167063,0.10509
132,0.168277,0.105966
133,0.167561,0.102442
134,0.169629,0.103371
135,0.170204,0.105636
136,0.169323,0.104392
137,0.169323,0.104392
138,0.174313,0.105564
139,0.169694,0.104677
140,0.170531,0.103522
141,0.169317,0.102996
142,0.167149,0.100932
143,0.170861,0.101336
144,0.16889,0.10368
145,0.164801,0.104519
146,0.1694,0.104288
147,0.171727,0.103254
148,0.171503,0.104435
149,0.169339,0.104204
150,0.169339,0.104204
151,0.170793,0.104848
152,0.173121,0.103527
153,0.175458,0.105926
154,0.171139,0.104246
155,0.1705,0.103635
156,0.166885,0.103945
157,0.167151,0.102492
158,0.162694,0.100897
159,0.16324,0.103036
160,0.162599,0.101993
161,0.167942,0.103821
