t,cond_num
10,9.15186
20,8.28842
30,8.39815
40,8.37471
50,8.9673
60,8.65218
70,9.08831
80,8.3212
90,8.38091
100,8.58259
110,8.60133
120,8.76833
130,8.8904
140,8.60913
150,8.26721
160,9.31129
170,8.9687
180,8.50466
190,8.47986
200,8.58371
210,8.71456
220,8.45026
230,8.40116
240,8.44167
250,8.62296
260,8.70357
270,8.45846
280,8.47177
290,8.43795
300,8.58132
310,8.35011
320,8.48656
330,8.72252
340,8.41984
350,8.51364
360,8.26772
370,8.17376
380,8.22513
390,8.0482
400,8.29115
410,8.23873
420,8.9111
430,9.16053
440,8.93053
450,8.87527
460,9.07499
470,8.61992
480,8.15834
490,7.9824
500,8.23751
510,8.43038
520,8.12339
530,8.16602
540,8.13389
550,8.12327
560,8.06514
570,9.06799
580,9.04082
590,9.56853
600,8.87795
610,8.56538
620,8.25656
630,8.17911
640,8.14576
650,8.06448
660,7.93789
670,8.23468
680,8.53281
690,8.27121
700,8.44347
710,8.32717
720,8.24628
730,8.04725
740,8.145
750,8.15323
760,8.10305
770,8.13281
780,8.14493
790,8.29445
800,8.23032
810,8.33724
820,8.48664
830,8.40383
840,8.66876
850,8.52221
860,9.2759
870,8.68215
880,9.00061
890,8.70897
900,8.68221
910,8.57521
920,9.1944
930,9.21508
940,9.13632
950,8.82396
960,8.89469
970,8.35708
980,8.78397
990,8.56919
1000,8.60326
1010,8.51173
1020,8.47276
1030,8.68485
1040,8.98935
1050,8.55609
1060,8.56506
1070,8.98623
1080,8.95768
1090,8.42113
1100,8.72816
1110,8.77721
1120,9.1381
1130,8.92818
1140,9.02102
1150,9.08499
1160,8.67865
1170,8.96984
1180,9.06283
1190,8.99292
1200,8.89853
1210,8.75178
1220,8.56829
1230,8.51558
1240,8.71333
1250,8.41542
1260,8.51368
1270,8.48399
1280,8.12836
1290,8.31403
1300,8.20592
1310,8.22821
1320,8.6479
1330,8.38362
1340,9.31346
1350,8.95835
1360,8.52845
1370,8.57984
1380,8.85066
1390,9.19099
1400,8.8892
1410,8.53014
1420,8.42281
1430,8.64137
1440,8.57783
1450,8.38756
1460,8.90211
1470,8.55743
1480,8.69783
1490,8.58107
1500,8.58828
1510,8.46142
1520,8.3872
1530,8.40059
1540,8.29356
1550,8.27968
1560,8.13982
1570,8.16401
1580,8.40437
1590,8.556
1600,8.4646
1610,8.3102
1620,8.36812
1630,8.43128
1640,8.29053
1650,8.41542
1660,9.01962
1670,8.46019
1680,8.45858
1690,8.31872
1700,8.62944
1710,8.9955
1720,8.47386
1730,8.3159
1740,8.24534
1750,8.17806
1760,8.1596
1770,8.35458
1780,9.20918
1790,8.90324
1800,9.7443
1810,10.5485
1820,11.2089
1830,9.53453
1840,8.61782
1850,8.49771
1860,8.4981
1870,9.22898
1880,8.81741
1890,8.75701
1900,8.65842
1910,8.74164
1920,9.2177
1930,8.56899
1940,9.03062
1950,8.56792
1960,8.85155
1970,8.63315
1980,8.90966
1990,8.6675
2000,8.34227
2010,8.82171
2020,8.94773
2030,9.08728
2040,8.40449
2050,8.38346
2060,8.53919
2070,8.9446
2080,8.59142
2090,8.61868
2100,8.50482
2110,8.30201
2120,8.2357
2130,8.56323
2140,nan
