MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.768718,0.000734529,0.663702,-0.105016
20,	0.76548,-0.00081988,0.655869,-0.109612
30,	0.76766,-0.00232857,0.76443,-0.0032303
40,	0.770997,0.00239435,0.774915,0.00391839
50,	0.767005,-0.00165171,0.735847,-0.0311582
60,	0.769762,-0.000220826,0.727022,-0.0427407
70,	0.77012,-0.000185524,0.691052,-0.0790687
80,	0.769852,-0.00310898,0.746073,-0.0237796
90,	0.771195,-0.000418072,0.702654,-0.0685409
100,	0.764299,-0.00193029,0.639933,-0.124365
110,	0.762672,0.000984447,0.703746,-0.0589263
120,	0.769393,0.00195418,0.774556,0.00516318
130,	0.761607,0.000577582,0.696468,-0.065139
140,	0.767601,-0.00142576,0.655037,-0.112564
150,	0.766014,0.00233202,0.743947,-0.0220667
160,	0.771986,-0.00359184,0.800049,0.0280633
170,	0.769639,0.00215913,0.785029,0.0153899
180,	0.767078,-0.00097941,0.747392,-0.0196861
190,	0.766354,0.00195411,0.730253,-0.0361013
200,	0.758686,-0.00566157,0.680914,-0.0777724
210,	0.771687,-0.00247219,0.736099,-0.035588
220,	0.767317,-0.00183508,0.651785,-0.115532
230,	0.770555,0.00270962,0.696817,-0.0737383
240,	0.765856,-0.00427297,0.738814,-0.0270424
250,	0.766908,-0.00144893,0.825533,0.0586248
260,	0.767877,0.00440402,0.736779,-0.0310977
270,	0.769799,0.00254675,0.741098,-0.0287013
280,	0.76347,-0.0065155,0.680285,-0.0831846
290,	0.769224,-0.000180271,0.685694,-0.0835304
300,	0.764555,-0.00413569,0.689318,-0.0752373
310,	0.765977,0.000211246,0.788402,0.0224251
320,	0.767455,-0.00484109,0.748911,-0.0185438
330,	0.761221,-0.002179,0.810925,0.0497039
340,	0.769078,-0.00144412,0.672052,-0.0970258
350,	0.764351,-0.0029871,0.729775,-0.0345759
360,	0.767313,-0.00178555,0.750642,-0.0166706
370,	0.773623,-0.000538717,0.737682,-0.0359413
380,	0.769941,0.00137922,0.759772,-0.0101686
390,	0.76223,0.00188912,0.750433,-0.0117965
400,	0.769525,0.00299635,0.689359,-0.0801665
410,	0.769956,-2.35747e-05,0.793486,0.0235305
420,	0.768525,0.000549041,0.839374,0.0708494
430,	0.76599,-0.00306874,0.712943,-0.0530469
440,	0.771869,-0.00197085,0.760196,-0.0116729
450,	0.76994,-0.00414294,0.719589,-0.0503509
460,	0.767577,-0.00155124,0.690207,-0.0773704
470,	0.766498,0.00637545,0.689093,-0.077405
480,	0.765894,-0.00197648,0.756367,-0.00952637
490,	0.767947,0.00216791,0.730683,-0.0372645
500,	0.771056,0.00235714,0.749313,-0.021743
510,	0.766379,-4.47451e-05,0.761188,-0.00519084
520,	0.766903,-0.000792671,0.715209,-0.0516941
530,	0.767663,0.000974854,0.742374,-0.0252892
540,	0.763336,0.0015595,0.813271,0.0499348
550,	0.76747,0.00148072,0.733963,-0.0335074
560,	0.762889,0.00156494,0.706993,-0.0558961
570,	0.770574,-0.0034454,0.781893,0.0113185
580,	0.775865,-0.00385422,0.717048,-0.0588178
590,	0.76885,-0.000321246,0.774914,0.00606408
600,	0.764028,-0.000343284,0.839137,0.0751096
610,	0.76653,-0.0061978,0.736304,-0.0302258
620,	0.76893,-0.00158365,0.723943,-0.0449868
630,	0.762704,-0.000928243,0.702838,-0.0598652
640,	0.773431,0.00133333,0.749451,-0.0239803
650,	0.769841,0.000720162,0.777243,0.00740233
660,	0.771012,0.00258446,0.716143,-0.0548692
670,	0.774316,0.000166578,0.704946,-0.0693701
680,	0.765672,-0.00141715,0.702192,-0.0634796
690,	0.761585,0.000216749,0.654741,-0.106844
700,	0.765742,0.00343624,0.804307,0.0385647
710,	0.770327,0.000865659,0.725172,-0.0451554
720,	0.771504,-0.000556352,0.713103,-0.0584013
730,	0.769159,0.000371855,0.738499,-0.0306598
740,	0.769188,-0.00474576,0.743624,-0.0255635
750,	0.767105,0.00275429,0.738223,-0.0288823
760,	0.76877,-0.00343276,0.727983,-0.040787
770,	0.769233,-0.00541592,0.671741,-0.0974918
780,	0.762968,-0.00140833,0.825133,0.0621652
790,	0.772522,-0.00248591,0.713927,-0.0585946
800,	0.765563,0.00436347,0.788419,0.0228562
810,	0.76154,0.000373611,0.768242,0.00670157
820,	0.764504,-0.000131973,0.805558,0.0410543
830,	0.768709,0.00043889,0.681811,-0.0868972
840,	0.765426,0.00090609,0.681597,-0.083829
850,	0.765709,-0.00365127,0.790428,0.0247187
860,	0.767683,-0.000140166,0.711139,-0.0565432
870,	0.767396,0.000590849,0.794109,0.0267132
880,	0.768959,0.00225896,0.736119,-0.0328398
890,	0.767725,0.00298978,0.705231,-0.0624944
900,	0.767255,-0.00412661,0.761289,-0.0059663
910,	0.764161,-0.00136158,0.831108,0.0669474
920,	0.765548,-0.00456521,0.784282,0.0187337
930,	0.76865,0.00316673,0.751902,-0.0167485
940,	0.766443,0.0013887,0.815926,0.0494835
950,	0.763477,0.00255916,0.813403,0.0499268
960,	0.768594,0.00103419,0.701434,-0.0671602
970,	0.767829,-0.000905457,0.822949,0.0551205
980,	0.771614,0.00271637,0.754407,-0.017207
990,	0.767556,-0.0036785,0.694875,-0.0726816
1000,	0.765794,0.00115964,0.727413,-0.0383801
1010,	0.768804,-0.000106432,0.746101,-0.022703
1020,	0.773324,-0.00027656,0.762866,-0.0104583
1030,	0.770215,-0.00179837,0.717053,-0.0531617
1040,	0.771556,0.00193993,0.710088,-0.0614683
1050,	0.770954,0.00166542,0.786564,0.0156106
1060,	0.764566,0.000354145,0.765205,0.000639055
1070,	0.771597,0.00367213,0.70947,-0.0621272
1080,	0.772957,0.00110159,0.691171,-0.0817862
1090,	0.760956,-0.00131872,0.80707,0.0461138
1100,	0.773508,0.00105283,0.727793,-0.0457157
1110,	0.765868,0.00109333,0.69552,-0.0703476
1120,	0.774256,0.00123938,0.686798,-0.0874577
1130,	0.771705,0.00213387,0.796443,0.0247373
1140,	0.767998,-0.00269031,0.787177,0.0191782
1150,	0.769336,0.00235536,0.722993,-0.0463431
1160,	0.77131,-0.00235799,0.729103,-0.0422071
1170,	0.765818,0.00221662,0.774088,0.00827005
1180,	0.769213,-0.00116995,0.734309,-0.0349043
1190,	0.765786,0.00259784,0.754291,-0.0114951
1200,	0.769872,-0.00359836,0.782958,0.0130861
1210,	0.772441,-0.00182886,0.80032,0.0278796
1220,	0.7681,0.00278413,0.773115,0.00501453
1230,	0.769416,0.00085825,0.70811,-0.0613054
1240,	0.763962,0.00209474,0.767641,0.00367926
1250,	0.770915,-0.0013994,0.662173,-0.108742
1260,	0.769566,0.000678897,0.776649,0.00708248
1270,	0.767322,0.00111067,0.644012,-0.123311
1280,	0.769397,0.00205554,0.739387,-0.0300104
1290,	0.765556,-0.0031264,0.81609,0.0505348
1300,	0.760157,-0.00176746,0.76949,0.0093334
1310,	0.771244,-0.00127973,0.693383,-0.0778602
1320,	0.76316,4.72764e-06,0.79852,0.0353598
1330,	0.761991,-0.000560238,0.696891,-0.0651
1340,	0.769405,-0.000256413,0.684894,-0.0845111
1350,	0.768991,-0.00360145,0.771598,0.00260748
1360,	0.768432,0.00309931,0.749471,-0.0189607
1370,	0.764145,-0.00121686,0.67458,-0.0895646
1380,	0.769261,0.00147542,0.710603,-0.0586575
1390,	0.769857,1.91214e-06,0.776722,0.00686555
1400,	0.766815,-0.00108314,0.810974,0.0441598
1410,	0.76701,-0.00245089,0.810834,0.0438242
1420,	0.77303,0.000874992,0.684816,-0.0882148
1430,	0.767536,-0.00239025,0.749541,-0.0179952
1440,	0.772036,0.00296208,0.719912,-0.0521249
1450,	0.766215,0.000535261,0.815453,0.0492376
1460,	0.768753,0.000639581,0.742624,-0.0261283
1470,	0.773895,-0.00525783,0.685027,-0.0888672
1480,	0.764761,0.00268982,0.674088,-0.0906734
1490,	0.768623,-0.00295123,0.682207,-0.0864162
1500,	0.767663,-0.00306325,0.731653,-0.0360106
1510,	0.766079,-0.00378616,0.747886,-0.0181927
1520,	0.766041,0.000584757,0.743843,-0.0221974
1530,	0.766968,-0.00406059,0.750212,-0.0167554
1540,	0.765277,-0.000536025,0.687225,-0.0780529
1550,	0.767527,-0.00176234,0.689944,-0.0775828
1560,	0.773287,-0.00402665,0.783011,0.00972309
1570,	0.769189,0.00243279,0.687208,-0.0819805
1580,	0.768311,-0.00257515,0.791257,0.0229461
1590,	0.763095,0.0028113,0.8041,0.0410052
1600,	0.771244,0.000373173,0.639735,-0.131509
1610,	0.771816,-0.000512054,0.749822,-0.0219945
1620,	0.760424,0.00257907,0.771837,0.0114137
1630,	0.766951,-0.00135793,0.707648,-0.0593027
1640,	0.770544,-0.00133946,0.717643,-0.0529008
1650,	0.770228,-0.00349984,0.717676,-0.0525523
1660,	0.768031,-0.000442032,0.773619,0.00558795
1670,	0.7683,0.00289405,0.736622,-0.031678
1680,	0.765202,0.000921524,0.818271,0.0530688
1690,	0.771566,-0.00133674,0.691443,-0.0801231
1700,	0.765477,0.00415174,0.67319,-0.092287
1710,	0.76392,0.00291114,0.728537,-0.0353831
1720,	0.770827,-0.00301623,0.706488,-0.0643391
1730,	0.766169,0.00395796,0.76866,0.0024911
1740,	0.761514,-0.000368998,0.782051,0.0205368
1750,	0.76617,-0.00271011,0.737238,-0.0289316
1760,	0.767521,0.000331562,0.735088,-0.0324336
1770,	0.76753,-0.00141845,0.69826,-0.0692704
1780,	0.764616,-0.000308334,0.704314,-0.0603023
1790,	0.761008,-0.000987978,0.815006,0.0539981
1800,	0.76758,-0.000338629,0.797055,0.0294749
1810,	0.760927,0.00473554,0.711032,-0.0498955
1820,	0.764893,0.000346404,0.731322,-0.0335715
1830,	0.766254,-0.00310407,0.824807,0.058553
1840,	0.770516,0.00231693,0.697268,-0.0732479
1850,	0.76888,0.00142025,0.768646,-0.000234123
1860,	0.764615,0.000237559,0.736756,-0.0278596
1870,	0.766604,-0.00211598,0.756545,-0.010059
