MDTU,plaq_ss,plaq_st
266,1.02287,1.01621
267,1.02731,1.02487
268,1.01011,1.01896
269,1.0147,1.01959
270,1.01308,1.02527
271,1.01269,1.01419
272,0.998992,1.02294
273,1.01633,1.0059
274,1.02534,1.03007
275,1.02377,1.00631
276,1.04287,1.01354
277,1.0137,1.01436
278,0.991911,1.02357
279,1.02389,1.03565
280,0.991413,1.04007
281,0.999752,1.03491
282,0.995947,1.03474
283,0.995947,1.03474
284,1.01286,1.01504
285,1.01776,1.03392
286,1.01388,1.03441
287,0.979552,1.01423
288,1.04001,1.02515
289,1.04001,1.02515
290,1.02014,1.00243
291,1.02893,1.02393
292,1.02639,1.01686
293,1.01832,1.02257
294,1.02408,1.01693
295,1.01341,1.0169
296,1.01873,1.00565
297,1.02213,1.02024
298,1.01069,1.01049
299,1.0314,1.02289
300,1.01125,1.02171
301,1.0291,1.01349
302,1.04236,1.00951
303,1.01905,1.01323
304,1.01804,1.027
305,1.00146,1.01509
306,0.990412,1.03193
307,0.995716,1.03465
308,1.02768,1.02066
309,0.999373,1.01174
310,1.00569,1.0145
311,0.999105,1.01839
312,1.02315,1.02447
313,1.00506,1.01207
314,1.01131,1.03819
315,1.00677,1.01221
316,1.00677,1.01221
317,1.01312,1.00963
318,1.01616,1.01608
319,1.01616,1.01608
320,1.01509,1.01556
321,1.01537,1.02046
322,0.999745,1.02441
323,1.01962,1.01853
324,1.0271,1.01557
325,1.00563,1.02166
326,1.00563,1.02166
327,1.02414,1.01204
328,1.05353,1.02017
329,1.02521,1.00092
330,1.01826,1.02037
331,1.01077,1.01082
332,1.02061,1.02061
333,0.997565,1.02503
334,1.00696,1.01612
335,1.02068,1.02492
336,1.01883,1.00993
337,1.00937,1.03386
338,1.00937,1.03386
339,1.01456,1.02624
340,1.0222,1.00695
341,1.01704,1.01913
342,1.0042,1.0123
343,1.02681,1.02092
344,0.995748,1.02232
345,1.02304,1.02084
346,1,1.02144
347,1.02121,1.01307
348,1.03209,1.01456
349,1.01977,1.01241
350,1.01757,1.01494
351,1.00948,1.01977
352,0.999383,1.01411
353,1.01012,1.02633
354,1.00229,1.01822
355,1.01474,1.02788
356,1.03006,1.02452
357,1.00338,1.02015
358,1.01268,1.01612
359,1.01809,1.01626
360,0.99456,1.03
361,1.0137,1.01884
362,1.00438,1.02848
363,1.02314,1.01078
364,1.02737,1.02555
365,1.01731,1.01374
366,1.03949,1.02527
367,1.02731,1.01195
368,1.02414,0.999274
369,1.02038,1.01091
370,1.00706,1.01986
371,1.00578,0.999519
372,1.03316,1.02485
373,1.00729,1.01538
374,1.0238,1.01397
375,1.01829,1.01931
376,1.01829,1.01931
377,1.01147,1.01312
378,1.02561,1.01656
379,1.02078,1.01555
380,1.01903,1.02374
381,0.998936,1.01459
382,1.01312,1.02726
383,1.00922,1.00999
384,1.00413,1.02391
385,0.986569,1.00591
386,1.00382,1.03741
387,1.00509,1.02509
388,1.03404,1.01444
389,1.00727,1.01846
390,1.00727,1.01846
391,1.01519,1.02934
392,1.01768,1.01355
393,1.03735,1.01585
394,1.0354,1.0115
395,1.02108,1.01358
396,1.0169,1.01968
397,1.01638,1.04028
398,1.00556,1.02341
399,1.0306,1.02532
400,1.03586,1.02418
401,1.03495,1.03064
402,1.03091,1.01951
403,1.01175,1.02051
404,1.01206,1.02263
405,1.0057,1.02125
406,1.00441,1.02797
407,1.02114,1.01756
408,1.01754,1.03441
409,0.995286,1.02531
410,1.02437,1.02588
411,1.02345,1.01664
412,1.02879,1.03059
413,1.0148,1.02137
414,1.01368,1.03766
415,1.01747,1.01874
416,1.01155,1.01519
417,1.01599,1.02982
