MDTU,S_B
1,0.506444
2,0.679605
3,0.780739
4,0.841583
5,0.891677
6,0.916713
7,0.946424
8,0.955281
9,0.965471
10,0.971052
11,0.98432
12,0.98432
13,0.981141
14,0.981801
15,0.981801
16,0.983012
17,0.980978
18,0.986342
19,0.981379
20,0.982802
21,0.987171
22,0.98457
23,0.981686
24,0.983829
25,0.976779
26,0.986915
27,0.986915
28,0.981026
29,0.98354
30,0.989289
31,0.989289
32,0.989783
33,0.991538
34,0.990134
35,0.998937
36,0.99181
37,0.982756
38,0.987938
39,0.982898
40,0.987838
41,0.992687
42,0.985689
43,0.996048
44,0.993403
45,0.993368
46,0.990051
47,0.988001
48,0.977934
49,0.9874
50,0.987023
51,0.985675
52,0.98988
53,0.987493
54,0.997512
55,0.989161
56,0.997406
57,0.985369
58,0.990848
59,0.98852
60,0.987475
61,0.991393
62,0.992341
63,0.991874
64,0.993879
65,0.991395
66,0.98511
67,0.992508
68,0.996825
69,0.990059
70,0.996511
71,0.991795
72,0.992226
73,0.988375
74,0.987972
75,0.98792
76,0.98458
77,0.986459
78,0.999868
79,0.99126
80,0.991531
81,0.991531
82,0.991346
83,0.986795
84,0.989661
85,0.991694
86,0.993433
87,0.983847
88,0.997947
89,0.987086
90,0.989346
91,0.990528
92,0.991403
93,0.991403
94,0.982711
95,0.983884
96,0.984206
97,0.990639
98,0.981887
99,0.990005
100,0.98527
101,0.984361
102,0.985218
103,0.988622
104,0.988622
105,0.986389
106,0.991766
107,0.987709
108,0.988297
109,0.983679
110,0.986903
111,0.988878
112,0.984797
113,0.987411
114,0.986891
115,0.983958
116,0.989394
117,0.985724
118,0.984722
119,0.981935
120,0.988173
121,0.987433
122,0.990171
123,0.98929
124,0.984074
125,0.975912
126,0.978853
127,0.992835
128,0.988393
129,0.991352
130,0.982798
131,0.984386
132,0.979526
133,0.987523
134,0.979472
135,0.98335
136,0.975121
137,0.984745
138,0.981638
139,0.984589
140,0.991657
141,0.99492
142,0.992544
143,0.990717
144,0.993035
145,0.991195
146,0.980863
147,0.982265
148,0.985495
149,0.985806
150,0.974509
151,0.978345
152,0.98318
153,0.981743
154,0.985873
155,0.985857
156,0.988647
157,0.974788
158,0.984497
159,0.975962
160,0.975841
161,0.974966
162,0.984693
163,0.984032
164,0.986153
165,0.985998
166,0.985747
167,0.979292
168,0.982568
169,0.989695
170,0.989917
171,0.983865
172,0.988819
173,0.988623
174,0.985989
175,0.979977
176,0.976206
177,0.981505
178,0.988576
179,0.988218
180,0.979708
181,0.981062
182,0.983451
183,0.986147
184,0.981974
185,0.981974
186,0.988093
187,0.986957
188,0.985728
189,0.988699
190,0.986603
191,0.989605
192,0.991556
193,0.987102
194,0.98797
195,0.983112
196,0.978392
197,0.986424
198,0.982537
199,0.977001
200,0.983092
201,0.984992
202,0.996059
203,0.987594
204,0.996982
205,0.987367
206,0.988867
207,0.988433
208,0.977112
209,0.989185
210,0.985974
211,0.991229
212,0.982269
213,0.989352
214,0.977021
215,0.995785
216,0.984
217,0.987082
218,0.991451
219,0.989679
220,0.995928
221,0.999121
222,0.993986
223,0.991479
224,0.990454
225,0.989488
226,0.994256
227,0.994256
228,0.983805
229,0.988274
230,0.98552
231,0.985093
232,0.984754
233,0.978955
234,0.9872
235,0.987158
236,0.97909
237,0.98122
238,0.988312
239,0.986485
240,0.985327
241,0.985327
242,0.986118
243,0.982778
244,0.98508
245,0.992438
246,0.988655
247,0.981744
248,0.980374
249,0.977264
250,0.979433
251,0.983433
252,0.986404
253,0.988051
254,0.986693
255,0.986744
256,0.985454
257,0.987276
258,0.988787
259,0.98569
260,0.988913
261,0.997998
262,0.989582
263,0.987777
264,0.994817
265,0.986688
266,0.980887
267,0.991293
268,0.984168
269,0.984983
270,0.990917
271,0.993903
272,0.990947
273,0.987613
274,0.990189
275,0.979965
276,0.982687
277,0.983549
278,0.977624
279,0.985379
280,0.989095
281,0.989005
282,0.982497
283,0.982497
284,0.981806
285,0.98104
286,0.990619
287,0.985246
288,0.9897
289,0.9897
290,0.988121
291,0.983099
292,0.987314
293,0.985711
294,0.986296
295,0.983959
296,0.98919
297,0.994951
298,0.986241
299,0.981646
300,0.985021
301,0.988814
302,0.978191
303,0.983855
304,0.989328
305,0.98237
306,0.986114
307,0.981144
308,0.984387
309,0.989995
310,0.994675
311,0.991495
312,0.992172
313,0.98876
314,0.997899
315,0.991473
316,0.991473
317,0.993014
318,0.996598
319,0.996598
320,0.996735
321,0.992733
322,0.989362
323,0.986073
324,0.991422
325,0.989084
326,0.989084
327,0.983641
328,0.983921
329,0.987718
330,0.991019
331,0.978338
332,0.984408
333,0.977091
334,0.984422
335,0.984355
336,0.981797
337,0.985648
338,0.985648
339,0.99007
340,0.9902
341,0.995132
342,0.986665
343,0.986636
344,0.984701
345,0.989423
346,0.981037
347,0.988909
348,0.987144
349,0.986562
350,0.991956
351,0.988871
352,0.981435
353,0.982142
354,0.982044
355,0.985454
356,0.975216
357,0.978848
358,0.981183
359,0.987489
360,0.98831
361,0.985411
362,0.977874
363,0.971571
364,0.977246
365,0.976518
366,0.985578
367,0.988036
368,0.986073
369,0.986027
370,0.99372
371,0.990448
372,0.995942
373,0.992286
374,0.990126
375,0.993703
376,0.993703
377,0.993286
378,0.986453
379,0.986898
380,0.992338
381,0.989536
382,0.996841
383,1.00104
384,0.996079
385,0.988448
386,0.99148
387,0.983504
388,0.988691
389,0.993596
390,0.993596
391,0.987698
392,0.992502
393,0.993985
394,0.993997
395,0.987728
396,0.987521
397,0.98378
398,0.982311
399,0.989292
400,0.981297
401,0.987152
402,0.987842
403,0.987432
404,0.994447
405,0.99274
406,0.986157
407,0.996247
408,0.99213
409,0.980998
410,0.984447
411,0.982917
412,0.986073
413,0.988396
414,0.99228
415,0.989152
416,0.991106
417,0.992905
418,0.988452
419,0.993227
420,0.988231
421,0.991587
422,0.987918
423,0.988678
424,0.988678
425,0.983462
426,0.981013
427,0.977909
