MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.770918,0.00113208,0.492437,-0.278481
20,	0.766548,-4.05841e-05,0.512244,-0.254304
30,	0.769013,-0.000556791,0.558439,-0.210574
40,	0.768454,-0.00635577,0.502051,-0.266403
50,	0.766736,0.00210137,0.591702,-0.175034
60,	0.768569,-0.00138958,0.56969,-0.198879
70,	0.771582,-0.00125939,0.540206,-0.231376
80,	0.77226,-0.00273381,0.572753,-0.199507
90,	0.773445,-0.000617516,0.574474,-0.198971
100,	0.764156,0.0025937,0.561188,-0.202968
110,	0.764115,0.00355491,0.508789,-0.255326
120,	0.770504,0.0022838,0.486345,-0.284158
130,	0.768414,0.00321717,0.520425,-0.247989
140,	0.773976,-0.00123115,0.533508,-0.240467
150,	0.760526,-0.000532864,0.530723,-0.229803
160,	0.769762,-0.00144369,0.664724,-0.105039
170,	0.769069,-0.00212937,0.574746,-0.194322
180,	0.768168,-0.00233543,0.602566,-0.165602
190,	0.772775,0.00197766,0.499773,-0.273002
200,	0.769359,-0.00258481,0.535203,-0.234156
210,	0.774641,-0.00183737,0.468811,-0.305831
220,	0.768103,-0.00203393,0.54493,-0.223174
230,	0.768764,-0.000981889,0.481528,-0.287236
240,	0.770366,-0.00093809,0.620477,-0.149889
250,	0.767707,-0.00208187,0.507736,-0.25997
260,	0.772442,-0.00202073,0.480293,-0.292149
270,	0.772215,0.0010264,0.586992,-0.185223
280,	0.759798,0.000130624,0.592108,-0.16769
290,	0.771157,6.8868e-05,0.475264,-0.295893
300,	0.769061,-0.00106274,0.527797,-0.241263
310,	0.770463,0.00355724,0.526082,-0.244381
320,	0.771759,0.00288522,0.541381,-0.230379
330,	0.762298,-0.00114955,0.611456,-0.150842
340,	0.774728,0.00535656,0.537347,-0.237381
350,	0.765812,-0.00322283,0.548187,-0.217624
360,	0.766091,-0.00228203,0.562671,-0.20342
370,	0.76752,-0.00432136,0.609951,-0.15757
380,	0.772113,0.000698152,0.579531,-0.192582
390,	0.770011,0.00347839,0.520253,-0.249757
400,	0.766626,-0.00272327,0.555812,-0.210814
410,	0.773385,-0.00194822,0.579117,-0.194268
420,	0.767619,0.00552967,0.546719,-0.220901
430,	0.776847,0.00312335,0.534849,-0.241998
