t,cost
10,4.11067
20,5.10933
30,5.18933
40,5.71467
50,8.204
60,5.39467
70,5.03867
80,6.06
90,5.932
100,6.268
110,5.46
120,5.06133
130,4.91733
140,5.332
150,5.29733
160,4.836
170,5.11333
180,5.13867
190,5.004
200,5.124
210,4.996
220,5.32133
230,5.648
240,5.45867
250,4.98
260,5.05067
270,5.28667
280,5.68667
290,5.152
300,5.36667
310,4.852
320,4.77333
330,5.44533
340,7.79467
350,5.72133
360,5.044
370,5.196
380,5.30133
390,5.46
400,5.49733
410,5.552
420,5.99067
430,5.032
440,5.07733
450,5.69733
460,5.62267
470,6.17067
480,5.52533
490,5.432
500,5.204
510,4.81733
520,4.788
530,4.86267
540,4.98533
550,5.04933
560,6.35333
570,5.58933
580,5.90133
590,5.352
600,6.00133
610,6.18
620,5.56933
630,5.18133
640,5.7
650,4.75067
660,5.34
670,5.232
680,6.06
690,5.152
700,5.448
710,5.34533
720,5.588
730,5.656
740,5.224
750,5.44267
760,5.12
770,5.28
780,5.18267
790,5.50933
800,6.05067
810,5.448
820,5.61467
830,5.388
840,5.25867
850,5.06933
860,5.23733
870,5.02533
880,5.52933
890,6.408
900,5.20267
910,4.98933
920,5.996
930,5.58
940,5.25333
950,5.1
960,5.00533
970,4.80133
980,5.408
990,5.62133
1000,5.82
1010,5.664
1020,5.296
1030,5.34667
1040,5.43467
1050,5.69067
1060,6.20533
1070,5.528
1080,5.25733
1090,6.17333
1100,6.728
1110,5.352
1120,5.79333
1130,4.98267
1140,5.64133
1150,5.40933
1160,5.75867
1170,6.68933
1180,6.03733
1190,5.94667
1200,5.16133
1210,6.67867
1220,5.21067
1230,5.44933
1240,7.41867
1250,6.72267
1260,6.13067
1270,5.924
1280,4.988
1290,5.21867
1300,5.88933
1310,5.56133
1320,5.30133
1330,5.12533
1340,4.868
1350,4.548
1360,5.016
1370,5.35733
1380,4.69467
1390,4.86533
1400,5.052
1410,4.61733
1420,4.75333
1430,4.78667
1440,5.012
1450,4.904
1460,5.148
1470,4.92133
1480,5.112
1490,5.91067
1500,5.7
1510,5.09733
1520,4.66133
1530,4.57467
1540,5.28267
1550,4.90267
1560,4.75867
1570,5.04533
1580,5.316
1590,4.81333
1600,4.54267
1610,4.82267
1620,4.92
1630,4.61867
1640,4.96667
1650,5.08667
1660,5.50933
1670,4.69333
1680,4.98
1690,5.12133
1700,4.97467
1710,5.50133
1720,5.23733
1730,4.60933
1740,5.99467
1750,5.14
1760,5.16533
1770,5.36133
1780,4.82133
1790,4.992
1800,5.39733
1810,5.36
1820,5.37067
1830,5.064
1840,4.73733
1850,4.71333
1860,4.51067
1870,4.464
1880,4.51867
1890,4.66933
1900,4.55333
1910,4.804
1920,4.48533
1930,5.07867
1940,4.936
1950,4.70667
1960,4.48133
1970,5.01867
1980,4.796
1990,5.264
2000,4.948
2010,4.72267
2020,4.71333
2030,4.736
2040,5.29733
2050,6.02533
2060,5.25867
2070,4.72667
2080,4.60533
2090,5.05733
2100,4.78133
2110,5.232
2120,5.048
2130,5.22267
2140,4.60667
2150,4.564
2160,5.404
2170,4.94267
2180,4.848
