t,cg_iters
1,4988
2,6978
3,7683
4,8252
5,8627
6,9247
7,8669
8,8464
9,8508
10,9347
11,9126
12,9281
13,8378
14,8073
15,7662
16,7803
17,7391
18,6949
19,7413
20,7972
21,8472
22,8115
23,7806
24,8404
25,8922
26,7976
27,7394
28,7761
29,7547
30,7690
31,7515
32,8024
33,8774
34,8564
35,7911
36,9123
37,9921
38,9232
39,9733
40,10475
41,11208
42,14679
43,15431
44,16183
45,15247
46,13313
47,13208
48,11719
49,10387
50,11012
51,9529
52,9142
53,7449
54,6893
55,7682
56,7949
57,8271
58,9176
59,8432
60,7360
61,7055
62,7115
63,8011
64,8580
65,7693
66,7459
67,7770
68,7724
69,7646
70,7664
71,7535
72,7647
73,8671
74,9225
75,9852
76,10528
77,11051
78,10726
79,10046
80,10255
81,9576
82,9576
83,8554
84,8619
85,9030
86,9495
87,9867
88,9852
89,9937
90,9215
91,9071
92,10192
93,9760
94,9744
95,9369
96,8957
97,9123
98,9946
99,11441
100,11386
101,8630
102,8313
103,8299
104,8404
105,8465
106,9349
107,9220
108,7897
109,7213
110,7964
111,7999
112,7937
113,7694
114,7623
115,7547
116,7520
117,8228
118,7526
119,7261
120,6846
121,6924
122,7335
123,7056
124,6968
125,7512
126,7685
127,7707
128,7628
129,8253
130,8365
131,7764
132,8011
133,8107
134,8125
135,8739
136,8112
137,7601
138,7893
139,8947
140,9515
141,9715
142,9227
143,8782
144,8652
145,8194
146,8129
147,7085
148,6998
149,7191
150,8212
151,8624
152,8346
153,7774
154,6907
155,6919
156,7262
157,7025
158,7036
159,6843
160,7261
161,7363
162,7625
163,7840
164,7939
165,7440
166,7617
167,8167
168,7587
169,7869
170,7911
171,7586
172,7392
173,8155
174,8261
175,7897
176,7370
177,7953
178,7844
179,7615
180,7356
181,7407
182,7373
183,7548
184,7573
185,7119
186,7448
187,7865
188,7940
189,7941
190,8104
191,7740
192,7560
193,7212
194,7842
195,7526
196,7804
197,7621
198,7784
199,8519
200,9296
201,8558
202,7981
203,8006
204,7170
205,7120
206,6913
207,7502
208,7726
209,7843
210,7866
211,7402
212,7233
213,7762
214,8388
215,8357
216,8216
217,8065
218,8288
219,8688
220,10192
221,10616
222,10222
223,9100
224,8039
225,7624
226,7970
227,8335
228,8299
229,8325
230,8032
231,7729
232,7893
233,8437
234,8927
235,9161
236,8648
237,7587
238,7986
239,8148
240,8288
241,9194
242,8061
243,7352
244,7810
245,7824
246,7449
247,7026
248,7161
249,7535
250,7136
251,7200
252,7288
253,7431
254,7498
255,7698
256,7669
257,8660
258,8519
259,8009
260,7866
261,9042
262,9455
263,8539
264,8490
265,8492
266,7943
267,7617
268,7472
269,7567
270,7251
271,7684
272,8848
273,9805
274,10428
275,9882
276,9096
277,8125
278,8098
279,7875
280,8260
281,8226
282,8177
283,7754
284,7861
285,7428
286,7740
287,7633
288,7546
289,7751
290,7630
291,7631
292,7493
293,7728
294,7772
295,8297
296,8677
297,8708
298,8213
299,8714
300,8688
301,8117
302,7306
303,7470
304,7804
305,7497
306,7461
307,6925
308,6900
309,7507
310,7536
311,7921
312,7938
313,7723
314,6692
315,6989
316,7222
317,7192
318,7122
319,6873
320,7533
321,7697
322,6975
323,7208
324,7550
325,7714
326,8381
327,8321
328,8620
329,9940
330,11990
331,15324
332,17581
333,18247
334,14808
335,12739
336,10282
337,9202
338,9388
339,8960
340,8829
341,8759
342,8010
343,8525
344,8246
345,9004
346,9022
347,7927
348,8498
349,9630
350,9871
351,8211
352,8095
353,7786
354,7756
355,8029
356,8043
357,7593
358,7211
359,7172
360,7619
361,8441
362,8287
363,8250
364,8558
365,7658
366,7859
367,7757
368,8524
369,7955
370,7301
371,8282
372,8438
373,8117
374,7978
375,8173
376,8058
377,8464
378,8110
379,8657
380,8020
381,7061
382,7844
383,8066
384,8577
385,8809
386,9078
387,9053
388,8549
389,8650
390,8876
391,9386
392,9486
393,8686
394,7937
395,7482
396,8041
397,8347
398,8590
399,8175
400,8412
401,9161
402,9459
403,9197
404,8539
405,8474
406,7901
407,7719
408,8764
409,8652
410,8063
411,7990
412,7983
413,8361
414,8932
415,8991
416,9971
417,11619
418,10793
419,10486
420,9876
421,8977
422,8145
423,7784
424,8373
425,7816
426,7322
427,7111
428,7571
429,7122
430,7488
431,7331
432,7255
433,7994
434,8508
435,8592
436,8424
437,7662
438,7493
439,7347
440,8036
441,8637
442,8710
443,9003
444,10340
445,9205
446,8678
447,8710
448,8731
449,8311
450,8029
451,7311
452,8249
453,8708
454,8809
455,9036
456,8804
457,8361
458,7808
459,9045
460,10537
461,9872
462,11411
463,11694
464,10797
465,9428
466,10015
467,9572
468,8804
469,8517
470,7950
471,7489
472,8300
473,8793
474,8506
475,8491
476,9198
477,9549
478,9203
479,8546
480,8386
481,8512
482,8486
483,8610
484,8736
485,8695
486,8500
487,8024
488,8371
489,8042
490,7736
491,8045
492,7911
493,7595
494,7465
495,7475
496,7766
497,8063
498,8099
499,8273
500,8604
501,7670
502,7416
503,7879
504,7372
505,7156
506,7047
507,7338
508,7381
509,7263
510,7412
511,7179
512,6988
513,6901
514,6770
515,7448
516,7078
517,7173
518,7458
519,8160
520,7870
521,7833
522,7433
523,7338
524,7955
525,7490
526,7003
527,7015
528,7349
529,7583
530,7797
531,7589
532,6978
533,7543
534,7454
535,8041
536,7571
537,6977
538,7834
539,7731
540,7689
541,7525
542,7441
543,7592
544,7559
545,7398
546,6901
547,7165
548,8078
549,8266
550,8365
551,8956
552,8918
553,10218
554,10779
555,10974
556,10327
557,10857
558,9980
559,9993
560,10071
561,9155
562,9096
563,8636
564,7992
565,8235
566,8034
567,8017
568,9056
569,9282
570,9424
571,10477
572,10118
573,10276
574,9506
575,9320
