MDTU,|Tr(Lx)|,|Tr(Ly)|
1,0.0405947,0.00696325
2,0.0138676,0.0699828
3,0.046659,0.0508028
4,0.0417011,0.0815308
5,0.0417011,0.0815308
6,0.0789647,0.0263607
7,0.0789647,0.0263607
8,0.0494974,0.0394871
9,0.0494974,0.0394871
10,0.0434573,0.0675595
11,0.0494577,0.0440188
12,0.0494577,0.0440188
13,0.0152347,0.0872778
14,0.0152347,0.0872778
15,0.0152347,0.0872778
16,0.019301,0.0152633
17,0.0407062,0.0469542
18,0.0407062,0.0469542
19,0.0407062,0.0469542
20,0.0407062,0.0469542
21,0.0407062,0.0469542
22,0.0412214,0.0108296
23,0.0412214,0.0108296
24,0.0412214,0.0108296
25,0.0139104,0.0207785
26,0.0139104,0.0207785
27,0.0139104,0.0207785
28,0.0139104,0.0207785
29,0.0139104,0.0207785
30,0.0382287,0.0108021
31,0.0572686,0.0412869
32,0.0572686,0.0412869
33,0.0572686,0.0412869
34,0.0423658,0.0126065
35,0.051411,0.0312889
36,0.051411,0.0312889
37,0.0355293,0.0160372
38,0.0376637,0.0511597
39,0.0376637,0.0511597
40,0.0376637,0.0511597
41,0.0376637,0.0511597
42,0.0376637,0.0511597
43,0.0376637,0.0511597
44,0.0397109,0.0893217
45,0.0232305,0.134133
46,0.0425057,0.0682698
47,0.0425057,0.0682698
48,0.0425057,0.0682698
49,0.0295455,0.0577476
50,0.0216991,0.0829264
51,0.0216991,0.0829264
52,0.0491585,0.0609152
53,0.0598262,0.025577
54,0.0598262,0.025577
55,0.0598262,0.025577
56,0.0280468,0.0282588
57,0.0280468,0.0282588
58,0.0869484,0.0384514
59,0.127508,0.0268641
60,0.0728914,0.0277107
61,0.0995296,0.075423
62,0.100434,0.0641296
63,0.106522,0.0807331
64,0.106522,0.0807331
65,0.106522,0.0807331
66,0.0692198,0.0462688
67,0.0547355,0.0832682
68,0.0483814,0.0520882
69,0.0483814,0.0520882
70,0.0483814,0.0520882
71,0.0483814,0.0520882
72,0.0791719,0.074504
73,0.0791719,0.074504
74,0.0791719,0.074504
75,0.0865143,0.104913
76,0.0865143,0.104913
77,0.0498601,0.0989827
78,0.0498601,0.0989827
79,0.0132869,0.0716195
80,0.0268097,0.0798665
81,0.0065627,0.0725642
82,0.0146219,0.0662619
83,0.0146219,0.0662619
84,0.0684263,0.0851724
85,0.0684263,0.0851724
86,0.0684263,0.0851724
87,0.0684263,0.0851724
88,0.0684263,0.0851724
89,0.0684263,0.0851724
90,0.0550055,0.0808431
91,0.0550055,0.0808431
92,0.0550055,0.0808431
93,0.0550055,0.0808431
94,0.0550055,0.0808431
95,0.0906711,0.116656
96,0.0817863,0.0908661
97,0.0864394,0.07342
98,0.0339263,0.0937459
99,0.0339263,0.0937459
100,0.0339263,0.0937459
101,0.0198112,0.0738969
102,0.0443772,0.0536785
103,0.0603947,0.100509
104,0.0517245,0.0912482
105,0.0850626,0.0531588
106,0.0827057,0.103724
107,0.0691988,0.0936882
108,0.0440123,0.0719518
109,0.0440123,0.0719518
110,0.0639834,0.0625692
111,0.121169,0.0384888
112,0.121169,0.0384888
113,0.0678566,0.0378674
114,0.0739707,0.0272255
115,0.0739707,0.0272255
116,0.0616829,0.0208964
117,0.0386984,0.0112454
118,0.0386984,0.0112454
119,0.0436915,0.0260938
120,0.0498182,0.0387015
121,0.0523026,0.0547732
122,0.0523026,0.0547732
123,0.0134218,0.0305717
124,0.0134218,0.0305717
125,0.0229016,0.0247802
126,0.0612709,0.0235641
127,0.0218779,0.049171
128,0.0412645,0.0185487
129,0.0412645,0.0185487
130,0.0412645,0.0185487
131,0.0529475,0.0724258
132,0.0624801,0.0461123
133,0.0624801,0.0461123
134,0.0624801,0.0461123
135,0.0375737,0.0903493
136,0.0640587,0.0899778
137,0.0624861,0.102774
138,0.0624861,0.102774
139,0.0648855,0.101164
140,0.0648855,0.101164
141,0.0990436,0.106076
142,0.0992843,0.112482
143,0.0992843,0.112482
144,0.0709303,0.150505
145,0.0615519,0.154869
146,0.0453953,0.152036
147,0.0453049,0.128766
148,0.0541657,0.135397
149,0.0541657,0.135397
150,0.0349198,0.0955563
151,0.0682868,0.0822855
152,0.0264623,0.147081
153,0.065999,0.116143
154,0.065999,0.116143
155,0.078184,0.0845351
156,0.0562414,0.0425793
157,0.0562414,0.0425793
158,0.0125411,0.0295786
159,0.0306952,0.0623135
160,0.0354404,0.0605278
161,0.0354404,0.0605278
162,0.00482722,0.0579266
163,0.0129412,0.00720226
164,0.0483818,0.00339798
165,0.0483818,0.00339798
166,0.0483818,0.00339798
167,0.030973,0.0460481
168,0.030973,0.0460481
169,0.030973,0.0460481
170,0.030973,0.0460481
171,0.0615424,0.0384729
172,0.0556823,0.0751012
173,0.0556823,0.0751012
174,0.0611314,0.0327172
175,0.0333536,0.00354233
176,0.0459611,0.0520002
177,0.050152,0.111992
178,0.050152,0.111992
179,0.050152,0.111992
180,0.050152,0.111992
181,0.101231,0.13564
182,0.0527036,0.147862
183,0.0527036,0.147862
184,0.0575833,0.13294
185,0.0782001,0.0929955
186,0.0957172,0.0589648
187,0.0957172,0.0589648
188,0.0957172,0.0589648
189,0.0957172,0.0589648
190,0.0437323,0.0292096
191,0.0437323,0.0292096
192,0.0305319,0.0589949
193,0.0511982,0.0646949
194,0.0676116,0.0395983
195,0.101206,0.0937463
196,0.129914,0.0858028
197,0.129914,0.0858028
198,0.14351,0.0899934
199,0.120373,0.0904298
200,0.120373,0.0904298
201,0.120373,0.0904298
202,0.0848168,0.032269
203,0.140748,0.0420117
204,0.0867917,0.0625485
205,0.0809569,0.0499286
206,0.104398,0.056758
207,0.104398,0.056758
208,0.104398,0.056758
209,0.0739,0.055701
210,0.0739,0.055701
211,0.0887822,0.0162623
212,0.0844903,0.0118838
213,0.075093,0.0430506
214,0.0534912,0.0156411
215,0.0811934,0.0959291
216,0.0567925,0.0963313
217,0.0694076,0.109529
218,0.0694076,0.109529
219,0.10343,0.15223
220,0.0846461,0.12185
221,0.0846461,0.12185
222,0.151868,0.0869974
223,0.108214,0.0821623
224,0.0604442,0.0565838
225,0.0863202,0.0393772
226,0.0232839,0.0907486
227,0.121616,0.0960486
228,0.079275,0.013766
229,0.050069,0.0466113
230,0.050069,0.0466113
231,0.0533035,0.0821152
232,0.0730083,0.0672782
233,0.0684614,0.117068
234,0.0964691,0.0618651
235,0.0964691,0.0618651
236,0.107374,0.114313
237,0.136795,0.080093
238,0.118283,0.0566782
239,0.121295,0.0333994
240,0.136955,0.0530462
241,0.136955,0.0530462
242,0.143915,0.0399814
243,0.15729,0.0906757
244,0.187401,0.0667271
245,0.16302,0.0517177
246,0.170359,0.0494621
247,0.168742,0.0529393
248,0.143749,0.116143
249,0.143866,0.113771
