MDTU,plaq,Re(det),Im(det),link
135,3.0805,0.129569,0.0468147,0.13079
136,3.08244,0.133323,0.048798,0.12862
137,3.08795,0.131924,0.0467291,0.124678
138,3.08795,0.131924,0.0467291,0.124678
139,3.05604,0.119539,0.043372,0.116378
140,3.05604,0.119539,0.043372,0.116378
141,3.07628,0.127031,0.0462768,0.115721
142,3.07843,0.121879,0.04442,0.106785
143,3.07843,0.121879,0.04442,0.106785
144,3.0823,0.127066,0.0450076,0.115555
145,3.05802,0.118615,0.0425849,0.112309
146,3.02731,0.1087,0.03974,0.11529
147,3.06464,0.119631,0.0436965,0.114019
148,3.09158,0.132079,0.0477652,0.122636
149,3.09158,0.132079,0.0477652,0.122636
150,3.0816,0.130736,0.0464366,0.118609
151,3.10688,0.135918,0.0471799,0.118741
152,3.10073,0.133324,0.0475109,0.116272
153,3.09722,0.132467,0.0466781,0.11802
154,3.09722,0.132467,0.0466781,0.11802
155,3.10345,0.135247,0.0490255,0.118187
156,3.10645,0.14117,0.0485224,0.124202
157,3.10645,0.14117,0.0485224,0.124202
158,3.06982,0.124805,0.0450798,0.121384
159,3.04085,0.113024,0.0407559,0.117029
160,3.0462,0.111669,0.0403329,0.109639
161,3.0462,0.111669,0.0403329,0.109639
162,3.02158,0.100416,0.0371401,0.104354
163,3.03869,0.112927,0.0409494,0.113365
164,3.04129,0.116624,0.0430236,0.120982
165,3.04129,0.116624,0.0430236,0.120982
166,3.04129,0.116624,0.0430236,0.120982
167,3.04199,0.112685,0.0408413,0.113731
168,3.04199,0.112685,0.0408413,0.113731
169,3.04199,0.112685,0.0408413,0.113731
170,3.04199,0.112685,0.0408413,0.113731
171,3.03997,0.114456,0.0395433,0.110149
172,3.06735,0.120419,0.0436456,0.112272
173,3.06735,0.120419,0.0436456,0.112272
174,3.07389,0.123185,0.0443467,0.110795
175,3.08261,0.120752,0.0435938,0.103642
176,3.10379,0.13329,0.0492796,0.112668
177,3.14353,0.144593,0.0529454,0.115517
178,3.14353,0.144593,0.0529454,0.115517
179,3.14353,0.144593,0.0529454,0.115517
180,3.14353,0.144593,0.0529454,0.115517
181,3.14659,0.151851,0.0545355,0.114589
182,3.17748,0.170768,0.0595487,0.121334
183,3.17748,0.170768,0.0595487,0.121334
184,3.17459,0.166987,0.058848,0.117098
185,3.19511,0.178772,0.0619385,0.118088
186,3.20345,0.188902,0.0655817,0.131399
187,3.20345,0.188902,0.0655817,0.131399
