MDTU ,delta_S
1,-22.32
2,-0.2054
3,-0.2929
4,1.7
5,1.712
6,0.6116
7,0.4597
8,0.1998
9,1.525
10,2.503
11,0.4407
12,1.144
13,0.2997
14,1.168
15,2.164
16,1.296
17,1.387
18,1.064
19,1.425
20,0.7713
21,1.617
22,0.6434
23,1.269
24,0.7577
25,0.6864
26,0.7655
27,1.081
28,0.4664
29,0.5365
30,0.1711
31,0.3429
32,0.9549
33,1.805
34,-0.1249
35,1.581
36,2.353
37,-0.2962
38,0.2144
39,1.281
40,1.166
41,1.386
42,0.6709
43,0.7449
44,0.5738
45,0.8863
46,0.2708
47,2.194
48,0.7943
49,-0.08338
50,-0.5006
51,0.6679
52,-0.08347
53,-1.148
54,0.5726
55,0.9633
56,-0.3867
57,1.463
58,0.7045
59,0.2771
60,0.4991
61,1.468
62,0.1684
63,-0.0201
64,0.2224
65,1.164
66,1.438
67,0.7064
68,1.534
69,0.9843
70,0.3356
71,0.4527
72,-0.01207
73,1.112
74,0.4662
75,0.551
76,1.744
77,-0.1881
78,1.299
79,0.7253
80,0.899
81,-0.03746
82,1.567
83,0.9163
84,-0.4247
85,1.164
86,1.277
87,1.88
88,0.9119
89,0.2228
90,0.194
91,0.6559
92,0.5446
93,0.4208
94,0.9532
95,-0.09765
96,0.2941
97,-0.1171
98,-0.5343
99,1.244
100,1.374
101,0.8559
102,0.3049
103,1.153
104,0.2431
105,-0.4325
106,0.04564
107,0.2482
108,0.1905
109,0.6074
110,0.1794
111,0.2361
112,0.3534
113,0.04395
114,0.4678
115,0.7913
116,1.477
117,0.824
118,0.5843
119,0.1864
120,-0.06245
121,-0.8361
122,0.3527
123,0.5808
124,0.6331
125,0.05951
126,-0.5632
127,-0.6251
128,0.2484
129,1.526
130,0.6306
131,-0.8455
132,0.868
133,0.8861
134,0.2571
135,0.1581
136,-0.3482
137,0.9208
138,1.63
139,-1.468
140,1.779
141,0.2809
142,0.7027
143,1.065
144,0.1139
145,-0.9429
146,-0.3075
147,0.6334
148,1.146
149,1.173
150,-0.09486
151,-0.0493
152,-0.1672
153,0.6899
154,1.257
155,-0.2719
156,-0.3267
157,0.7485
158,-0.8987
159,-1.271
160,-0.02064
161,0.5106
162,0.1996
163,0.3374
