t,deltaS
1,-4.675
2,-1.519
3,-0.2804
4,-0.447
5,-0.3049
6,-0.06368
7,-0.2374
8,-0.009471
9,-0.01208
10,-0.06299
11,-0.3089
12,0.2033
13,0.2597
14,0.0357
15,0.1391
16,0.0388
17,0.03216
18,-0.06768
19,-0.03957
20,0.2359
21,-0.2961
22,-0.2612
23,-0.001705
24,0.01859
25,0.04645
26,-0.07911
27,-0.04897
28,0.007163
29,-0.104
30,-0.04181
31,0.2151
32,0.4687
33,0.1992
34,0.1199
35,0.03049
36,0.05398
37,0.2075
38,-0.01632
39,-0.1532
40,0.1942
41,-0.04047
42,-0.0472
43,0.007179
44,-0.1832
45,0.1718
46,0.05864
47,-0.08671
48,0.08351
49,-0.1535
50,0.164
51,-0.1058
52,0.076
53,0.009313
54,0.04079
55,0.04624
56,-0.05732
57,-0.1219
58,0.3095
59,-0.2481
60,0.1317
61,0.02154
62,0.1878
63,-0.3047
64,-0.1844
65,0.1392
66,0.09691
67,-0.2426
68,0.0709
69,-0.1066
70,-0.02107
71,-0.1537
72,-0.2614
73,0.324
74,0.1277
75,0.1406
76,-0.06775
77,0.02868
78,0.06276
79,0.3603
80,0.2831
81,0.06516
82,0.093
83,0.03749
84,-0.02559
85,-0.4756
86,0.1406
87,0.08012
88,-0.08423
89,-0.04468
90,-0.08685
91,0.3081
92,-0.4848
93,0.1164
94,0.07488
95,0.2223
96,0.1526
97,0.1313
98,0.1805
99,-0.000761
100,-0.1768
101,0.2455
102,0.2783
103,0.2313
104,0.1067
105,0.01242
106,-0.07178
107,-0.2213
108,0.04707
109,0.008494
110,-0.1108
111,-0.1218
112,0.1651
113,-0.1467
114,0.003503
115,-0.1021
116,0.3175
117,-0.1459
118,-0.07717
119,0.1215
120,0.1577
121,-0.289
122,0.3196
123,-0.4467
124,-0.2936
125,0.06834
126,0.01353
127,-0.1675
128,0.1127
129,-0.0981
130,-0.2587
131,-0.01121
132,0.1481
133,-0.3103
134,0.2854
135,0.2307
136,-0.09066
137,-0.1316
138,-0.01085
139,0.1605
140,0.1869
141,0.08453
142,-0.02795
143,0.1535
144,-0.0052
145,0.0913
146,0.1293
147,-0.2502
148,0.04963
149,0.2637
150,-0.03807
151,-0.4371
152,0.04152
153,-0.03982
154,0.1466
155,-0.4648
156,0.1741
157,0.04672
158,-0.06129
159,-0.1546
160,0.08526
161,-0.01458
162,-0.2915
163,0.04529
164,-0.1456
165,0.3175
166,0.01899
167,0.01306
168,-0.2096
169,0.07986
170,0.007161
171,0.1918
172,-0.1061
173,0.1798
174,0.06386
175,0.03169
176,-0.04396
177,0.1952
178,-0.2413
179,0.2072
180,0.07258
181,-0.02048
182,-0.2507
183,0.001208
184,-0.1008
185,0.08653
186,-0.003257
187,-0.08541
188,0.09772
189,-0.1775
190,0.3163
191,0.3401
192,0.1311
193,0.113
194,0.2586
195,-0.07439
196,-0.173
197,-0.03228
198,-0.1647
199,0.1114
200,-0.01969
201,-0.06074
202,0.07997
203,0.03718
204,-0.02282
205,-0.09826
206,0.05648
207,0.1145
208,0.1775
209,-0.505
210,0.02365
211,-0.3949
212,0.07698
213,0.4292
214,0.03399
215,-0.1262
216,0.01236
217,0.4337
218,0.003742
219,0.1046
220,0.2345
221,-0.4052
222,0.1502
223,0.09343
224,-0.2032
225,0.2973
226,0.04773
227,0.01981
228,-0.009882
229,0.1283
230,-0.09073
231,-0.01253
232,0.07405
233,-0.3006
234,-0.07098
235,0.05197
236,-0.1261
237,0.2791
238,0.141
239,-0.09507
240,0.15
241,0.1332
242,-0.02741
243,0.1792
244,-0.1074
245,-0.06864
246,0.07674
247,0.1512
248,-0.2271
249,-0.03618
250,0.09828
251,0.2146
252,-0.1361
253,-0.01855
254,-0.1231
255,-0.02618
256,-0.2222
257,0.3632
258,-0.03625
259,0.1828
260,-0.1245
261,-0.06282
262,0.008065
263,-0.1226
264,-0.07312
265,0.02951
266,-0.3468
267,-0.03284
268,-0.1613
269,0.0196
270,-0.004082
271,-0.2523
272,0.4034
273,-0.1014
274,-0.2259
275,0.05051
276,-0.1841
277,-0.08304
278,0.2895
279,0.1768
280,-0.1426
281,-0.1532
282,0.05827
283,0.02349
284,0.1356
285,-0.3285
286,-0.09803
287,-0.1189
288,-0.06082
289,0.3369
290,-0.04377
291,-0.2421
292,-0.2417
293,-0.2509
294,0.2283
295,0.06164
296,-0.05051
297,-0.03912
298,0.4244
299,0.027
300,0.2733
301,-0.5183
302,0.04572
303,0.009377
304,-0.06695
305,0.02067
306,0.07119
307,-0.1091
308,-0.01313
309,-0.02116
310,-0.0005727
311,0.005494
312,-0.1448
313,0.1544
314,-0.0104
315,0.01573
316,-0.009797
317,-0.09707
318,-0.2268
319,0.2739
320,0.3404
321,0.2195
322,0.06037
323,0.1566
324,0.1047
325,-0.03794
326,0.1892
327,0.09374
328,0.08876
329,-0.3084
330,-0.007981
331,-0.1932
332,-0.119
333,0.238
334,-0.1452
335,-0.2411
336,-0.09562
337,0.1545
338,-0.07059
339,0.01899
340,0.2995
341,-0.06372
342,0.1379
343,0.1915
344,0.1613
345,0.1994
346,-0.07606
347,-0.3817
348,-0.07802
349,0.2186
350,-0.05073
351,0.05393
352,0.01081
353,-0.03679
354,0.1564
355,-0.168
356,0.1935
357,0.05626
358,0.2673
359,-0.0582
360,-0.05013
361,-0.1038
362,-0.0517
363,0.06326
364,0.3409
365,-0.05525
366,-0.1819
367,-0.06009
368,-0.001562
369,0.09493
370,0.2877
371,-0.02245
372,-0.1003
373,-0.09658
374,-0.1766
375,0.1762
376,-0.2704
377,0.104
378,0.06897
379,-0.01443
380,-0.05376
381,-0.3104
382,0.1735
383,-0.1384
384,0.02511
385,0.3711
386,-0.04002
387,-0.01131
388,-0.01943
389,-0.2252
390,0.137
391,0.2025
392,-0.09332
393,0.1026
394,-0.2992
395,0.1583
396,-0.1575
397,-0.1266
398,0.02711
399,-0.06818
400,0.182
401,0.1478
402,-0.01842
403,0.1564
404,0.04117
405,0.07411
406,0.1593
407,0.0517
408,0.176
409,-0.005779
410,-0.1249
411,0.1457
412,0.2007
413,0.0368
414,-0.07993
415,0.009739
416,0.1191
417,0.2249
418,0.07416
419,0.2052
420,-0.04229
421,-0.08964
422,0.08163
423,0.145
424,-0.2565
425,0.2141
426,-0.08936
427,0.05343
428,-0.2021
429,-0.04047
430,0.2118
431,-0.1055
432,0.3318
433,0.0719
434,0.1386
435,-0.06347
436,-0.06682
437,-0.1525
438,0.1847
439,-0.148
440,0.04635
441,-0.1901
442,-0.122
443,0.08253
444,-0.009641
445,0.1287
446,-0.2718
447,0.2027
448,-0.2513
449,-0.02417
450,0.2528
451,-0.05034
452,0.05543
453,-0.07449
454,-0.02999
455,0.1027
456,0.3739
457,-0.1844
458,0.06661
459,-0.1741
460,0.1086
461,0.3025
462,0.09097
463,-0.07815
464,-0.002946
465,0.04291
466,-0.4825
467,0.1221
468,-0.1872
469,-0.2685
470,0.07552
471,-0.3537
472,0.2585
473,-0.06128
474,-0.08161
475,0.0891
476,-0.1493
477,0.07664
478,-0.09757
479,0.1307
480,-0.1474
481,0.01096
482,0.08221
483,0.03191
484,-0.06618
485,0.1594
486,-0.0486
487,0.03018
488,0.1771
489,-0.2055
490,-0.1441
491,-0.217
492,0.11
493,-0.04184
494,-0.134
495,0.1449
496,-0.1559
497,0.2001
498,-0.3833
499,0.4294
500,-0.04453
501,0.1831
502,-0.1877
503,0.1998
504,-0.04279
505,-0.01001
506,-0.0769
507,0.1651
508,0.3914
509,-0.2049
510,0.302
511,-0.0697
512,-0.0166
513,-0.4172
514,-0.1111
515,0.1672
516,0.1541
517,0.2804
518,0.07519
519,0.06509
520,0.1316
521,-0.04572
522,0.2425
523,-0.07855
524,0.1062
525,0.2624
526,0.03948
527,0.3439
528,-0.1066
529,-0.06507
530,0.03736
531,0.2391
532,-0.1874
533,0.0003783
534,-0.2032
535,0.1342
536,-0.1953
537,-0.01871
538,0.1158
539,0.0848
540,0.1088
541,0.4156
542,-0.1929
543,0.2963
544,0.04628
545,0.2985
546,0.3239
547,-0.1645
548,0.4518
549,-0.05643
550,0.07628
551,0.2702
552,-0.254
553,0.005131
554,-0.1402
555,0.002869
556,-0.2138
557,0.1312
558,0.3145
559,-0.1618
560,-0.08131
561,0.02681
562,-0.3555
563,0.2809
564,0.1005
565,-0.2371
566,0.3344
567,0.1332
568,-0.03942
569,0.1492
570,-0.04407
571,0.07616
572,0.04585
573,-0.3154
574,0.1643
575,0.07409
576,0.03414
577,-0.3163
578,-0.2299
579,-0.01403
580,-0.05612
581,-0.2493
582,-0.1188
583,-0.1893
584,-0.001149
585,0.1024
586,0.02037
587,-0.1038
588,0.1769
589,-0.2533
590,0.05577
591,0.1614
592,0.0455
593,-0.06929
594,0.06635
595,-0.2046
596,0.05068
597,0.1235
598,-0.08426
599,-0.1019
600,0.2917
601,-0.05559
602,-0.06257
603,0.00396
604,0.04528
605,0.3274
606,-0.04784
607,0.1781
608,0.08258
609,-0.1361
610,-0.3438
611,0.1879
612,-0.2997
613,0.03388
614,-0.0609
615,0.2173
616,-0.1389
617,-0.01479
618,0.126
619,-0.02526
620,0.2459
621,-0.2759
622,-0.2384
623,-0.1071
624,-0.1615
625,0.06572
626,0.08724
627,0.1969
628,-0.08072
629,-0.05705
630,0.3557
631,0.07403
632,0.1652
633,-0.03985
634,-0.05084
635,-0.1654
636,-0.01928
637,-0.1193
638,-0.07071
639,-0.1037
640,-0.1289
641,-0.03329
642,-0.1537
643,-0.1039
644,-0.05031
645,-0.2116
646,-0.1641
647,0.05003
648,0.03452
649,0.07679
650,0.1447
651,-0.01739
652,-0.1279
653,0.04482
654,-0.2577
655,-0.00334
656,-0.3019
657,-0.122
658,0.0008077
659,0.26
660,-0.3357
661,0.06686
662,0.1326
663,-0.1112
664,0.2282
665,-0.1258
666,0.148
667,0.005913
668,-0.02301
669,-0.0927
670,0.08987
671,0.04111
672,-0.3062
673,0.2139
674,0.2792
675,0.108
676,0.4731
677,-0.08623
678,-0.2502
679,0.1492
680,0.06214
681,-0.03018
682,-0.05341
683,-0.4697
684,0.08016
685,-0.007126
686,0.2675
687,-0.02055
688,0.07596
689,-0.03997
690,0.1265
691,0.06294
692,0.07267
693,-0.06218
694,-0.08707
695,-0.2593
696,0.107
697,-0.03644
698,0.2073
699,-0.05372
700,0.2405
701,0.1133
702,0.09193
703,-0.02473
704,0.1364
705,0.225
706,0.3111
707,-0.07346
708,0.2041
709,-0.1101
710,0.07717
711,0.2085
712,0.01553
713,0.4168
714,-0.09787
715,-0.1898
716,0.2264
717,0.2957
718,-0.3971
719,0.2292
720,0.0542
721,0.3366
722,-0.01631
723,0.09302
724,-0.05377
725,0.09612
726,-0.001303
727,0.007533
728,0.08328
729,0.1006
730,0.2608
731,-0.1624
732,0.2496
733,-0.06646
734,0.1227
735,-0.04369
736,0.1037
737,-0.0671
738,0.05616
739,-0.143
740,-0.3064
741,-0.2327
742,-0.2527
743,0.1166
744,-0.01022
745,0.1741
746,0.07298
747,-0.1512
748,0.2163
749,-0.06736
750,-0.08843
751,0.2989
752,-0.09151
753,0.008113
754,-0.171
755,0.1765
756,-0.003194
757,-0.06968
758,-0.3603
759,-0.06657
760,0.04217
761,-0.01464
762,-0.2284
763,-0.1396
