MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.76836,0.000750928,0.687889,-0.0804715
20,	0.765581,-0.00101643,0.670912,-0.0946694
30,	0.767727,-0.000449262,0.804626,0.0368999
40,	0.770383,-0.00360553,0.721666,-0.0487167
50,	0.764191,0.000632553,0.726792,-0.0373991
60,	0.770014,0.00505065,0.800794,0.0307802
70,	0.771662,0.00300112,0.752611,-0.0190509
80,	0.771097,-0.000380394,0.752188,-0.0189091
90,	0.769414,0.0007576,0.819596,0.0501816
100,	0.768158,-0.00326203,0.79368,0.0255222
110,	0.762943,-0.00410492,0.757095,-0.00584742
120,	0.771673,-0.00308071,0.743281,-0.0283922
130,	0.765028,0.000256279,0.824671,0.0596428
140,	0.769822,0.0024679,0.721561,-0.0482609
150,	0.764764,-0.00248917,0.681578,-0.0831865
160,	0.768905,-0.000202098,0.750419,-0.0184858
170,	0.767964,-0.00045547,0.820908,0.0529433
180,	0.768931,0.000766878,0.751326,-0.0176049
190,	0.763903,0.00111001,0.711215,-0.0526877
200,	0.76473,-0.000777292,0.775745,0.0110151
210,	0.771854,-0.000391501,0.720052,-0.051802
220,	0.772245,-0.00184453,0.724174,-0.0480713
230,	0.772269,0.000432107,0.66289,-0.109378
240,	0.764657,-0.0011806,0.763253,-0.00140452
250,	0.767223,-6.10172e-05,0.747404,-0.0198193
260,	0.769928,0.001178,0.742993,-0.0269348
270,	0.767782,-0.00119509,0.748511,-0.0192714
280,	0.765418,0.00362917,0.803705,0.0382873
290,	0.768798,0.000788141,0.693642,-0.0751561
300,	0.768825,-0.00109801,0.754086,-0.0147386
310,	0.768663,-0.00355353,0.688635,-0.080028
320,	0.765189,0.00137537,0.853654,0.0884649
330,	0.760376,-0.00389092,0.790553,0.0301765
340,	0.76782,-0.000402744,0.731379,-0.0364405
350,	0.763017,0.00041065,0.726433,-0.0365837
360,	0.764938,0.000931392,0.770424,0.00548604
370,	0.766686,0.00346967,0.727755,-0.0389301
380,	0.771371,0.00469212,0.772036,0.000664691
390,	0.76273,0.00179196,0.785466,0.0227352
400,	0.770078,0.000204724,0.769064,-0.00101351
410,	0.769449,-0.00144716,0.756298,-0.0131508
420,	0.770598,-0.000516759,0.833773,0.0631744
430,	0.767788,0.00311537,0.744001,-0.0237869
440,	0.772703,-0.00143976,0.693249,-0.0794538
450,	0.767613,0.00038969,0.730897,-0.0367162
460,	0.760154,0.00163832,0.915243,0.15509
470,	0.769048,-0.000642401,0.777282,0.0082347
480,	0.767155,-0.000432388,0.715956,-0.0511984
490,	0.774391,0.00051151,0.723288,-0.0511024
500,	0.770692,0.000953306,0.885012,0.11432
510,	0.767281,-0.00354196,0.823941,0.05666
520,	0.766874,0.00264769,0.743751,-0.0231233
530,	0.766052,0.000574185,0.773654,0.00760212
540,	0.766586,-0.00368651,0.857715,0.091129
550,	0.767599,-3.15564e-05,0.732561,-0.0350377
560,	0.764328,-0.00389017,0.746718,-0.01761
