t,walltime
10,39.75
20,19.79
30,19.13
40,19.59
50,20.28
60,18.8
70,18.32
80,18.98
90,19.96
100,18.93
110,18.84
120,19.13
130,18.78
140,19.91
150,17.63
160,17.76
170,16.77
180,16.75
190,17.29
200,18.07
210,17.31
220,16.97
230,16.91
240,16.98
250,17.29
260,17.33
270,17.09
280,17.1
290,17.04
300,16.93
310,16.58
320,17.25
330,17.43
340,16.84
350,16.86
360,16.66
370,16.87
380,16.66
390,17.15
400,17.51
410,17.32
420,16.76
430,16.24
440,16.36
450,16.88
460,17.08
470,17.35
480,17.78
490,18.23
500,18.07
510,18.9
520,19.52
530,21.16
540,21.58
550,20.85
560,20.79
570,20.23
580,20.16
590,19.91
600,19.54
610,19.13
620,19.57
630,20.47
640,19.71
650,19.11
660,19.82
670,18.95
680,19.47
690,21.25
700,22.02
710,22.36
720,22.35
730,21.61
740,22.7
750,22.02
760,22.89
770,22.47
780,23.02
790,24.1
800,22.47
810,22.06
820,21.12
830,21.23
840,19.87
850,20.82
860,20.31
870,20.15
880,20.48
890,19.75
900,19.26
910,19.57
920,19.59
930,19.66
940,18.6
950,19.42
960,19.19
970,18.67
980,18.97
990,19.56
1000,20.45
1010,21.63
1020,21.85
1030,21.68
1040,21.8
1050,21.59
1060,23.16
1070,25.97
1080,26.21
1090,25.48
1100,27.36
1110,30.26
1120,30.54
1130,27.69
1140,27.82
1150,26.52
1160,27.2
1170,26.97
1180,28.4
1190,27.81
1200,28.34
1210,27.16
1220,25.59
1230,25.33
1240,24.1
1250,23.53
1260,23.33
1270,22.9
1280,22.9
1290,22.74
1300,21.72
1310,20.62
1320,20.88
1330,21.11
1340,23.16
1350,23.17
1360,24.53
1370,24.38
1380,24.21
1390,24.82
1400,25.57
1410,27.58
1420,26.76
1430,26.78
1440,25.48
1450,26.67
1460,25.63
1470,26.14
1480,28.94
1490,30.1
1500,26.37
1510,25.16
1520,25.26
1530,24.6
1540,25.87
1550,26.92
1560,26.95
1570,27.58
1580,29.87
1590,27.11
1600,24.65
1610,24.02
1620,24.4
1630,24.94
1640,23.56
1650,21.74
1660,20.82
1670,21.41
1680,21.42
1690,20.38
1700,21.11
1710,21.62
1720,21.11
1730,23.36
1740,24.51
1750,24.55
1760,24.97
1770,23.02
1780,22.09
1790,22.01
1800,21.1
1810,19.08
1820,19.08
1830,18.42
1840,18.62
1850,18
1860,17.93
1870,18.23
1880,18.31
1890,18.08
1900,17.47
1910,17.77
1920,17.94
1930,17.84
1940,17.94
1950,17.7
1960,16.97
1970,16.98
1980,16.82
1990,16.6
2000,17.45
2010,17.42
2020,17.27
2030,17.41
2040,16.94
2050,16.89
2060,16.5
2070,16.45
2080,16.4
2090,15.98
2100,15.93
2110,15.83
2120,15.38
2130,15.75
2140,16.04
2150,16.19
2160,16.7
2170,16.59
2180,17.09
2190,17.27
2200,17.38
2210,17.24
2220,16.45
2230,16.05
2240,16.43
2250,16.02
2260,16.19
2270,16.91
2280,18.51
2290,19.27
2300,19.72
2310,19.68
2320,20.22
2330,20.59
2340,20.95
2350,20.76
2360,20.21
2370,19.58
2380,19.41
2390,20.27
2400,20.47
2410,20.98
2420,21.53
2430,23.48
2440,24.11
2450,24.69
2460,25.3
2470,27.06
2480,27.86
2490,27.44
2500,27.63
2510,27.26
2520,27.89
2530,29.2
2540,27.28
2550,28.15
2560,30.97
2570,30.01
2580,27.5
2590,28.02
2600,27.86
2610,27.86
2620,28.1
2630,27.91
2640,27.36
2650,27.96
2660,26.49
2670,25.13
2680,25.36
2690,24.41
2700,26.16
2710,27.58
2720,26.83
2730,24.02
2740,25.74
2750,25.37
2760,24.67
2770,24.96
2780,24.27
2790,23.64
2800,23.85
2810,24.09
2820,22.72
2830,24.07
2840,22.92
2850,22.89
2860,21.46
2870,22.29
2880,21.72
2890,23.03
2900,22.53
2910,22.46
2920,23.21
2930,23.66
2940,24.14
2950,23.4
2960,24.41
2970,23.86
2980,22.97
2990,22.61
3000,22.18
3010,22.09
3020,22.06
3030,22.25
3040,22.29
3050,23.25
3060,24.33
3070,24.1
3080,22.87
3090,25.18
3100,26.91
3110,25.67
3120,25.83
3130,26.6
3140,25.41
3150,23.86
3160,23.87
3170,24.7
3180,22.96
3190,22.27
3200,22.03
3210,21.28
3220,20.5
3230,20.49
3240,20.52
3250,19.31
3260,19.44
3270,19.15
3280,19.58
3290,19.53
3300,20.18
3310,19.23
3320,18.94
3330,19.41
3340,17.8
3350,18.25
3360,19.54
3370,19.66
3380,18.87
3390,19.68
3400,20.49
3410,18.92
3420,19.14
3430,18.47
3440,18.85
3450,19
3460,18.66
3470,18.81
3480,18.9
3490,19.72
3500,20.36
3510,19.92
3520,20.63
3530,20.34
3540,20.8
3550,20.85
3560,21.23
3570,21.6
3580,21.12
3590,21.26
3600,20.92
3610,20.22
3620,20.17
3630,20.05
3640,19.86
3650,19.44
3660,19.19
3670,19.07
3680,18.81
3690,18.02
3700,17.96
3710,18.11
3720,18.04
3730,18.73
3740,19.02
3750,19.76
3760,20.38
3770,20.66
3780,20.97
3790,20.31
3800,19.35
3810,19.98
3820,22.13
3830,23.2
3840,22.57
3850,22.18
3860,21.96
3870,20.23
3880,20.63
3890,20.73
3900,20.56
3910,19.96
3920,20.47
3930,20.32
3940,20.61
3950,20.03
3960,20.12
3970,20.13
3980,19.87
3990,19.59
4000,19.49
4010,19.57
