MDTU,|det-1|^2,1-Re(det),Im(det)
167,0.435941,-0.01798,-0.00138031
168,0.411291,0.021933,0.000537507
169,0.431645,0.000988,0.00103149
170,0.438352,-0.00764,0.000318483
171,0.411717,0.018589,-0.00134335
172,0.424818,0.002381,0.0011615
173,0.4124,0.014927,-0.00223406
174,0.40892,-0.00594,0.00103908
175,0.386997,0.010065,-0.000328879
176,0.41696,-0.00218,0.00258903
177,0.41696,-0.00218,0.00258903
178,0.406052,0.003478,0.00298998
179,0.40602,0.008515,-0.00113354
180,0.403805,0.003023,0.000998575
181,0.426289,-0.00142,-0.000292488
182,0.42642,0.007545,-0.00103807
183,0.44318,0.001371,-0.00201257
184,0.436225,-0.00089,0.00127596
185,0.436225,-0.00089,0.00127596
186,0.44065,-0.0016,0.00225681
187,0.449075,0.003698,-0.0010337
188,0.452748,0.000954,-0.00177063
189,0.439886,0.005257,-0.000578985
190,0.456121,0.01251,0.000803429
191,0.456121,0.01251,0.000803428
192,0.502741,-0.01932,0.00120697
193,0.509605,0.008889,0.00184074
194,0.488857,-0.00879,-0.00104216
195,0.478979,0.004473,-0.00201187
196,0.47803,0.010064,0.00374363
197,0.455506,0.000305,0.00105027
198,0.464371,-0.00851,0.000892886
199,0.437489,0.025348,-0.000869298
200,0.46278,0.000752,0.000179283
201,0.445831,0.008116,0.00376505
202,0.461375,0.013444,0.0010649
203,0.448834,-0.00165,0.000955139
204,0.450163,-0.02,0.00101543
205,0.454386,-0.0136,0.00144099
206,0.434408,0.004404,0.00092865
207,0.463854,-0.00874,0.00528532
208,0.447451,0.020482,0.000996422
209,0.478602,-0.00817,0.00120924
210,0.454369,0.00917,0.00126297
211,0.463965,-0.01435,0.000432398
212,0.461457,-0.00032,-0.00079962
213,0.441367,0.007812,0.00112126
214,0.459553,0.010461,0.000508738
215,0.473077,-0.00532,-0.000222597
216,0.482313,-0.02368,-0.000555558
217,0.433735,0.027775,0.0014015
218,0.481616,-0.00697,-0.00145488
219,0.475198,0.005145,0.00113293
220,0.450702,0.00908,-0.00100767
221,0.479032,-0.00514,0.0025807
222,0.467977,-0.00203,0.000703519
223,0.449456,0.018692,-0.000644963
224,0.460602,-0.01347,0.000589047
225,0.451703,-0.00499,0.000178594
226,0.464571,0.007884,-0.000981535
227,0.486057,0.02296,-0.000259999
228,0.469833,0.003558,0.00129595
229,0.469833,0.003558,0.00129595
230,0.446513,0.019949,0.000281488
231,0.492295,-0.01457,-0.000108782
232,0.477559,0.008826,0.000475518
233,0.503644,0.003148,-0.000203153
234,0.470411,0.00217,-0.00264607
235,0.489686,0.013616,0.00200284
236,0.491264,-0.00645,-0.00153247
237,0.446811,0.036448,-0.000155466
238,0.492529,0.009322,-0.000277265
239,0.490382,0.01131,0.000697845
240,0.485893,-0.0009,0.000847233
241,0.485893,-0.0009,0.000847232
242,0.526609,-0.0155,-0.00144784
243,0.526609,-0.0155,-0.00144784
