ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.0346497,null,-0.394744,null,null
0.219201,0.372986,null,null,null
0.0246489,null,-0.444408,null,null
0.214816,0.327587,null,null,null
0.0844625,null,-0.456329,null,null
0.228581,0.350818,null,null,null
0.1029,null,-0.427615,null,null
0.169679,0.335497,null,null,null
0.0858515,null,-0.421608,null,null
0.104481,0.46177,null,null,null
0.07667,null,-0.46758,null,null
0.266547,0.376952,null,null,null
0.0288462,null,-0.426522,null,null
0.266547,0.376952,null,null,null
0.0288462,null,-0.426522,null,null
0.243267,0.382254,null,null,null
0.129295,null,-0.384851,null,null
0.191897,0.337251,null,null,null
0.071468,null,-0.381207,null,null
0.191897,0.337251,null,null,null
0.071468,null,-0.381207,null,null
0.273679,0.315764,null,null,null
0.206348,null,-0.355117,null,null
0.204708,0.38375,null,null,null
0.229512,null,-0.381696,null,null
0.246858,0.300777,null,null,null
0.157213,null,-0.343213,null,null
0.303078,0.288737,null,null,null
0.119332,null,-0.41717,null,null
0.336132,0.299992,null,null,null
0.0465006,null,-0.358764,null,null
0.360971,0.202921,null,null,null
0.013861,null,-0.423792,null,null
0.428167,0.197941,null,null,null
0.0388504,null,-0.392358,null,null
0.42386,0.212352,null,null,null
0.146275,null,-0.369194,null,null
0.454775,0.208698,null,null,null
0.095416,null,-0.352255,null,null
0.396278,0.219353,null,null,null
0.0418311,null,-0.46206,null,null
0.390375,0.222908,null,null,null
0.0432502,null,-0.452948,null,null
0.385325,0.204377,null,null,null
0.00117899,null,-0.380841,null,null
0.414847,0.159043,null,null,null
0.00473601,null,-0.372467,null,null
0.402033,0.237311,null,null,null
-0.00745445,null,-0.405761,null,null
0.402033,0.237311,null,null,null
-0.00745445,null,-0.405761,null,null
0.434998,0.150997,null,null,null
0.0257292,null,-0.452836,null,null
0.421272,0.132669,null,null,null
-0.0563995,null,-0.450777,null,null
0.370727,0.0558355,null,null,null
-0.11974,null,-0.459146,null,null
0.426517,0.00894015,null,null,null
-0.159212,null,-0.433547,null,null
0.415116,-0.0982205,null,null,null
-0.241645,null,-0.419175,null,null
0.428231,-0.153506,null,null,null
-0.223868,null,-0.426782,null,null
0.40732,-0.152101,null,null,null
-0.266738,null,-0.458569,null,null
0.444167,-0.146049,null,null,null
-0.286158,null,-0.2841,null,null
0.367086,-0.182271,null,null,null
-0.323852,null,-0.298002,null,null
0.344386,-0.200091,null,null,null
-0.308787,null,-0.306127,null,null
0.366515,-0.0794755,null,null,null
-0.271795,null,-0.404487,null,null
0.360181,-0.137719,null,null,null
-0.22689,null,-0.375569,null,null
0.352029,-0.0854455,null,null,null
-0.285369,null,-0.396236,null,null
0.428118,-0.079312,null,null,null
-0.247001,null,-0.245323,null,null
0.345141,-0.110146,null,null,null
-0.250026,null,-0.252699,null,null
0.442101,-0.177922,null,null,null
-0.250433,null,-0.296878,null,null
0.381163,-0.180869,null,null,null
-0.302706,null,-0.299162,null,null
0.369845,-0.26691,null,null,null
-0.277585,null,-0.339848,null,null
0.349403,-0.198191,null,null,null
-0.26591,null,-0.327317,null,null
0.355042,-0.0787505,null,null,null
-0.349898,null,-0.265105,null,null
0.360625,0.00207208,null,null,null
-0.342172,null,-0.285725,null,null
0.341495,-0.0305329,null,null,null
-0.322416,null,-0.305157,null,null
0.40145,0.0249729,null,null,null
-0.309026,null,-0.291135,null,null
0.390715,0.00444031,null,null,null
-0.354531,null,-0.335682,null,null
0.433713,0.0089143,null,null,null
-0.303767,null,-0.309792,null,null
0.390242,0.0369883,null,null,null
-0.346737,null,-0.318475,null,null
0.395948,0.0359192,null,null,null
-0.383903,null,-0.288054,null,null
0.425548,0.07533,null,null,null
-0.293301,null,-0.350375,null,null
0.3958,0.0305008,null,null,null
-0.290498,null,-0.348313,null,null
0.428856,0.087222,null,null,null
-0.23708,null,-0.347063,null,null
0.397303,0.123557,null,null,null
-0.192939,null,-0.433398,null,null
0.47173,0.0699025,null,null,null
-0.228976,null,-0.400473,null,null
0.454295,0.059395,null,null,null
-0.237135,null,-0.422382,null,null
0.445263,0.0103299,null,null,null
-0.282008,null,-0.394763,null,null
0.434951,0.144226,null,null,null
-0.256657,null,-0.366404,null,null
0.440669,0.182396,null,null,null
-0.163526,null,-0.420015,null,null
0.490293,0.066717,null,null,null
-0.226643,null,-0.367785,null,null
0.446066,0.114063,null,null,null
-0.272169,null,-0.280091,null,null
0.458919,0.183104,null,null,null
-0.146793,null,-0.242918,null,null
0.391979,0.189527,null,null,null
-0.163099,null,-0.2632,null,null
0.426221,0.120242,null,null,null
-0.109147,null,-0.216244,null,null
0.381676,0.221817,null,null,null
-0.098273,null,-0.162267,null,null
0.415818,0.120397,null,null,null
-0.136396,null,-0.138217,null,null
0.339954,0.0951035,null,null,null
-0.105262,null,-0.140653,null,null
0.336268,0.087716,null,null,null
-0.145045,null,-0.179429,null,null
0.419122,0.145608,null,null,null
-0.210786,null,-0.168948,null,null
0.365004,0.119646,null,null,null
-0.121623,null,-0.208651,null,null
0.409884,0.0191974,null,null,null
-0.13137,null,-0.253161,null,null
0.379073,-0.0007009,null,null,null
-0.0663645,null,-0.190291,null,null
0.325306,0.02197,null,null,null
-0.0478536,null,-0.168268,null,null
0.335761,-0.0278473,null,null,null
-0.0686335,null,-0.05684,null,null
0.325244,-0.0179217,null,null,null
-0.089641,null,-0.099393,null,null
0.368255,0.0141989,null,null,null
-0.0701165,null,-0.164485,null,null
0.330748,-0.0365479,null,null,null
-0.108582,null,-0.122099,null,null
0.348811,-0.146496,null,null,null
-0.13512,null,-0.0688795,null,null
0.460989,-0.139094,null,null,null
-0.11538,null,-0.0801965,null,null
0.363698,-0.134647,null,null,null
-0.164246,null,-0.0696865,null,null
0.363698,-0.134647,null,null,null
-0.164246,null,-0.0696865,null,null
0.416988,-0.136962,null,null,null
-0.0829405,null,-0.102979,null,null
0.390672,-0.0607445,null,null,null
-0.122567,null,-0.0670165,null,null
