MDTU,min_width,max_width
1,0.113161,0.0788773
2,0.132428,0.0892926
3,0.143453,0.0952692
4,0.152328,0.0984742
5,0.16114,0.104101
6,0.166687,0.10401
7,0.164764,0.104133
8,0.167289,0.103069
9,0.162461,0.101451
10,0.169359,0.102867
11,0.169392,0.104081
12,0.169392,0.104081
13,0.169392,0.104081
14,0.167486,0.103908
15,0.170951,0.105043
16,0.169823,0.104471
17,0.169335,0.103396
18,0.168864,0.103321
19,0.172798,0.106442
20,0.173674,0.106779
21,0.176449,0.105897
22,0.178972,0.109899
23,0.181099,0.110987
24,0.178898,0.111757
25,0.175649,0.110911
26,0.181182,0.108625
27,0.180893,0.110788
28,0.173465,0.107303
29,0.17885,0.107885
30,0.174128,0.108194
31,0.174128,0.108194
32,0.174128,0.108194
33,0.174128,0.108194
34,0.17582,0.105455
35,0.172703,0.104657
36,0.170622,0.107486
37,0.173833,0.10568
38,0.176253,0.107342
39,0.174243,0.105824
40,0.171589,0.10563
41,0.170513,0.103884
42,0.171746,0.107545
43,0.169187,0.106197
44,0.170187,0.104593
45,0.170802,0.106912
46,0.173923,0.107813
47,0.170214,0.108007
48,0.169599,0.109601
49,0.171811,0.109296
50,0.180781,0.113765
51,0.183346,0.116738
52,0.178748,0.113589
53,0.180824,0.113584
54,0.17685,0.112311
55,0.178576,0.113116
56,0.181298,0.115527
57,0.176595,0.113325
58,0.180223,0.110376
59,0.178173,0.112305
60,0.181077,0.112054
61,0.178823,0.109586
62,0.173429,0.109746
63,0.173352,0.110087
64,0.172668,0.1097
65,0.176324,0.108554
66,0.176613,0.109823
67,0.173023,0.106112
68,0.1684,0.107702
69,0.173566,0.110457
70,0.175048,0.109239
71,0.17297,0.10884
72,0.172871,0.109197
73,0.172871,0.109197
74,0.172599,0.106814
75,0.178451,0.110008
76,0.17854,0.110424
77,0.173208,0.109636
78,0.177546,0.108036
79,0.171276,0.107374
80,0.172029,0.107781
81,0.172029,0.107781
82,0.175215,0.110181
83,0.17037,0.104792
84,0.172996,0.106986
85,0.17506,0.108718
86,0.178598,0.109956
87,0.174036,0.109805
88,0.178492,0.110631
89,0.180249,0.112826
90,0.177385,0.11304
91,0.177385,0.11304
92,0.173473,0.11128
93,0.173473,0.11128
94,0.174974,0.112373
95,0.177947,0.109642
96,0.18079,0.111313
97,0.174063,0.112474
98,0.170334,0.109968
99,0.174119,0.112361
100,0.175257,0.114516
101,0.175257,0.114516
102,0.177242,0.11457
103,0.177922,0.114907
104,0.177922,0.114907
105,0.178027,0.115209
106,0.176831,0.113911
107,0.176346,0.114289
108,0.174419,0.112394
109,0.177183,0.116343
110,0.181781,0.115076
111,0.187479,0.115331
112,0.177794,0.117912
113,0.179695,0.116878
114,0.178951,0.118657
115,0.17744,0.115157
116,0.181999,0.118535
117,0.182046,0.120063
118,0.179832,0.118073
119,0.179832,0.118073
120,0.177968,0.115984
121,0.176514,0.117026
122,0.177487,0.116091
123,0.176253,0.11298
124,0.174183,0.112683
125,0.170403,0.107647
126,0.170928,0.108217
127,0.17606,0.111308
128,0.169377,0.110469
129,0.172472,0.111204
130,0.175074,0.111836
131,0.173938,0.112933
132,0.17684,0.111779
133,0.174302,0.111671
134,0.171045,0.112221
135,0.171911,0.110499
136,0.172404,0.111313
137,0.174513,0.112428
138,0.176028,0.115887
139,0.179317,0.119522
140,0.1826,0.119115
141,0.175877,0.116808
