ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.42276,-0.00450315,null,null,null
1.55797,null,-0.145663,null,null
1.58251,0.085521,null,null,null
1.86662,null,0.280919,null,null
1.55602,-0.330072,null,null,null
1.74632,null,-0.0164922,null,null
1.54205,-0.121906,null,null,null
1.80066,null,-0.724495,null,null
1.49298,-0.397749,null,null,null
1.44163,null,-1.28893,null,null
1.24741,-0.0431896,null,null,null
1.42921,null,-0.956725,null,null
1.60081,0.362218,null,null,null
1.40027,null,-0.869585,null,null
1.36852,0.430463,null,null,null
1.90576,null,-0.96544,null,null
1.62302,0.401797,null,null,null
1.54398,null,-0.70119,null,null
1.65061,0.24022,null,null,null
1.43754,null,-0.290199,null,null
1.70368,-0.0118432,null,null,null
1.24485,null,-0.8703,null,null
1.70368,-0.0118432,null,null,null
1.24485,null,-0.8703,null,null
1.70368,-0.0118432,null,null,null
1.24485,null,-0.8703,null,null
1.55429,0.234467,null,null,null
0.91662,null,-0.232107,null,null
2.32264,0.0998605,null,null,null
0.76829,null,-0.209655,null,null
2.39309,0.251497,null,null,null
1.06825,null,0.135995,null,null
1.7585,0.92451,null,null,null
1.01789,null,-0.205507,null,null
1.6767,1.03401,null,null,null
1.30706,null,-0.190196,null,null
1.86915,0.83939,null,null,null
1.79985,null,-0.601405,null,null
2.11036,0.74805,null,null,null
1.16488,null,-0.54374,null,null
1.635,1.33431,null,null,null
0.78862,null,-0.788745,null,null
2.47979,1.453,null,null,null
0.846215,null,-0.7547,null,null
2.57983,1.10448,null,null,null
0.7953,null,-0.607235,null,null
1.87426,1.61577,null,null,null
0.436107,null,-1.02331,null,null
2.03912,2.52901,null,null,null
0.561335,null,-0.88972,null,null
1.7839,1.9488,null,null,null
0.454985,null,-0.715475,null,null
2.04311,1.77666,null,null,null
0.606995,null,-0.903145,null,null
2.84441,2.02141,null,null,null
0.0876365,null,-1.06127,null,null
2.49251,1.89905,null,null,null
-0.234553,null,-0.88977,null,null
2.72654,1.63555,null,null,null
-0.11361,null,-0.69454,null,null
2.72654,1.63555,null,null,null
-0.11361,null,-0.69454,null,null
2.72654,1.63555,null,null,null
-0.11361,null,-0.69454,null,null
2.72654,1.63555,null,null,null
-0.11361,null,-0.69454,null,null
2.33987,1.03535,null,null,null
-0.249614,null,-1.01311,null,null
2.08248,1.32298,null,null,null
-0.255709,null,-0.850085,null,null
1.67253,1.76652,null,null,null
-0.651075,null,-0.76428,null,null
1.9172,1.49039,null,null,null
-0.313688,null,-0.80669,null,null
1.21003,1.35814,null,null,null
-0.403593,null,-0.50151,null,null
1.64728,1.66525,null,null,null
-0.490157,null,-0.56221,null,null
1.25404,1.43664,null,null,null
-0.410668,null,-0.50075,null,null
1.54893,1.50798,null,null,null
-0.53513,null,-0.59764,null,null
1.84592,1.12672,null,null,null
-0.500075,null,-0.429144,null,null
1.76705,1.24644,null,null,null
-0.33525,null,-0.64399,null,null
2.16472,0.87713,null,null,null
-0.440319,null,-0.70373,null,null
2.12431,1.28541,null,null,null
-0.259379,null,-0.85149,null,null
1.80062,1.36578,null,null,null
-0.305804,null,-0.446292,null,null
2.11989,1.35042,null,null,null
-0.325098,null,-0.433405,null,null
1.92979,1.58692,null,null,null
-0.230058,null,-0.484662,null,null
1.04093,2.05043,null,null,null
-0.184119,null,-0.407882,null,null
2.10629,2.95387,null,null,null
0.228342,null,-0.466303,null,null
1.41677,2.8456,null,null,null
-0.013318,null,-0.381071,null,null
