MDTU,plaq_ss,plaq_st
1,1.11532,1.13096
2,1.13306,1.14201
3,1.11538,1.08838
4,1.12714,1.07733
5,1.11442,1.0609
6,1.08976,1.03436
7,1.11982,1.05289
8,1.09462,1.03013
9,1.1047,1.05268
10,1.09192,1.02613
11,1.11097,1.05895
12,1.11097,1.05895
13,1.11097,1.05895
14,1.08162,1.03684
15,1.06569,1.04723
16,1.08936,1.04332
17,1.06634,1.03387
18,1.10654,1.0281
19,1.12476,1.01978
20,1.10758,1.00442
21,1.0879,1.03086
22,1.07486,1.04244
23,1.07619,1.03565
24,1.07817,1.04736
25,1.07586,1.02874
26,1.0761,1.02891
27,1.07356,1.02871
28,1.08861,1.02474
29,1.06924,1.03445
30,1.07831,1.04132
31,1.07831,1.04132
32,1.07831,1.04132
33,1.07831,1.04132
34,1.06901,1.03051
35,1.07474,1.04346
36,1.08137,1.04448
37,1.07423,1.05042
38,1.06003,1.05065
39,1.05231,1.05618
40,1.04926,1.03706
41,1.07168,1.05356
42,1.05235,1.04426
43,1.06128,1.02659
44,1.08943,1.03325
45,1.08447,1.0266
46,1.06313,1.0271
47,1.06622,1.04464
48,1.04819,1.04414
49,1.0606,1.03094
50,1.05487,1.02659
51,1.06322,1.03824
52,1.05773,1.02563
53,1.04634,1.03386
54,1.04368,1.04343
55,1.04979,1.0359
56,1.02577,1.02904
57,1.03662,1.05507
58,1.04892,1.02179
59,1.05921,1.03991
60,1.06953,1.03893
61,1.07616,1.02684
62,1.05802,1.03609
63,1.05061,1.02759
64,1.07098,1.05248
65,1.04594,1.0369
66,1.06859,1.03327
67,1.06843,1.03793
68,1.05493,1.04502
69,1.04398,1.04679
70,1.05343,1.04157
71,1.04445,1.03657
72,1.05627,1.05615
73,1.05627,1.05615
74,1.05127,1.04237
75,1.05684,1.04699
76,1.04188,1.04399
77,1.03264,1.06789
78,1.02008,1.0456
79,1.03649,1.06338
80,1.01242,1.06069
81,1.01242,1.06069
82,1.01402,1.05282
83,1.04159,1.05511
84,1.03867,1.04635
85,1.06134,1.03791
86,1.0364,1.04069
87,1.04644,1.05551
88,1.03891,1.04277
89,1.04359,1.04287
90,1.03002,1.05634
91,1.03002,1.05634
92,1.04899,1.02559
93,1.04899,1.02559
94,1.04925,1.02319
95,1.07641,1.0341
96,1.0859,1.02437
97,1.09555,1.02057
98,1.09749,1.01901
99,1.10734,1.01791
100,1.10915,1.02098
101,1.10915,1.02098
102,1.1224,1.0066
103,1.14088,1.00638
104,1.14088,1.00638
105,1.13084,1.00279
106,1.1326,1.01052
107,1.16297,0.998615
108,1.17909,0.987461
109,1.17615,0.981116
110,1.1626,0.991923
111,1.17406,0.983752
112,1.15615,0.985438
113,1.1583,0.983139
114,1.14073,0.996843
115,1.13789,1.01981
116,1.12054,1.00476
117,1.11332,1.03163
118,1.10004,1.02211
119,1.10004,1.02211
120,1.0971,1.0315
121,1.10897,1.03994
122,1.08391,1.02188
123,1.08947,1.02615
124,1.10551,1.02422
125,1.08106,1.03356
126,1.09137,1.03982
127,1.10192,1.02618
128,1.11768,1.01765
129,1.11313,1.01295
130,1.12216,1.02227
131,1.11353,1.02224
132,1.09319,1.01303
133,1.10744,1.03856
134,1.08712,1.02233
135,1.11114,1.02539
136,1.10276,1.03256
137,1.10067,1.01136
138,1.10738,1.0203
139,1.08091,1.0238
140,1.08108,1.02707
141,1.07576,1.02522
142,1.0985,1.02709
143,1.08455,1.02895
144,1.09552,1.04647
145,1.08626,1.02331
146,1.09089,1.03884
147,1.10553,1.03855
148,1.0915,1.03417
149,1.10135,1.03597
150,1.09183,1.01594
151,1.1147,1.01672
152,1.12107,1.03078
153,1.12057,1.03282
154,1.11579,1.02455
155,1.12467,1.04157
156,1.11979,1.01949
157,1.11363,1.02707
158,1.13167,1.02415
159,1.12356,1.0234
160,1.09938,1.03108
161,1.11396,1.02391
