MDTU,plaq,Re(det),Im(det),link
1,1.04818,0.577497,0.167281,0.155222
2,1.06761,0.60128,0.202395,0.179479
3,1.03269,0.56209,0.206297,0.188472
4,1.03372,0.56975,0.217912,0.199779
5,1.02321,0.556905,0.217415,0.210928
6,0.999826,0.534919,0.212957,0.209713
7,1.0194,0.545388,0.223516,0.207997
8,0.996849,0.522989,0.215189,0.205461
9,1.01274,0.53984,0.221292,0.204151
10,0.995065,0.520111,0.217251,0.206873
11,1.02071,0.542415,0.226231,0.208911
12,0.993402,0.51753,0.214915,0.211309
13,1.01092,0.542752,0.223491,0.216954
14,0.999239,0.515225,0.2144,0.204443
15,1.01091,0.5295,0.219783,0.207656
16,1.01476,0.536103,0.22276,0.209265
17,0.989449,0.513629,0.216117,0.209294
18,1.01101,0.532529,0.220856,0.207054
19,1.00554,0.522746,0.217683,0.208085
20,0.999149,0.522707,0.217634,0.208859
21,1.00452,0.527079,0.218915,0.212125
22,1.00993,0.531977,0.219607,0.213372
23,1.00281,0.525486,0.219063,0.21219
24,1.00898,0.538814,0.222017,0.214557
25,0.995646,0.527428,0.219116,0.217593
26,1.0052,0.542003,0.217411,0.227022
27,1.0052,0.542003,0.217411,0.227022
28,1.00814,0.536927,0.219673,0.217612
29,1.00043,0.52621,0.216656,0.215154
30,1.01946,0.53785,0.223195,0.212282
31,1.01946,0.53785,0.223195,0.212282
32,0.998282,0.523455,0.2183,0.213467
33,1.01893,0.539587,0.221235,0.213523
34,1.01211,0.533231,0.22192,0.212743
35,1.01423,0.529749,0.221577,0.210044
36,1.01827,0.532358,0.218571,0.214874
37,1.00363,0.526178,0.217105,0.21516
38,1.01764,0.542361,0.222134,0.214108
39,1.00083,0.522497,0.213671,0.212726
40,1.00826,0.533375,0.218216,0.215855
41,1.00616,0.53759,0.220844,0.219118
42,1.00664,0.529613,0.219784,0.213786
43,1.00657,0.53451,0.22071,0.215954
44,1.0014,0.529559,0.218569,0.213257
45,1.00408,0.536571,0.223159,0.217305
46,0.996103,0.52299,0.218081,0.214385
47,1.00714,0.536317,0.219282,0.213848
48,0.99998,0.531024,0.218806,0.214689
49,0.997988,0.531099,0.214468,0.215644
50,0.997997,0.52609,0.215038,0.208938
51,1.00147,0.526948,0.219293,0.208154
52,0.99702,0.524884,0.216674,0.214418
53,0.993102,0.521297,0.219598,0.211663
54,0.995982,0.522584,0.21806,0.212452
55,0.993549,0.524744,0.220174,0.211231
56,0.9881,0.52052,0.214652,0.208925
57,0.998604,0.530827,0.219248,0.211196
58,0.991351,0.523925,0.216965,0.213608
59,0.998573,0.527919,0.218788,0.216233
60,1.00351,0.534846,0.223618,0.213641
61,0.998027,0.528612,0.218748,0.214483
62,1.00241,0.537496,0.217718,0.214597
63,0.994301,0.525884,0.215626,0.212404
64,1.00866,0.530596,0.22111,0.212567
65,1.00726,0.528663,0.219343,0.214611
66,1.01625,0.532095,0.218433,0.208905
67,1.00838,0.535063,0.219211,0.214808
68,1.00628,0.523609,0.21955,0.21088
69,1.00495,0.530631,0.217033,0.208401
70,0.998783,0.522097,0.214399,0.209986
71,1.01878,0.543396,0.223044,0.215171
72,1.00309,0.526395,0.218017,0.217181
73,1.01445,0.534666,0.220397,0.213946
74,1.00154,0.521864,0.217865,0.213648
75,0.99463,0.520606,0.213256,0.216466
76,1.01274,0.540258,0.222224,0.218295
77,1.00449,0.531871,0.218703,0.220135
78,1.00627,0.526922,0.219381,0.214452
79,0.992809,0.511673,0.217686,0.21146
80,1.00961,0.536006,0.223988,0.213021
81,0.984584,0.516034,0.213102,0.220927
82,0.999708,0.529441,0.222255,0.219948
83,0.987014,0.527239,0.220098,0.217441
84,1.00316,0.541319,0.221197,0.222906
85,0.992419,0.527429,0.218989,0.225863
86,0.996374,0.532744,0.218159,0.219972
87,0.988183,0.526488,0.217114,0.216686
88,0.993241,0.532154,0.218217,0.219753
89,0.987601,0.522594,0.215389,0.216572
90,0.999253,0.54129,0.219161,0.218852
91,0.999253,0.54129,0.219161,0.218852
92,0.999253,0.54129,0.219161,0.218852
93,0.999253,0.54129,0.219161,0.218852
94,0.989909,0.531482,0.216046,0.215382
95,1.00166,0.539956,0.221631,0.215166
96,0.99131,0.526839,0.218279,0.213026
97,0.998821,0.539541,0.221507,0.219392
98,0.99123,0.529433,0.217894,0.219914
99,0.99123,0.529433,0.217894,0.219914
100,0.995972,0.533366,0.218838,0.219328
101,0.990127,0.524198,0.216821,0.216374
102,0.986549,0.518577,0.217291,0.209954
103,1.00597,0.541859,0.226536,0.219963
104,1.00597,0.541859,0.226536,0.219963
105,0.981161,0.517645,0.213907,0.213817
106,0.993787,0.528314,0.218107,0.21475
107,0.994964,0.531567,0.217713,0.212021
108,0.975766,0.51534,0.212649,0.214573
109,0.9932,0.531599,0.217468,0.212421
110,0.985658,0.523944,0.217303,0.21616
111,0.986819,0.521186,0.216781,0.211761
112,0.991938,0.526065,0.216978,0.213203
113,0.986583,0.523492,0.216716,0.218083
114,0.994716,0.5288,0.219207,0.217035
115,0.994163,0.523423,0.219147,0.208074
116,0.993703,0.52488,0.218655,0.211879
117,0.996693,0.532598,0.218927,0.209632
118,1.00599,0.538955,0.219663,0.217437
119,1.00599,0.538955,0.219663,0.217437
120,0.99689,0.527758,0.216438,0.216637
121,1.01155,0.545512,0.222386,0.21794
122,0.993891,0.520737,0.216367,0.211669
123,1.00259,0.528648,0.219792,0.214126
124,1.0086,0.536136,0.22291,0.214992
125,0.992548,0.519186,0.213463,0.212804
126,1.00327,0.530438,0.219371,0.210768
127,0.996487,0.529209,0.218635,0.219597
128,0.998559,0.534919,0.218408,0.223795
129,1.00301,0.534224,0.218834,0.222154
130,0.993064,0.526527,0.216827,0.22049
131,1.01551,0.544709,0.227413,0.220654
132,1.00121,0.531454,0.218434,0.222171
133,1.01146,0.536953,0.220408,0.222375
134,1.00855,0.53341,0.220317,0.224211
135,1.01448,0.538485,0.222843,0.221108
136,1.01057,0.533083,0.223155,0.217478
137,0.999524,0.524692,0.215486,0.217351
138,1.01386,0.538915,0.222797,0.224714
139,0.998318,0.51807,0.217104,0.21598
140,1.0002,0.525949,0.223317,0.21632
141,1.00144,0.531037,0.219421,0.22121
142,0.994424,0.526058,0.218547,0.219442
143,1.00036,0.53205,0.222485,0.217086
144,0.99571,0.533215,0.221179,0.221266
145,0.990757,0.529982,0.221388,0.223469
146,0.988592,0.528883,0.218213,0.221027
147,0.999557,0.532518,0.219865,0.213661
148,0.994486,0.525313,0.218799,0.210262
149,1.00094,0.532959,0.223367,0.209971
150,0.990487,0.524793,0.220194,0.212992
151,0.990582,0.523235,0.218564,0.208137
152,0.993574,0.528263,0.222381,0.207724
153,0.993916,0.52963,0.217585,0.213187
154,0.997117,0.532448,0.221299,0.211088
155,0.984587,0.518244,0.215677,0.21402
156,0.999209,0.533201,0.220812,0.212876
157,0.984799,0.516401,0.212482,0.214607
158,1.00736,0.540122,0.219083,0.217119
159,0.984837,0.520784,0.214162,0.217923
160,1.01267,0.548522,0.222744,0.221368
161,0.98322,0.517184,0.217307,0.215597
162,1.00669,0.539389,0.223369,0.218304
163,1.00291,0.533569,0.222912,0.218785
164,1.00204,0.529805,0.22158,0.218045
165,1.0063,0.539837,0.222428,0.223153
166,0.994146,0.530486,0.217527,0.226936
167,1.0046,0.537837,0.220355,0.223957
168,0.991148,0.522548,0.216642,0.222769
169,0.996816,0.52518,0.220555,0.213592
170,0.998565,0.528099,0.218616,0.217307
171,0.993642,0.528128,0.217941,0.221786
172,0.996403,0.528803,0.216917,0.223727
173,1.00376,0.535887,0.224228,0.215737
174,1.00053,0.533782,0.220743,0.220903
175,0.995311,0.528941,0.219278,0.215859
176,1.00048,0.539979,0.222051,0.221251
177,0.995419,0.533381,0.2189,0.219995
178,1.00281,0.537835,0.220878,0.22006
179,0.996527,0.536592,0.220799,0.222302
180,0.991393,0.526388,0.215611,0.213434
181,0.996344,0.530676,0.216773,0.2124
182,0.98795,0.520697,0.218648,0.212485
183,0.99601,0.528847,0.2201,0.214287
184,1.00223,0.535016,0.220605,0.213973
185,0.997333,0.532876,0.222325,0.211237
186,0.998813,0.531182,0.219585,0.2165
187,0.992026,0.532396,0.218349,0.221398
188,0.994718,0.53531,0.219229,0.218912
