MDTU,S_B
1,0.51853
2,0.694396
3,0.795468
4,0.855895
5,0.905429
6,0.929263
7,0.960477
8,0.969413
9,0.979038
10,0.98385
11,0.998736
12,0.995551
13,0.998989
14,0.993053
15,0.996654
16,0.99831
17,0.997201
18,0.994795
19,0.992676
20,0.994968
21,0.998806
22,1.00148
23,1.00521
24,0.998164
25,0.99714
26,0.994282
27,0.994282
28,0.998065
29,0.99252
30,0.999627
31,0.999627
32,0.996534
33,0.992833
34,0.993375
35,0.99793
36,0.989637
37,0.98673
38,0.98509
39,0.983952
40,0.992413
41,0.997068
42,0.99133
43,0.992234
44,0.989353
45,1.00059
46,1.00186
47,0.999744
48,0.998179
49,1.00037
50,0.998582
51,0.993922
52,0.99077
53,1.00002
54,1.00433
55,1.00916
56,1.00338
57,0.998944
58,0.996363
59,0.996646
60,1.00124
61,1.00031
62,1.00137
63,0.998557
64,0.995988
65,0.99211
66,0.994509
67,1.00287
68,0.996155
69,0.994805
70,0.999173
71,1.00402
72,0.985077
73,1.0004
74,1.00005
75,1.00022
76,1.00475
77,1.00137
78,1.01164
79,1.01024
80,1.01159
81,0.999725
82,1.01049
83,0.993123
84,1.00612
85,1.0054
86,1.00187
87,0.989107
88,1.00267
89,0.997793
90,1.00087
91,1.00087
92,1.00087
93,1.00087
94,0.996942
95,1.00155
96,1.00184
97,1.00697
98,1.00131
99,1.00131
100,1.00437
101,1.00352
102,1.01014
103,1.0109
104,1.0109
105,1.00633
106,1.00471
107,1.00349
108,0.999923
109,1.00329
110,1.00102
111,1.00096
112,1.00139
113,0.994533
114,1.00559
115,0.99851
116,0.99459
117,0.986318
118,0.9916
119,0.9916
120,0.999685
121,0.99787
122,0.998567
123,0.999995
124,1.00359
125,0.999384
126,0.997955
127,1.00274
128,1.00026
129,1.00183
130,0.997238
131,0.995386
132,0.991982
133,0.999761
134,0.997621
135,0.996166
136,0.996707
137,0.996965
138,1.00711
139,1.0024
140,1.0029
141,1.00472
142,1.00039
143,1.00601
144,1.00291
145,1.00856
146,1.00127
147,1.00736
148,0.993332
149,1.00031
150,0.996429
151,0.996623
152,0.99766
153,0.996483
154,0.997816
155,0.994315
156,0.999771
157,0.992373
158,1.00006
159,0.99227
160,1.00193
161,0.990707
162,0.996821
163,0.990709
164,0.994937
165,0.993257
166,0.996569
167,0.992119
168,0.994645
169,1.00266
170,0.999448
171,0.996455
172,1.00102
173,1.00097
174,1.00411
175,0.999979
176,0.993471
177,0.98372
178,0.993249
179,1.00081
180,0.99018
181,0.996538
182,1.00101
183,0.997267
184,0.995318
185,0.997673
186,1.0021
187,1.00124
