t,deltaS
1,-4.683
2,-1.521
3,-0.2809
4,-0.4472
5,-0.3061
6,-0.05971
7,-0.2376
8,-0.01345
9,-0.01758
10,-0.06149
11,-0.2047
12,0.1244
13,-0.09911
14,0.3213
15,0.1199
16,0.09027
17,0.04745
18,-0.009161
19,0.03151
20,0.06027
21,-0.07017
22,-0.1019
23,-0.06054
24,-0.03396
25,-0.03117
26,-0.02933
27,0.1173
28,0.03055
29,0.1004
30,0.03902
31,0.1542
32,-0.007712
33,-0.06082
34,-0.05609
35,-0.01525
36,0.0763
37,0.05312
38,-0.142
39,0.07306
40,-0.08538
41,0.01475
42,0.03165
43,-0.0356
44,-0.1439
45,-0.03373
46,-0.05026
47,-0.005763
48,0.01198
49,-0.01895
50,0.04156
51,-0.05761
52,0.1326
53,0.02417
54,-0.06028
55,-0.07147
56,0.03117
57,0.08989
58,0.01399
59,-0.04075
60,-0.2661
61,-0.004458
62,-0.07036
63,0.1434
64,0.06706
65,0.04253
66,0.1617
67,-0.09183
68,0.02521
69,-0.007871
70,0.01493
71,-0.01948
72,0.001219
73,-0.1738
74,0.03216
75,-0.001995
76,0.03441
77,0.172
78,-0.02708
79,-0.003306
80,-0.05843
81,0.005659
82,-0.3029
83,0.04771
84,-0.1099
85,0.2401
86,0.08366
87,0.1356
88,-0.1652
89,-0.0855
90,-0.06918
91,0.08897
92,0.2555
93,0.1345
94,-0.0309
95,-0.06293
96,-0.0166
97,-0.0009203
98,0.01086
99,0.106
100,-0.04905
101,-0.02721
102,0.01955
103,-0.154
104,0.07723
105,-0.01751
106,0.09775
107,-0.02639
108,0.04365
109,-0.1333
110,0.2309
111,0.09458
112,-0.09854
113,0.1518
114,-0.01516
115,-0.03089
116,-0.1741
117,0.07191
118,-0.09283
119,0.1104
120,-0.1757
121,-0.05617
122,0.2555
123,0.2051
124,-0.1939
125,0.1555
126,0.07134
127,-0.07301
128,-0.0009026
129,0.1108
130,-0.1258
131,-0.03169
132,0.04392
133,-0.09658
134,0.2632
135,-0.02021
136,-0.2683
137,-0.08159
138,-0.1306
139,0.1015
140,0.03943
141,-0.09236
142,-0.03019
143,-0.07964
144,0.1481
145,-0.0221
146,0.2177
147,-0.1463
148,0.2104
149,-0.01771
150,-0.04545
151,0.01688
152,-0.07842
153,-0.009012
154,0.01902
155,0.1101
156,-0.1737
157,0.07012
158,-0.2068
159,0.1194
160,-0.002821
161,0.22
162,-0.04832
163,0.1653
164,0.09194
165,0.05479
166,0.1335
167,-0.05578
168,0.06212
169,-0.1058
170,0.01292
171,0.001473
172,0.09394
173,-0.01662
174,0.01178
175,-0.02845
176,0.0669
177,-0.1539
178,-0.01388
179,-0.06394
180,0.01534
181,-0.1809
182,0.04727
183,-0.07827
184,-0.103
185,-0.1364
186,-0.05407
187,-0.2239
188,0.1591
189,0.04857
190,0.06893
191,-0.09018
192,0.1271
193,-8.748e-05
194,-0.07447
195,0.1656
196,0.08789
197,0.1698
198,-0.1873
199,0.1602
200,-0.08736
201,0.1016
202,-0.01741
203,0.1787
204,-0.09222
205,0.1358
206,-0.1437
207,-0.000816
208,-0.0125
209,-0.1413
210,0.02938
211,0.2249
212,0.05513
213,0.1384
214,0.01887
215,0.03807
216,0.01983
217,0.001738
218,0.01954
219,-0.1066
220,0.02885
221,0.03815
222,-0.1076
223,-0.1049
224,0.04246
225,-0.01559
226,0.1767
227,-0.1201
228,-0.01424
229,0.07562
230,0.03687
231,0.0767
232,0.1069
233,-0.03769
234,-0.06478
235,0.008391
236,-0.03511
237,-0.01133
238,-0.01829
239,0.06505
240,0.04869
241,-0.2019
242,0.06059
243,-0.1458
244,0.1127
245,0.03751
246,-0.03693
247,0.1607
248,0.1535
249,0.1646
250,-0.1614
251,-0.0423
252,0.01513
253,-0.07536
254,-0.03051
255,-0.05566
256,0.09909
257,-0.1448
258,0.08046
259,0.04474
260,0.03264
261,0.008567
262,0.04954
263,0.0004155
264,0.207
265,0.1251
266,0.1119
267,0.05889
268,0.2428
269,-0.05962
270,-0.1282
271,-0.1565
272,0.1593
273,0.06531
274,-0.1113
275,0.1911
276,0.1183
277,0.01439
278,0.0984
279,-0.2252
280,0.2592
281,-0.09185
282,0.0004748
283,0.06238
284,-0.2305
285,-0.07094
286,0.02324
287,-0.09488
