t,N_f,N_g
10,10,200
20,10,200
30,10,200
40,10,200
50,10,200
60,10,200
70,10,200
80,10,200
90,10,200
100,10,200
110,10,200
120,10,200
130,10,200
140,10,200
150,10,200
160,10,200
170,10,200
180,10,200
190,10,200
200,10,200
210,10,200
220,10,200
230,10,200
240,10,200
250,10,200
260,10,200
270,10,200
280,10,200
290,10,200
300,10,200
310,10,200
320,10,200
330,10,200
340,10,200
350,10,200
360,10,200
370,10,200
380,10,200
390,10,200
400,10,200
410,10,200
420,10,200
430,10,200
440,10,200
450,10,200
460,10,200
470,10,200
480,10,200
490,10,200
500,10,200
510,10,200
520,10,200
530,10,200
540,10,200
550,10,200
560,10,200
570,10,200
580,10,200
590,10,200
600,10,200
610,10,200
620,10,200
630,10,200
640,10,200
650,10,200
660,10,200
670,10,200
680,10,200
690,10,200
700,10,200
710,10,200
720,10,200
730,10,200
740,10,200
750,10,200
760,10,200
770,10,200
780,10,200
790,10,200
800,10,200
810,10,200
820,10,200
830,10,200
840,10,200
850,10,200
860,10,200
870,10,200
880,10,200
890,10,200
900,10,200
910,10,200
920,10,200
930,10,200
940,10,200
950,10,200
960,10,200
970,10,200
980,10,200
990,10,200
1000,10,200
1010,10,200
1020,10,200
1030,10,200
1040,10,200
1050,10,200
1060,10,200
1070,10,200
1080,10,200
1090,10,200
1100,10,200
1110,10,200
1120,10,200
1130,10,200
1140,10,200
1150,10,200
1160,10,200
1170,10,200
1180,10,200
1190,10,200
1200,10,200
1210,10,200
1220,10,200
1230,10,200
1240,10,200
1250,10,200
1260,10,200
1270,10,200
1280,10,200
1290,10,200
1300,10,200
1310,10,200
1320,10,200
1330,10,200
1340,10,200
1350,10,200
1360,10,200
1370,10,200
1380,10,200
1390,10,200
1400,10,200
1410,10,200
1420,10,200
1430,10,200
1440,10,200
1450,10,200
1460,10,200
1470,10,200
1480,10,200
1490,10,200
1500,10,200
1510,10,200
1520,10,200
1530,10,200
1540,10,200
1550,10,200
1560,10,200
1570,10,200
1580,10,200
1590,10,200
1600,10,200
1610,10,200
1620,10,200
1630,10,200
1640,10,200
1650,10,200
1660,10,200
1670,10,200
1680,10,200
1690,10,200
1700,10,200
1710,10,200
1720,10,200
1730,10,200
1740,10,200
1750,10,200
1760,10,200
1770,10,200
1780,10,200
1790,10,200
1800,10,200
1810,10,200
1820,10,200
1830,10,200
1840,10,200
1850,10,200
1860,10,200
1870,10,200
1880,10,200
1890,10,200
1900,10,200
1910,10,200
1920,10,200
1930,10,200
1940,10,200
1950,10,200
1960,10,200
1970,10,200
1980,10,200
1990,10,200
2000,10,200
2010,10,200
2020,10,200
2030,10,200
2040,10,200
2050,10,200
2060,10,200
2070,10,200
2080,10,200
2090,10,200
2100,10,200
2110,10,200
2120,10,200
2130,10,200
2140,10,200
2150,10,200
2160,10,200
2170,10,200
2180,10,200
2190,10,200
2200,10,200
2210,10,200
2220,10,200
2230,10,200
2240,10,200
2250,10,200
2260,10,200
2270,10,200
2280,10,200
2290,10,200
2300,10,200
2310,10,200
2320,10,200
2330,10,200
2340,10,200
2350,10,200
2360,10,200
2370,10,200
2380,10,200
2390,10,200
2400,10,200
2410,10,200
2420,10,200
2430,10,200
2440,10,200
2450,10,200
2460,10,200
2470,10,200
2480,10,200
2490,10,200
2500,10,200
2510,10,200
2520,10,200
2530,10,200
2540,10,200
2550,10,200
2560,10,200
