MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
1210,	0.771689,-0.000174623,0.791324,0.0196345
1220,	0.764995,8.96243e-05,0.748267,-0.0167281
1230,	0.770851,-0.00137409,0.758709,-0.0121419
1240,	0.767876,-0.000701331,0.76901,0.0011344
1250,	0.768811,-0.00026026,0.695544,-0.0732669
1260,	0.769207,-0.00208273,0.827982,0.0587751
1270,	0.765267,0.000230246,0.728101,-0.0371659
1280,	0.767347,-9.31701e-05,0.752582,-0.0147647
1290,	0.762273,-0.00248063,0.70078,-0.0614929
1300,	0.768552,0.00416826,0.764509,-0.00404281
1310,	0.764036,0.000990501,0.743553,-0.020483
1320,	0.764984,-0.0033738,0.844211,0.0792277
1330,	0.760982,-0.000602698,0.782288,0.0213068
1340,	0.763648,-0.000248816,0.835705,0.0720571
1350,	0.768778,-0.00236522,0.76963,0.00085154
1360,	0.768862,0.00228761,0.854353,0.085491
1370,	0.766508,-0.00303605,0.716259,-0.0502494
1380,	0.767854,0.00460393,0.728687,-0.0391675
1390,	0.769684,-0.000118678,0.685097,-0.0845871
1400,	0.767059,0.003294,0.786113,0.0190547
1410,	0.765552,0.00234122,0.815923,0.0503715
1420,	0.77385,0.00178424,0.74572,-0.0281304
1430,	0.766532,0.00211062,0.708066,-0.0584658
1440,	0.774044,-0.0022521,0.683017,-0.091027
1450,	0.76965,-0.000768882,0.763152,-0.00649795
1460,	0.76785,0.00187035,0.763808,-0.0040428
1470,	0.767286,-0.000861382,0.815598,0.0483124
1480,	0.770124,0.00152605,0.799274,0.0291505
1490,	0.772021,-0.00236331,0.7014,-0.0706207
1500,	0.771045,-0.0011424,0.77912,0.00807471
1510,	0.770471,0.000660242,0.789991,0.01952
1520,	0.76931,0.00126094,0.719867,-0.0494428
1530,	0.763978,0.00356424,0.742364,-0.0216147
1540,	0.76297,0.00130393,0.715948,-0.0470225
1550,	0.765179,0.00131925,0.698656,-0.0665232
1560,	0.770333,-0.00160007,0.66963,-0.100703
1570,	0.765154,0.000653472,0.773034,0.00787964
1580,	0.770154,-0.000539036,0.797093,0.0269392
1590,	0.767525,0.00109589,0.752106,-0.0154192
1600,	0.768545,0.00326704,0.733478,-0.0350673
1610,	0.772753,-0.00382948,0.718471,-0.0542824
1620,	0.763718,0.00201247,0.776267,0.0125485
1630,	0.767686,-0.000165266,0.722803,-0.0448827
1640,	0.769177,-0.00435312,0.762207,-0.0069707
1650,	0.762539,0.000328469,0.783571,0.0210312
1660,	0.768515,0.00175154,0.700172,-0.0683432
1670,	0.767223,0.000563595,0.766144,-0.0010784
1680,	0.766781,-0.00388048,0.770752,0.00397132
1690,	0.769079,0.00147455,0.738806,-0.0302732
1700,	0.765049,-0.00125082,0.778722,0.0136727
1710,	0.769449,0.000223856,0.701319,-0.0681302
1720,	0.766375,0.00208711,0.718302,-0.0480731
1730,	0.769147,-0.000122447,0.742686,-0.0264612
1740,	0.759797,0.000653533,0.763976,0.00417947
1750,	0.765903,0.00093597,0.784006,0.018103
1760,	0.766775,0.0030186,0.79018,0.0234048
1770,	0.767156,-0.00156108,0.771018,0.00386243
1780,	0.769671,-0.00202803,0.742368,-0.0273035
1790,	0.769668,0.00237306,0.853523,0.0838542
1800,	0.766945,0.000312595,0.796351,0.0294059
1810,	0.768994,-0.000601894,0.679023,-0.0899711
1820,	0.767541,-0.00314147,0.79442,0.0268792
1830,	0.769662,5.44424e-05,0.738493,-0.0311697
1840,	0.769209,-0.00338716,0.768811,-0.000398069
1850,	0.771971,-6.43545e-05,0.734119,-0.0378518
1860,	0.769204,0.00205981,0.736967,-0.0322368
1870,	0.765648,0.0020561,0.773638,0.00798971
1880,	0.765255,0.00238538,0.71989,-0.0453652
1890,	0.770065,-0.00434014,0.801106,0.0310406
1900,	0.765872,-0.000346974,0.826236,0.0603638
1910,	0.768937,0.00295992,0.825702,0.0567653
1920,	0.764036,0.00201685,0.70049,-0.0635465
1930,	0.77076,-0.00215889,0.759294,-0.0114654
1940,	0.770934,-0.00125566,0.725425,-0.0455094
1950,	0.767853,-0.000559404,0.756967,-0.0108861
1960,	0.769655,0.00223099,0.7957,0.0260442
1970,	0.768345,-0.00123059,0.782465,0.0141204
1980,	0.764424,-0.00272183,0.715304,-0.0491206
1990,	0.768479,-0.00449122,0.654555,-0.113924
2000,	0.769569,0.00505488,0.803182,0.0336123
2010,	0.768419,-0.000853234,0.862348,0.0939287
2020,	0.76934,-0.00395859,0.726353,-0.0429867
2030,	0.762607,0.00187332,0.738044,-0.0245635
2040,	0.767883,0.00223045,0.682257,-0.0856256
2050,	0.767564,-0.00244501,0.821307,0.0537434
2060,	0.771688,0.00207951,0.755113,-0.0165755
2070,	0.769314,-0.00301316,0.745883,-0.0234307
2080,	0.766703,-0.00208319,0.791937,0.025234
2090,	0.762812,0.00233595,0.743584,-0.0192277
2100,	0.764102,0.00199661,0.803971,0.0398687
2110,	0.766711,0.00194339,0.7575,-0.00921121
2120,	0.767391,-0.000447579,0.736812,-0.0305792
2130,	0.76666,-0.00333077,0.733417,-0.033243
2140,	0.761719,-0.000922145,0.765486,0.0037669
2150,	0.761084,-0.00270523,0.782726,0.0216412
2160,	0.771518,0.00331636,0.766709,-0.00480895
2170,	0.767427,0.0015564,0.723468,-0.0439589
2180,	0.763625,-0.00167938,0.770141,0.00651536
2190,	0.768247,-0.000258225,0.777543,0.00929636
2200,	0.767365,0.00223056,0.815261,0.0478959
2210,	0.768803,-0.00157919,0.759198,-0.00960515
2220,	0.766195,0.00164503,0.791967,0.0257725
2230,	0.763751,0.0002963,0.74193,-0.0218217
2240,	0.766925,-0.000830876,0.75011,-0.0168147
2250,	0.77022,-0.00256738,0.762086,-0.00813465
2260,	0.767303,0.00342591,0.764269,-0.00303441
2270,	0.765612,-0.00234396,0.771189,0.00557746
2280,	0.767281,0.00170743,0.670058,-0.0972238
2290,	0.769324,0.00258434,0.739109,-0.0302151
2300,	0.765824,-0.00190288,0.784878,0.0190541
2310,	0.767362,-0.00142622,0.745413,-0.0219489
2320,	0.769881,0.00060146,0.648832,-0.121049
2330,	0.769154,-0.00154634,0.71037,-0.0587835
2340,	0.767719,0.00123404,0.680972,-0.0867474
2350,	0.769949,0.00223071,0.772866,0.00291747
2360,	0.76873,-8.74037e-05,0.744909,-0.0238201
2370,	0.76032,-0.000392059,0.803402,0.0430819
2380,	0.769837,-0.00221745,0.805151,0.0353141
2390,	0.772258,-0.0010719,0.769194,-0.00306445
2400,	0.767826,-0.00274269,0.77355,0.00572404
2410,	0.76327,0.00209855,0.769777,0.00650692
2420,	0.768539,0.00296276,0.854002,0.0854627
2430,	0.762985,0.000114795,0.731296,-0.0316889
2440,	0.767926,0.00238741,0.697721,-0.0702048
2450,	0.764598,-0.000916852,0.772356,0.00775789
2460,	0.771772,-0.000983822,0.687251,-0.0845213
2470,	0.762315,0.000673729,0.776141,0.0138265
2480,	0.769517,0.00112742,0.846192,0.0766745
2490,	0.769331,-0.000148092,0.747988,-0.0213433
2500,	0.766122,0.00160549,0.753488,-0.0126339
2510,	0.765114,-0.00108707,0.693083,-0.0720312
2520,	0.770795,-6.94099e-06,0.794008,0.0232134
2530,	0.770036,0.000779011,0.708599,-0.0614373
2540,	0.76272,0.00287766,0.674493,-0.0882267
2550,	0.761847,-0.00204979,0.788432,0.0265854
2560,	0.7692,-0.00111271,0.788767,0.019567
2570,	0.76392,-0.00120918,0.791553,0.0276337
2580,	0.769661,-0.00279739,0.743735,-0.0259261
2590,	0.769784,0.000866217,0.81635,0.0465654
2600,	0.762901,-0.00171495,0.72488,-0.038021
2610,	0.769453,0.000597638,0.759256,-0.0101978
2620,	0.764147,-0.000828968,0.722483,-0.0416639
2630,	0.766285,0.00211777,0.724049,-0.042236
2640,	0.763673,0.0009298,0.762807,-0.000866573
2650,	0.771037,0.00363058,0.704099,-0.066938
2660,	0.772412,0.00163813,0.76432,-0.00809167
2670,	0.767348,-0.00185394,0.786217,0.0188691
2680,	0.773225,-0.00629438,0.731474,-0.0417505
