ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.62678,0.0149082,null,null,null
0.61001,null,-0.0139927,null,null
0.544585,0.02912,null,null,null
0.52682,null,0.0364027,null,null
0.554345,-0.068538,null,null,null
0.504435,null,-0.0334962,null,null
0.486018,-0.052186,null,null,null
0.419677,null,-0.085481,null,null
0.419694,-0.0461402,null,null,null
0.386436,null,-0.198364,null,null
0.448941,-0.0052961,null,null,null
0.366281,null,-0.21022,null,null
0.449072,0.10973,null,null,null
0.411998,null,-0.206445,null,null
0.444368,0.108391,null,null,null
0.426534,null,-0.190373,null,null
0.466058,0.131992,null,null,null
0.377239,null,-0.113903,null,null
0.391496,0.129999,null,null,null
0.375976,null,-0.0491082,null,null
0.449296,0.0450171,null,null,null
0.317823,null,-0.0884435,null,null
0.413974,0.0371672,null,null,null
0.372248,null,-0.0893195,null,null
0.439896,0.067919,null,null,null
0.430781,null,-0.0265327,null,null
0.418806,0.0718495,null,null,null
0.332819,null,0.0236302,null,null
0.449604,0.0417745,null,null,null
0.380119,null,0.0215055,null,null
0.432968,0.044632,null,null,null
0.394851,null,0.088908,null,null
0.471253,-0.0207254,null,null,null
0.376821,null,0.067094,null,null
0.36014,0.00161166,null,null,null
0.434174,null,0.109011,null,null
0.433634,-0.0683155,null,null,null
0.43273,null,0.0527845,null,null
0.482318,-0.0430647,null,null,null
0.394872,null,-0.00853615,null,null
0.414853,-0.0311109,null,null,null
0.41828,null,-0.0539755,null,null
0.421792,-0.0436414,null,null,null
0.470506,null,-0.0702145,null,null
0.408332,-0.0579655,null,null,null
0.47322,null,-0.0566095,null,null
0.427723,-0.059973,null,null,null
0.403148,null,-0.101371,null,null
0.446161,-0.00610045,null,null,null
0.401056,null,-0.072411,null,null
0.414349,-0.0341154,null,null,null
0.40372,null,-0.126499,null,null
0.414349,-0.0341154,null,null,null
0.40372,null,-0.126499,null,null
0.424235,0.0206565,null,null,null
0.377597,null,-0.0946535,null,null
0.419893,0.063197,null,null,null
0.33552,null,-0.0845095,null,null
0.400869,-0.0202183,null,null,null
0.372787,null,-0.0672365,null,null
0.400869,-0.0202183,null,null,null
0.372787,null,-0.0672365,null,null
0.371588,0.0521325,null,null,null
0.400064,null,-0.0162982,null,null
0.41942,-0.0332727,null,null,null
0.463386,null,0.0462715,null,null
0.317103,-0.0069309,null,null,null
0.416809,null,0.00720705,null,null
0.379326,-0.077021,null,null,null
0.408959,null,0.053269,null,null
0.384481,-0.062669,null,null,null
0.386776,null,0.0730195,null,null
0.382516,-0.116928,null,null,null
0.377429,null,0.0429597,null,null
0.408952,-0.104894,null,null,null
0.403895,null,0.0720065,null,null
0.352667,-0.111885,null,null,null
0.415791,null,0.091977,null,null
0.359604,-0.170118,null,null,null
0.449548,null,0.0119553,null,null
0.276023,-0.105415,null,null,null
0.390904,null,0.057064,null,null
0.317179,-0.164551,null,null,null
0.382873,null,0.0217154,null,null
0.269126,-0.0900235,null,null,null
0.409438,null,0.0283668,null,null
0.272383,-0.110269,null,null,null
0.361373,null,0.0313961,null,null
0.277129,-0.073213,null,null,null
0.323968,null,-0.00973905,null,null
0.259651,-0.0367722,null,null,null
0.345392,null,0.0291019,null,null
