t,cg_iters
639,6353
640,5864
641,5684
642,6071
643,6169
644,6104
645,5974
646,5972
647,6525
648,6869
649,6779
650,6536
651,6952
652,7776
653,8088
654,7858
655,7927
656,7170
657,6627
658,6949
659,6895
660,6558
661,6450
662,6293
663,5838
664,6006
665,6436
666,6044
667,5863
668,6059
669,6093
670,6243
671,6127
672,6221
673,6269
674,6585
675,6330
676,5976
677,6220
678,6535
679,5941
680,5491
681,6067
682,6481
683,6867
684,6949
685,6290
686,6216
687,6525
688,6023
689,6328
690,6294
691,6854
692,7101
693,6716
694,6418
695,6603
696,6549
697,6422
698,6259
699,6171
700,5990
701,6103
702,6216
703,6085
704,6072
705,6315
706,6500
707,6793
708,7550
709,8165
710,8322
711,7168
712,6618
713,6620
714,6807
715,6782
716,6947
717,6848
718,6960
719,7301
720,7550
721,7676
722,7233
723,7212
724,7363
725,7196
726,7072
727,7109
728,7166
729,7189
730,6927
731,7114
732,6860
733,6103
734,5711
735,5526
736,6016
737,6349
738,5903
739,5478
740,5301
741,5668
742,5712
743,5893
744,6092
745,5944
746,5629
747,5295
748,5412
749,5852
750,5770
751,5699
752,5396
753,5068
754,5126
755,5553
756,5813
757,6399
758,6599
759,6509
760,6311
761,6542
762,6324
763,6004
764,5913
765,6091
766,5915
767,5474
768,5330
769,5612
770,5514
771,5692
772,5552
773,5444
774,5110
775,5134
776,5365
777,5457
778,5445
779,5314
780,5382
781,5380
782,5728
783,5553
784,5499
785,5750
786,6049
787,6555
788,6631
789,6171
790,5495
791,5568
792,5342
793,5180
794,5308
795,5344
796,5330
797,5540
798,5563
799,5684
800,5264
801,5200
802,5154
803,5312
804,5858
805,5957
806,5794
807,5806
808,5620
809,5595
810,5429
811,5026
812,5126
813,5597
814,5838
815,5929
816,6068
817,6016
818,5769
819,5934
820,5662
821,5231
822,5315
823,5280
824,5210
825,5469
826,5382
827,5504
828,5658
829,5634
830,5647
831,5471
832,5517
833,5237
834,5268
835,5339
836,5351
837,5294
838,5243
839,5659
840,5770
841,5297
842,5460
843,5668
844,5621
845,5571
846,5442
847,5315
848,5173
849,5605
850,5225
851,4892
852,5074
853,5213
854,5137
855,5275
856,5673
857,6104
858,5961
859,5905
860,5826
861,5640
862,5364
863,5475
864,5447
865,5460
866,5893
867,5850
868,5802
869,5729
870,6138
871,6317
872,5939
873,5864
874,6290
875,6392
876,6019
877,6106
878,6281
879,6233
880,6552
881,6782
882,7375
883,7809
884,8161
885,8188
886,7558
887,7750
888,7896
889,7328
890,6898
891,6328
892,6338
893,6579
894,6490
895,6165
896,6397
897,6827
898,7264
899,7015
900,6214
901,6261
902,6310
903,6790
904,6984
905,6871
906,7140
907,7031
908,6646
909,5851
910,6204
911,6493
912,6467
913,6218
914,6270
915,5997
916,5936
917,6114
918,6518
919,6674
920,6360
921,6417
922,6022
923,5865
924,6307
925,6217
926,5550
927,5619
928,6023
929,6061
930,5766
931,5834
932,5971
933,6644
934,6727
935,6365
936,5990
937,6192
938,6478
939,6380
940,6056
941,6205
942,6245
943,6200
944,6551
945,6704
946,7087
947,7257
948,7449
949,7122
950,6793
951,6866
952,7355
953,7584
954,8056
955,7406
956,6332
957,6038
958,6327
959,6085
960,6017
961,5780
962,5867
963,5830
964,5652
965,5636
966,5657
967,5527
968,5979
969,5893
970,6318
971,6220
972,6634
973,6934
974,6653
975,6649
976,6667
977,6577
978,6675
979,6229
980,6222
981,6082
982,6270
983,6244
984,6540
985,7091
986,6915
987,7080
988,7061
989,7200
990,7438
991,7162
992,7303
993,6451
994,6733
995,7429
996,7021
997,7259
998,7971
999,7895
1000,7398
1001,6977
1002,7407
1003,7994
1004,8010
1005,7802
1006,7803
1007,7563
1008,7531
1009,7375
1010,6928
1011,7206
1012,7598
1013,8629
1014,8055
1015,7377
1016,7281
1017,7295
1018,7090
1019,6778
1020,6596
1021,6893
1022,6838
1023,6557
1024,6868
1025,6956
1026,6952
1027,6434
1028,6199
1029,6192
1030,6767
1031,7017
1032,6734
1033,6392
1034,6452
1035,6153
1036,6060
1037,6300
1038,6154
1039,6096
1040,5688
1041,5688
1042,5333
1043,5475
1044,5404
1045,5841
1046,5951
1047,5529
1048,5634
1049,5964
1050,5835
1051,5455
1052,5319
1053,5612
1054,6028
1055,5952
1056,6073
1057,6140
1058,6171
1059,5831
1060,5648
1061,5719
1062,6407
1063,6777
1064,6579
1065,6972
1066,7482
1067,7469
1068,7602
1069,7322
1070,7519
