MDTU,susyTrans,Im(bilin)
2060,-0.0340869,-0.00132243
2070,-0.0536417,0.00201468
2080,-0.0277871,-0.00309617
2090,-0.0251934,-0.00445212
2100,0.0376799,-0.00084232
2110,-0.027581,0.000884719
2120,0.00318163,0.000755156
2130,-0.0330184,-0.00261515
2140,0.0158883,0.00299979
2150,-0.0701977,-0.00101386
2160,-0.0267942,0.000156843
2170,-0.0136169,-0.000213467
2180,0.01695,0.00157086
2190,0.0321511,0.00192307
2200,0.0240859,0.00125774
2210,0.0028864,0.0031968
2220,0.000466932,-7.22316e-05
2230,0.017776,-0.00144487
2240,-0.0416881,-0.000297762
2250,-0.0475564,0.000495563
2260,-0.10077,0.0048065
2270,0.0351099,-0.00055464
2280,-0.121698,0.000139146
2290,0.00850305,-0.00259948
2300,-0.0387529,-0.0027493
2310,-0.0169241,0.00156928
2320,0.019849,-0.00329673
2330,0.0463573,-0.00264908
2340,0.037952,-2.74301e-06
2350,0.00101797,0.00124747
2360,-0.0146759,-0.0014206
2370,0.0231109,-0.00199647
2380,-0.0498089,0.00111536
2390,0.0142717,-0.000431313
2400,0.0032247,-0.00297954
2410,-0.0222885,-0.00263425
2420,0.0771578,0.0013123
2430,-0.011316,-0.000273195
2440,-0.0382378,0.00132287
2450,-0.00760696,-0.000216556
2460,-0.0123063,-0.000835537
2470,-0.0430447,-0.00355366
2480,-0.0480057,0.0015879
2490,-0.0024262,-0.000476265
2500,-0.0109719,0.00322326
2510,-0.0312999,-7.51872e-05
2520,-0.0036857,0.000615711
2530,-0.0439619,0.000787313
2540,-0.0085543,-0.00149741
2550,0.0573824,-0.00178434
2560,-0.0276108,0.00276797
2570,0.0321112,0.000190931
2580,-0.0230372,0.00563903
2590,0.0732559,-6.49509e-06
2600,-0.0323779,-0.00212873
2610,-0.096861,0.000550337
2620,0.029643,-0.00177216
2630,-0.0142001,0.00036609
2640,0.0207412,0.00153423
2650,0.0238195,-3.47985e-06
2660,0.00458272,0.00292669
2670,-0.041601,0.00287101
2680,0.0246866,-0.00235287
2690,-0.0570447,0.000512111
2700,0.0423265,-0.00128052
2710,-0.0261703,0.00102348
2720,-0.0441158,-0.000431795
2730,-0.00694081,0.00533783
2740,-0.00556583,-2.3004e-05
2750,-0.0182498,0.00117124
2760,-0.0818785,0.00180935
2770,-0.0284624,0.00111734
2780,0.0491796,-0.0015716
2790,0.0462576,-0.000337975
2800,-0.0437144,0.00778055
2810,-0.0501506,0.00180018
2820,-0.0134897,0.00308416
2830,-0.00755261,0.00095858
2840,-0.00518221,-0.00262107
2850,0.0149527,0.000738136
2860,0.0327665,-0.0010432
2870,0.0503591,0.00111218
2880,-0.0957993,0.00289874
2890,-0.0393132,7.43717e-05
2900,0.0308318,0.00123445
2910,0.012462,-7.10287e-05
2920,0.052113,-0.000778488
2930,0.0209687,0.00192832
2940,-0.0499227,-0.00295467
2950,0.0720643,0.00083932
2960,-0.020175,-0.00105771
2970,0.0712039,-0.003446
2980,0.0772639,-0.0020285
2990,-0.0275941,-0.00103656
3000,-0.00561406,0.00101847
3010,-0.0494039,-0.00460411
3020,-0.0408246,-0.000367153
3030,-0.057205,-0.0015154
3040,-0.0311907,-0.00133333
3050,0.0639694,0.00135384
3060,-0.0152302,0.000779253
3070,-0.00915132,0.00432965
3080,-0.0387162,-0.000507948
3090,-0.0418888,0.00223862
3100,0.0374164,-0.00260708
3110,-0.0456061,0.000210725
3120,0.0124994,-9.35013e-06
3130,-0.00190781,0.00500406
3140,0.0238543,0.00136362
3150,0.045665,-0.000429452
3160,-0.0542371,-0.00147016
3170,-0.0348197,-0.00496116
3180,-0.0084902,-3.70403e-05
3190,0.0115111,0.000744161
3200,-0.00792621,-0.00652217
3210,0.0173072,-0.00148951
3220,0.0437318,0.00329366
3230,-0.000568189,-0.00283568
3240,0.029785,9.06124e-06
3250,-0.028608,-0.0012216
3260,-0.0280807,-0.00124247
3270,-0.0312188,0.00334445
3280,-0.00263589,0.000968109
3290,-0.00913036,-0.00190449
3300,-0.0301482,-0.00132874
3310,-0.0937154,0.000754867
3320,-0.0710786,-0.000331534
3330,0.0172366,-0.0030007
3340,-0.0336196,0.000335052
3350,-0.0381175,0.00150849
3360,-0.0869993,-0.00277282
3370,-0.0315486,-0.000536143
3380,-0.0633908,0.00157569
3390,-0.0667865,0.00396501
3400,-0.0047968,-0.00178122
3410,0.0300305,-0.00311852
3420,-0.0518645,0.00205454
3430,0.031675,-0.000735381
3440,-0.00404533,0.00213658
3450,0.0614719,0.00143355
3460,-0.000417092,0.00501754
3470,0.0492047,0.00466836
3480,-0.0459646,0.00305958
3490,-0.0215251,-0.0005802
3500,0.0637746,-0.00301813
3510,-0.00765659,0.00279561
3520,-0.0356979,-0.00238943
3530,0.0305082,-0.000418756
3540,-0.0100016,0.000336507
3550,-0.0716374,-0.00226049
3560,-0.052193,0.00396581
3570,0.041916,0.00719576
3580,-0.0279755,0.00349527
3590,-0.0464202,0.000173
3600,-0.00353841,0.000854462
3610,0.0332445,-0.000685315
3620,0.0144215,0.00260409
3630,0.125679,0.00088806
3640,-0.0164207,-0.00326788
3650,-0.0907571,0.00154683
3660,-0.0521528,0.00284091
3670,-0.0161248,0.000997128
3680,0.0199815,0.000430509
3690,0.0123109,0.00329479
3700,-0.0211725,0.00115504
3710,0.0293141,-0.00101359
3720,0.00306101,0.000272272
3730,-0.069111,0.00360034
3740,-0.109087,-0.000729038
3750,-0.0848413,-0.00119267
3760,-0.00834575,-0.000565742
3770,-0.00506185,-0.00151043
3780,0.00862979,-0.000357266
3790,-0.0234617,-0.00259384
3800,0.0734234,-0.00356484
3810,-0.0216065,-0.00103881
3820,-0.0408222,0.00179632
3830,-0.0597517,0.00168505
3840,-0.000747946,0.00169626
3850,0.021719,0.0029044
3860,-0.0808277,-0.00113953
3870,-0.0107772,-1.60106e-05
3880,0.0458063,0.00404372
3890,0.0243615,0.000346917
3900,-0.0911511,-0.00214405
3910,-0.0300744,-0.000159041
3920,0.0624973,0.000790022
3930,-0.0525537,0.00479719
3940,0.0233006,0.00186453
3950,-0.0475925,-0.000370333
3960,0.0236593,0.00198214
3970,-0.0774101,-0.000797518
3980,-0.0233968,0.00120638
3990,-0.0856854,0.00304581
4000,-0.100265,-0.00134811
4010,-0.00390127,-0.00227492
