ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
1.41992,-0.00427121,null,null,null
1.55414,null,-0.145464,null,null
1.58042,0.086672,null,null,null
1.8594,null,0.279151,null,null
1.55432,-0.328769,null,null,null
1.73463,null,-0.0189326,null,null
1.53838,-0.120769,null,null,null
1.78375,null,-0.721885,null,null
1.48645,-0.3964,null,null,null
1.42236,null,-1.27398,null,null
1.24104,-0.0413271,null,null,null
1.40555,null,-0.94173,null,null
1.58821,0.355189,null,null,null
1.37643,null,-0.85456,null,null
1.34736,0.421341,null,null,null
1.86641,null,-0.951465,null,null
1.60011,0.393269,null,null,null
1.50228,null,-0.685165,null,null
1.62085,0.231627,null,null,null
1.39903,null,-0.287124,null,null
1.67247,-0.0118403,null,null,null
1.21073,null,-0.85288,null,null
1.67247,-0.0118403,null,null,null
1.21073,null,-0.85288,null,null
1.67247,-0.0118403,null,null,null
1.21073,null,-0.85288,null,null
1.52274,0.229491,null,null,null
0.89142,null,-0.22844,null,null
2.2653,0.093736,null,null,null
0.74025,null,-0.197309,null,null
2.32773,0.250661,null,null,null
1.03907,null,0.131434,null,null
1.69908,0.88898,null,null,null
0.992905,null,-0.204497,null,null
1.63882,1.00415,null,null,null
1.27547,null,-0.189751,null,null
1.81196,0.807585,null,null,null
1.75249,null,-0.58386,null,null
2.03915,0.72863,null,null,null
1.13089,null,-0.528215,null,null
1.57435,1.28508,null,null,null
0.771805,null,-0.763805,null,null
2.3657,1.38515,null,null,null
0.81555,null,-0.73828,null,null
2.46315,1.0855,null,null,null
0.77256,null,-0.60029,null,null
1.7675,1.56233,null,null,null
0.410351,null,-1.00087,null,null
1.92054,2.40085,null,null,null
0.54545,null,-0.89266,null,null
1.66325,1.85294,null,null,null
0.433812,null,-0.718165,null,null
1.91641,1.63807,null,null,null
0.582935,null,-0.91293,null,null
2.68797,1.90003,null,null,null
0.0286337,null,-1.0432,null,null
2.33878,1.75866,null,null,null
-0.257018,null,-0.85044,null,null
2.56758,1.50222,null,null,null
-0.111079,null,-0.679385,null,null
2.56758,1.50222,null,null,null
-0.111079,null,-0.679385,null,null
2.56758,1.50222,null,null,null
-0.111079,null,-0.679385,null,null
2.56758,1.50222,null,null,null
-0.111079,null,-0.679385,null,null
2.168,0.983935,null,null,null
-0.299349,null,-0.98913,null,null
1.96673,1.22983,null,null,null
-0.244325,null,-0.802975,null,null
1.53502,1.65125,null,null,null
-0.646775,null,-0.708045,null,null
1.7977,1.44345,null,null,null
-0.310845,null,-0.78313,null,null
1.04973,1.23001,null,null,null
-0.39219,null,-0.512855,null,null
1.52429,1.4502,null,null,null
-0.498732,null,-0.58451,null,null
1.15909,1.30987,null,null,null
-0.452176,null,-0.529995,null,null
1.39017,1.36139,null,null,null
-0.590035,null,-0.634905,null,null
1.65417,1.13901,null,null,null
-0.497771,null,-0.45245,null,null
1.75853,1.31774,null,null,null
-0.305422,null,-0.66017,null,null
1.90308,0.956215,null,null,null
-0.392249,null,-0.75576,null,null
1.95223,1.52605,null,null,null
-0.200522,null,-0.895335,null,null
1.5717,1.18749,null,null,null
-0.3199,null,-0.416177,null,null
2.0261,1.03617,null,null,null
-0.333685,null,-0.405285,null,null
1.83764,1.28652,null,null,null
-0.190781,null,-0.457651,null,null
1.37597,1.71707,null,null,null
-0.150519,null,-0.360282,null,null
1.91416,1.87529,null,null,null
0.058306,null,-0.545705,null,null
1.90616,2.58798,null,null,null
0.0207834,null,-0.421259,null,null
1.21046,2.4622,null,null,null
0.0181655,null,-0.428235,null,null
1.27588,2.19915,null,null,null
0.080666,null,-0.405923,null,null
1.00869,2.29264,null,null,null
0.0671615,null,-0.428212,null,null
1.76521,2.25569,null,null,null
-0.00748195,null,-0.475988,null,null
1.83312,1.79775,null,null,null
0.156256,null,-0.57087,null,null
0.950245,1.78415,null,null,null
0.0339984,null,-0.466033,null,null
1.04329,1.45024,null,null,null
0.0842535,null,-0.56756,null,null
0.959515,1.36794,null,null,null
0.332748,null,-0.682505,null,null
0.995205,1.09644,null,null,null
0.0284573,null,-0.832855,null,null
0.84499,1.34298,null,null,null
0.320527,null,-0.704535,null,null
0.7181,1.39948,null,null,null
0.355565,null,-0.874805,null,null
1.30601,1.34482,null,null,null
0.293494,null,-0.644365,null,null
1.0894,0.62178,null,null,null
0.473568,null,-0.89203,null,null
1.14541,0.68149,null,null,null
0.635855,null,-0.510005,null,null
1.24799,1.02833,null,null,null
0.669475,null,-0.727995,null,null
1.4568,0.350942,null,null,null
0.67986,null,-0.623965,null,null
2.10698,0.674825,null,null,null
0.51203,null,-0.74672,null,null
1.90169,0.491412,null,null,null
1.00763,null,-0.504455,null,null
1.94447,0.207013,null,null,null
