MDTU,plaq_ss,plaq_st
1,1.11496,1.13046
2,1.13278,1.14128
3,1.11507,1.08766
4,1.12647,1.07675
5,1.11343,1.06056
6,1.08833,1.03434
7,1.11782,1.05301
8,1.09214,1.03056
9,1.1016,1.05326
10,1.08881,1.02689
11,1.10725,1.05984
12,1.10725,1.05984
13,1.10725,1.05984
14,1.07761,1.03767
15,1.06172,1.04803
16,1.08519,1.04418
17,1.06185,1.03487
18,1.10181,1.02924
19,1.11916,1.02152
20,1.10129,1.00665
21,1.08109,1.03313
22,1.068,1.04446
23,1.06974,1.03776
24,1.07125,1.04878
25,1.07036,1.03135
26,1.06886,1.03144
27,1.06729,1.03104
28,1.08119,1.02709
29,1.0619,1.037
30,1.07091,1.04326
31,1.07091,1.04326
32,1.07091,1.04326
33,1.07091,1.04326
34,1.06374,1.03404
35,1.06785,1.04496
36,1.07427,1.04686
37,1.06954,1.05268
38,1.05537,1.04997
39,1.04956,1.05653
40,1.04747,1.03878
41,1.06889,1.05319
42,1.0525,1.04684
43,1.06227,1.02697
44,1.0951,1.02921
45,1.08648,1.02475
46,1.0631,1.02437
47,1.06539,1.0447
48,1.05093,1.04436
49,1.05638,1.02996
50,1.05669,1.03317
51,1.06412,1.04025
52,1.07157,1.02334
53,1.05518,1.02678
54,1.04562,1.03679
55,1.0625,1.02791
56,1.03893,1.02925
57,1.04848,1.05032
58,1.03328,1.03192
59,1.05419,1.04436
60,1.05603,1.04525
61,1.04696,1.03285
62,1.06571,1.03574
63,1.06702,1.02315
64,1.07123,1.04507
65,1.05327,1.02664
66,1.0866,1.03604
67,1.07301,1.01345
68,1.08789,1.03592
69,1.09956,1.01432
70,1.09796,1.01792
71,1.08417,1.01494
72,1.10351,1.02571
73,1.10351,1.02571
74,1.08858,1.00995
75,1.09415,1.02677
76,1.08501,1.01653
77,1.06631,1.04362
78,1.04892,1.03815
79,1.02721,1.05424
80,1.02106,1.05489
81,1.02237,1.05758
82,1.02237,1.05758
83,1.00858,1.06389
84,1.00391,1.06795
85,0.992118,1.06794
86,0.983081,1.07083
87,0.994365,1.05867
88,1.00477,1.07119
89,1.00975,1.05352
90,1.01944,1.06272
91,1.02376,1.03616
92,1.06137,1.06531
93,1.03443,1.04341
94,1.03374,1.05515
95,1.02517,1.04982
96,1.03948,1.03606
97,1.04487,1.06277
98,1.004,1.05616
99,1.02545,1.06738
100,1.01218,1.06352
101,0.998228,1.05889
102,1.02076,1.04045
103,1.03374,1.0539
104,1.01806,1.0594
105,0.995034,1.05296
106,1.00378,1.07206
107,1.03466,1.0516
108,1.0599,1.05645
109,1.04253,1.06772
110,1.02637,1.05827
111,1.04332,1.05572
112,1.06938,1.06555
113,1.07813,1.05582
114,1.09433,1.04592
115,1.11892,1.0541
116,1.10455,1.04322
117,1.08048,1.06444
118,1.08077,1.05594
119,1.08077,1.05594
120,1.07766,1.0567
121,1.09107,1.06965
122,1.06899,1.04057
123,1.05853,1.06231
124,1.0489,1.06655
125,1.04634,1.05309
126,1.06187,1.07695
127,1.01823,1.07059
128,1.01367,1.07857
129,0.981155,1.04506
130,1.02424,1.082
131,1.01256,1.07223
132,0.98569,1.07938
133,0.985983,1.0965
134,0.964917,1.08622
135,0.954275,1.08052
136,0.959859,1.10083
137,0.956325,1.07997
138,0.946976,1.0825
139,0.963539,1.0876
140,0.933383,1.08501
141,0.96548,1.07564
142,0.958936,1.08526
143,0.966485,1.08077
144,0.951743,1.10581
145,0.937421,1.07983
146,0.937421,1.07983
147,0.979098,1.09539
148,0.965951,1.07413
149,0.974219,1.08267
150,0.967785,1.08612
151,0.969498,1.07589
152,0.955011,1.08093
153,0.95625,1.09164
154,0.951491,1.08406
155,0.949717,1.09041
156,0.945492,1.08149
157,0.953914,1.08645
