MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.768433,0.00074549,0.683084,-0.0853489
20,	0.765542,-0.000963656,0.66774,-0.0978015
30,	0.767816,-0.000749897,0.792931,0.0251153
40,	0.771368,-0.00366787,0.721193,-0.0501749
50,	0.762603,0.00360762,0.757441,-0.00516254
60,	0.766807,0.00498748,0.809764,0.042957
70,	0.76655,0.00110523,0.743424,-0.0231264
80,	0.767704,-0.00320242,0.720986,-0.0467181
90,	0.76774,0.0033781,0.772029,0.00428925
100,	0.766509,0.00399593,0.789957,0.0234485
110,	0.764934,-0.0022219,0.690787,-0.0741464
120,	0.767209,0.0020821,0.736401,-0.0308081
130,	0.76585,0.000409592,0.813892,0.0480415
140,	0.770753,0.000540361,0.711101,-0.0596516
150,	0.767588,-0.00252742,0.781295,0.0137073
160,	0.772121,0.000738456,0.808659,0.0365382
170,	0.766161,0.000442341,0.80872,0.0425583
180,	0.765123,-0.00334099,0.776891,0.0117688
190,	0.765253,-0.0011158,0.796139,0.0308864
200,	0.763235,0.00148817,0.746233,-0.0170014
210,	0.770161,-0.00161434,0.723131,-0.0470307
220,	0.765717,-0.00116714,0.689772,-0.075945
230,	0.76715,0.00288718,0.816845,0.0496944
240,	0.764811,0.00203139,0.764793,-1.83568e-05
250,	0.767052,0.00214616,0.714707,-0.0523457
260,	0.771336,-0.000835936,0.725149,-0.046187
270,	0.769449,0.00264959,0.76109,-0.008359
280,	0.766436,0.00100658,0.715104,-0.051332
290,	0.767666,0.0023459,0.782752,0.0150858
300,	0.771811,-0.00305084,0.769425,-0.00238589
310,	0.770088,-0.000770406,0.745431,-0.0246573
320,	0.771254,-0.00086776,0.803062,0.0318086
330,	0.764176,0.00142973,0.758913,-0.00526312
340,	0.771973,-0.0017844,0.728915,-0.0430578
350,	0.766962,-0.00316084,0.74246,-0.0245025
360,	0.771654,0.000818764,0.766997,-0.0046572
370,	0.767532,0.000245555,0.740437,-0.0270957
380,	0.769906,-0.00167295,0.85956,0.0896538
390,	0.763922,0.00131125,0.729194,-0.0347271
400,	0.771389,0.00237474,0.790988,0.019599
410,	0.769748,0.00104902,0.712812,-0.0569352
420,	0.774294,0.00568453,0.774421,0.000126462
430,	0.76973,0.00743199,0.802453,0.0327233
440,	0.771705,-0.000441326,0.829272,0.0575673
450,	0.770378,-0.00265901,0.744031,-0.0263465
460,	0.768584,-0.00202974,0.739671,-0.0289129
470,	0.763778,-0.00212115,0.795844,0.0320665
480,	0.77434,0.00305617,0.727002,-0.0473379
490,	0.768508,0.00300711,0.821646,0.0531377
