MDTU,min_ave,max_ave
1,-0.115324,0.152299
2,-0.131848,0.170858
3,-0.15355,0.171506
4,-0.159782,0.174955
5,-0.171657,0.177407
6,-0.179799,0.17282
7,-0.178799,0.180614
8,-0.185399,0.177539
9,-0.178959,0.180371
10,-0.189597,0.177147
11,-0.182453,0.182109
12,-0.182453,0.182109
13,-0.182453,0.182109
14,-0.187563,0.176073
15,-0.18724,0.177382
16,-0.184295,0.179345
17,-0.190106,0.17742
18,-0.187014,0.178673
19,-0.189081,0.179426
20,-0.194258,0.177134
21,-0.18958,0.1783
22,-0.190076,0.178384
23,-0.193619,0.177268
24,-0.188479,0.179421
25,-0.192268,0.177823
26,-0.192894,0.176723
27,-0.193539,0.177763
28,-0.189272,0.177998
29,-0.190583,0.177343
30,-0.189156,0.17984
31,-0.189156,0.17984
32,-0.189156,0.17984
33,-0.189156,0.17984
34,-0.191542,0.176973
35,-0.185801,0.177664
36,-0.188762,0.179255
37,-0.188611,0.179967
38,-0.189005,0.179122
39,-0.189713,0.180887
40,-0.188455,0.176133
41,-0.185098,0.180156
42,-0.189159,0.179821
43,-0.192238,0.177845
44,-0.186443,0.179538
45,-0.189571,0.179165
46,-0.194308,0.178755
47,-0.188443,0.180334
48,-0.187779,0.178503
49,-0.189602,0.176366
50,-0.189827,0.177192
51,-0.189664,0.178627
52,-0.190781,0.177484
53,-0.19173,0.175419
54,-0.191956,0.178604
55,-0.195749,0.180002
56,-0.201966,0.180445
57,-0.19388,0.182703
58,-0.198062,0.179376
59,-0.193151,0.182211
60,-0.192446,0.181758
61,-0.194344,0.179013
62,-0.193121,0.181828
63,-0.196804,0.181279
64,-0.193359,0.184017
65,-0.201342,0.181512
66,-0.192616,0.183152
67,-0.198082,0.179812
68,-0.190077,0.181949
69,-0.197245,0.181565
70,-0.195411,0.182278
71,-0.196586,0.180687
72,-0.186093,0.180106
73,-0.186093,0.180106
74,-0.197108,0.179404
75,-0.190848,0.181162
76,-0.195923,0.180259
77,-0.189665,0.181092
78,-0.189545,0.178906
79,-0.19337,0.182162
80,-0.195583,0.182416
81,-0.193846,0.181748
82,-0.193846,0.181748
83,-0.196062,0.182653
84,-0.194861,0.183141
85,-0.193844,0.181334
86,-0.194445,0.181915
87,-0.193397,0.179594
88,-0.196369,0.184384
89,-0.196544,0.180353
90,-0.192795,0.182296
91,-0.197576,0.179824
92,-0.189606,0.186115
93,-0.195113,0.180527
94,-0.19175,0.181337
95,-0.191975,0.179745
96,-0.192876,0.177893
97,-0.190689,0.183138
98,-0.19267,0.178405
99,-0.192273,0.181223
100,-0.189409,0.177856
101,-0.192627,0.175944
102,-0.194703,0.177265
103,-0.192614,0.178096
104,-0.197781,0.180253
105,-0.199835,0.176203
106,-0.190549,0.177436
107,-0.197657,0.180369
108,-0.192632,0.182846
109,-0.194009,0.18417
110,-0.194849,0.180049
111,-0.195059,0.182985
112,-0.193093,0.187103
113,-0.200958,0.190079
114,-0.206376,0.193444
115,-0.203567,0.196248
116,-0.207817,0.194046
117,-0.203438,0.194097
118,-0.206556,0.193923
119,-0.206556,0.193923
120,-0.204615,0.192817
121,-0.201801,0.193152
122,-0.207567,0.188716
123,-0.206106,0.192426
124,-0.203676,0.191319
125,-0.203026,0.18801
126,-0.19913,0.192139
127,-0.205582,0.187589
128,-0.200451,0.188177
129,-0.206421,0.180613
130,-0.199433,0.190937
131,-0.200754,0.18844
132,-0.203806,0.187886
133,-0.198168,0.188084
134,-0.205189,0.188462
135,-0.199289,0.183306
136,-0.197506,0.185532
137,-0.197991,0.181568
138,-0.196074,0.179095
139,-0.196538,0.182646
140,-0.195028,0.17697
141,-0.198602,0.180132
142,-0.193869,0.180024
143,-0.196191,0.179992
144,-0.192286,0.18285
145,-0.1954,0.177051
146,-0.1954,0.177051
147,-0.187756,0.181952
148,-0.191525,0.177087
149,-0.19258,0.181388
150,-0.193851,0.18184
151,-0.194112,0.179085
152,-0.190282,0.177172
153,-0.189703,0.178102
154,-0.193098,0.177972
155,-0.191367,0.177719
156,-0.194387,0.175414
157,-0.190869,0.176287
158,-0.188908,0.176546
159,-0.192319,0.17501
160,-0.189946,0.177823
161,-0.192611,0.176797
162,-0.192611,0.176797
163,-0.193381,0.179201
164,-0.196814,0.177748
165,-0.19458,0.177701
166,-0.194529,0.178059
167,-0.190211,0.178555
168,-0.194594,0.177182
169,-0.195611,0.178087
170,-0.192334,0.178908
171,-0.196789,0.174347
172,-0.190731,0.179703
173,-0.193142,0.174949
174,-0.190426,0.177185
175,-0.195559,0.17692
176,-0.19714,0.175563
177,-0.192896,0.179771
178,-0.192896,0.179771
179,-0.193509,0.172345
180,-0.190421,0.176854
181,-0.194966,0.177694
182,-0.190882,0.177236
183,-0.195209,0.17584
184,-0.193773,0.179072
185,-0.193826,0.177981
186,-0.197371,0.17986
187,-0.195915,0.175116
188,-0.192141,0.175761
189,-0.197347,0.178284
190,-0.197529,0.181947
191,-0.199828,0.179512
192,-0.199188,0.180085
193,-0.196681,0.182167
194,-0.200585,0.181945
195,-0.19403,0.182688
196,-0.196769,0.180109
197,-0.196464,0.179593
198,-0.194449,0.180148
199,-0.193478,0.179539
200,-0.193423,0.178579
201,-0.193423,0.178579
202,-0.193445,0.179896
203,-0.200119,0.182495
204,-0.193796,0.180514
205,-0.196702,0.180226
206,-0.198687,0.183048
207,-0.198389,0.182142
208,-0.201645,0.182187
209,-0.195626,0.17976
210,-0.193686,0.176843
211,-0.194867,0.178959
212,-0.193149,0.180228
213,-0.193125,0.180036
214,-0.195981,0.176877
215,-0.196143,0.178761
216,-0.198634,0.180229
217,-0.1955,0.180804
218,-0.191293,0.180681
219,-0.1913,0.175281
220,-0.192133,0.173003
221,-0.192159,0.175519
222,-0.189481,0.175155
223,-0.187855,0.170545
224,-0.19135,0.176578
225,-0.192974,0.17361
226,-0.187971,0.176733
227,-0.187971,0.176733
228,-0.193593,0.176699
229,-0.193593,0.176699
230,-0.188299,0.17709
231,-0.187925,0.176175
232,-0.189875,0.173163
233,-0.19049,0.176136
234,-0.187416,0.178462
