t,cond_num
10,9.12126
20,8.29653
30,8.36963
40,8.51755
50,8.41214
60,8.3041
70,8.22608
80,8.30715
90,8.17033
100,8.88264
110,8.29527
120,8.02692
130,7.99356
140,8.32171
150,8.12416
160,8.57474
170,8.5138
180,8.4887
190,8.43847
200,8.20116
210,8.47759
220,8.75363
230,8.67703
240,8.47204
250,8.7211
260,8.33053
270,8.27515
280,8.1553
290,8.26386
300,8.25671
310,8.24602
320,8.2877
330,8.29921
340,8.21632
350,8.65604
360,8.44029
370,8.19279
380,9.13048
390,8.26684
400,8.01406
410,8.03318
420,8.02818
430,8.04088
440,8.05716
450,8.10901
460,8.07453
470,8.22527
480,8.11269
490,8.13131
500,8.14701
510,8.10716
520,8.1969
530,8.19091
540,8.15797
550,8.28874
560,8.1536
570,8.38001
580,8.48308
590,8.56403
600,8.36525
610,8.45487
620,8.31437
630,8.36818
640,8.51253
650,9.25383
660,8.89385
670,8.67483
680,8.49534
690,8.75592
700,8.47756
710,9.07634
720,9.19259
730,8.93307
740,8.42908
750,8.62968
760,8.73341
770,8.77391
780,8.41138
790,8.43407
800,8.27617
810,8.27214
820,8.35567
830,8.50764
840,8.3061
850,8.17583
860,8.42638
870,8.72162
880,8.83074
890,8.73433
900,8.69038
910,8.75817
920,8.87621
930,8.49015
940,8.67034
950,8.66541
960,8.62258
970,8.62769
980,8.68217
990,9.01016
1000,9.1908
1010,9.16155
1020,8.76065
1030,9.03268
1040,8.35484
1050,8.46983
1060,8.44952
1070,9.47133
1080,8.54519
1090,9.27661
1100,8.39056
1110,8.32205
1120,8.23725
1130,8.36189
1140,8.46358
1150,8.62324
1160,9.03732
1170,8.64467
1180,8.8207
1190,8.78696
1200,8.62071
1210,8.84363
1220,8.93579
1230,9.12446
1240,8.75741
1250,8.85946
1260,8.68258
1270,8.81991
1280,8.81503
1290,8.66352
1300,9.32289
1310,8.43338
1320,8.68415
1330,9.18419
1340,9.41535
1350,9.5195
1360,9.18672
1370,9.17316
1380,10.4976
1390,8.97357
1400,8.18688
1410,8.66788
1420,9.10988
1430,8.47464
1440,8.63683
1450,8.81148
1460,8.65878
1470,8.97308
1480,9.01237
1490,8.54353
1500,8.90526
1510,8.83574
1520,8.43032
1530,8.45536
1540,8.30578
1550,8.44345
1560,8.67638
1570,8.82773
1580,8.58132
1590,8.73841
1600,8.41422
1610,8.40472
1620,8.43139
1630,8.70429
1640,8.4423
1650,8.30364
1660,8.36764
1670,8.47632
1680,8.22375
1690,8.6382
1700,8.57381
1710,8.24956
1720,8.02405
1730,8.31487
1740,8.00602
1750,8.20747
1760,8.02449
1770,8.1552
1780,8.02221
1790,8.18938
1800,8.13827
1810,8.17316
1820,8.50646
1830,8.3482
1840,7.94177
1850,8.66857
1860,8.31672
1870,8.37945
1880,8.40765
1890,8.26168
1900,8.32206
1910,8.69346
1920,8.562
1930,8.47354
1940,8.25193
1950,8.29231
1960,8.4324
1970,8.57698
1980,8.54764
1990,8.54158
2000,8.57122
2010,8.36427
2020,8.41937
2030,8.51251
2040,8.27366
2050,nan
