t,|deltaS|
1,4.678
2,1.52
3,0.2806
4,0.447
5,0.3053
6,0.06211
7,0.2374
8,0.01099
9,0.01429
10,0.06235
11,0.3126
12,0.2072
13,0.2595
14,0.03765
15,0.1372
16,0.03947
17,0.03568
18,0.0687
19,0.04151
20,0.2331
21,0.2999
22,0.2701
23,0.005139
24,0.03554
25,0.03802
26,0.07842
27,0.06144
28,0.01822
29,0.1034
30,0.02108
31,0.1724
32,0.4417
33,0.1819
34,0.08925
35,0.05528
36,0.06115
37,0.245
38,0.05979
39,0.1573
40,0.1749
41,0.05647
42,0.03185
43,0.05338
44,0.2607
45,0.2469
46,0.07762
47,0.02429
48,0.0295
49,0.1377
50,0.1477
51,0.154
52,0.1117
53,0.02567
54,0.02087
55,0.07574
56,0.09957
57,0.1485
58,0.1889
59,0.1612
60,0.1039
61,0.02253
62,0.1454
63,0.1264
64,0.1499
65,0.3069
66,0.1771
67,0.1995
68,0.2072
69,0.2684
70,0.2536
71,0.01677
72,0.06682
73,0.3824
74,0.04921
75,0.05171
76,0.08509
77,0.1833
78,0.05604
79,0.1168
80,0.1966
81,0.1716
82,0.2866
83,0.1807
84,0.2391
85,0.07485
86,0.01491
87,0.03694
88,0.07405
89,0.1244
90,0.003169
91,0.08771
92,0.04039
93,0.07355
94,0.02027
95,0.003394
96,0.04483
97,0.02631
98,0.2988
99,0.1493
100,0.1758
101,0.01531
102,0.2764
103,0.04199
104,0.007994
105,0.06971
106,0.05104
107,0.1641
108,0.09161
109,0.1749
110,0.03903
111,0.04659
112,0.144
113,0.06209
114,0.1694
115,0.08185
116,0.04926
117,0.13
118,0.0401
119,0.2099
120,0.05155
121,0.1616
122,0.07323
123,0.2643
124,0.09576
125,0.1735
126,0.1711
127,0.1426
128,0.03026
129,0.1779
130,0.03647
131,0.105
132,0.05068
133,0.2106
134,0.1201
135,0.03295
136,0.07708
137,0.1611
138,0.3903
139,0.08938
140,0.191
141,0.04104
142,0.136
143,0.3089
144,0.1517
145,0.05425
146,0.2493
147,0.06059
148,0.01197
149,0.1025
150,0.1025
151,0.1441
152,0.005102
153,0.007565
154,0.04708
155,0.3197
156,0.2318
157,0.0857
158,0.01108
159,0.3174
160,0.02651
161,0.1234
162,0.159
163,0.0002748
164,0.2933
165,0.1677
166,0.3068
167,0.08366
168,0.2951
169,0.02106
170,0.1809
171,0.01881
172,0.09847
173,0.1301
174,0.03621
175,0.1346
176,0.1836
177,0.03001
178,0.2133
179,0.127
180,0.1771
181,0.05416
182,0.06479
183,0.04225
184,0.1191
185,0.2617
186,0.0444
187,0.1652
188,0.1305
189,0.1937
190,0.1136
191,0.03703
192,0.1655
193,0.06014
194,0.2307
195,0.03708
196,0.09609
197,0.1638
198,0.01257
199,0.2627
200,0.149
201,0.07942
202,0.1148
203,0.367
204,0.3963
205,0.006017
206,0.4254
207,0.1685
208,0.05002
209,0.2592
210,0.2771
211,0.1746
212,0.07962
213,0.1182
214,0.05275
215,0.1907
216,0.1582
217,0.2365
218,0.3818
219,0.1671
220,0.141
221,0.139
222,0.1301
223,0.01677
224,0.007841
225,0.1919
226,0.4217
227,0.2223
228,0.1264
229,0.2052
230,0.1313
231,0.0209
232,0.04772
233,0.1522
234,0.2031
235,0.1501
236,0.1051
237,0.04578
238,0.02149
239,0.009213
240,0.02351
241,0.02314
242,0.09804
243,0.2565
244,0.263
245,0.06475
246,0.07452
247,0.01059
248,0.1477
249,0.4418
250,0.1699
251,0.01722
252,0.1626
253,0.04726
254,0.1053
255,0.1222
256,0.1983
257,0.2213
258,0.02275
259,0.1333
260,0.07104
261,0.153
262,0.2266
263,0.1384
264,0.006332
265,0.1316
266,0.2603
267,0.1543
268,0.156
269,0.2015
270,0.1783
271,0.0189
272,0.01954
273,0.02882
274,0.1294
275,0.1425
276,0.08374
277,0.3325
278,0.0973
279,0.127
280,0.02799
281,0.2246
282,0.07101
283,0.07528
284,0.2163
285,0.3305
286,0.1803
287,0.09354
288,0.02831
289,0.1807
290,0.1267
291,0.2376
292,0.1564
293,0.1683
294,0.1427
295,0.3575
296,0.1224
297,0.04424
298,0.03231
299,0.2266
300,0.1277
301,0.1719
302,0.02964
303,0.07218
304,0.04196
305,0.08108
306,0.1566
307,0.3193
308,0.09693
309,0.1441
310,0.412
311,0.2935
312,0.3751
313,0.4975
314,0.1177
315,0.08245
316,0.2932
317,0.1259
318,0.03033
319,0.01482
320,0.1087
321,0.02488
322,0.3527
323,0.05712
324,0.08942
325,0.04124
326,0.02839
327,0.1332
328,0.08606
329,0.2405
330,0.0543
331,0.1181
332,0.06808
333,0.2938
334,0.188
335,0.05716
336,0.1465
337,0.2457
338,0.0245
339,0.1012
340,0.005766
341,0.4726
342,0.1447
343,0.03542
344,0.1983
345,0.07167
346,0.1534
347,0.1766
348,0.06201
349,0.2337
350,0.1716
351,0.2009
352,0.1983
353,0.1093
354,0.1582
355,0.1827
356,0.05498
357,0.2802
358,0.0698
359,0.09179
360,0.1445
361,0.1127
362,0.2226
363,0.2917
