t,cost
10,3.18667
20,3.276
30,2.97467
40,3.124
50,3.22133
60,2.99467
70,3.16533
80,3.49467
90,4.17467
100,4.54133
110,4.64267
120,3.61733
130,3.81067
140,3.89067
150,3.37333
160,3.48133
170,3.788
180,3.48267
190,3.61067
200,3.53067
210,3.544
220,3.80133
230,4.024
240,3.852
250,3.92133
260,3.86
270,5.00533
280,4.11467
290,4.08533
300,3.73333
310,3.68133
320,4.07333
330,3.77333
340,4.344
350,4.388
360,4.336
370,4.38267
380,3.97333
390,3.91333
400,4.104
410,3.82667
420,3.95867
430,4.30933
440,4.09867
450,4.19333
460,3.92133
470,3.74667
480,3.512
490,3.508
500,3.77067
510,4.21333
520,3.97867
530,3.33467
540,3.848
550,4.10667
560,3.872
570,3.65867
580,3.89867
590,4.37867
600,4.08933
610,4.13867
620,4.10667
630,4.152
640,3.69733
650,3.876
660,3.89733
670,3.43467
680,3.412
690,3.704
700,4.00933
710,3.71333
720,4.24133
730,4.90533
740,3.97733
750,3.43867
760,3.47867
770,3.964
780,3.664
790,3.556
800,3.46267
810,3.48
820,3.47333
830,3.50933
840,3.66267
850,3.56667
860,3.332
870,3.55733
880,3.50267
890,3.42267
900,3.75733
910,3.448
920,4.16667
930,4.10933
940,3.62933
950,3.55733
960,3.40133
970,4.75067
980,3.55467
990,3.96133
1000,3.40933
1010,3.444
1020,3.264
1030,3.32933
1040,3.412
1050,3.92
1060,3.66133
1070,3.148
1080,2.976
1090,3.48
1100,3.62267
1110,3.08133
1120,3.072
1130,3.188
1140,3.44133
1150,3.31467
1160,3.17733
1170,3.38667
1180,3.50667
1190,3.408
1200,3.39867
1210,3.516
1220,3.48267
1230,3.21067
1240,3.404
1250,3.09067
1260,3.51733
1270,3.37467
1280,3.02667
1290,3.06
1300,3.34933
1310,3.23733
1320,3.21733
1330,3.124
1340,3.208
1350,3.33733
1360,3.216
1370,3.228
1380,3.16933
1390,3.58267
1400,3.72267
1410,3.63733
1420,3.78
1430,4.232
1440,3.54
1450,3.68533
1460,4.05467
1470,3.79867
1480,3.72933
1490,3.484
1500,4.05067
1510,4.95333
1520,4.816
1530,4.50667
1540,3.75867
1550,4.39467
1560,3.81867
1570,3.58533
1580,3.88133
1590,4.06133
1600,3.86133
1610,3.39067
1620,3.44267
1630,3.63733
1640,3.73467
1650,3.63467
1660,3.52
1670,3.676
1680,3.30267
1690,4.00933
1700,4.23067
1710,4.44533
1720,3.96267
1730,3.31067
1740,3.42533
1750,3.16667
1760,3.468
1770,3.436
1780,3.16667
1790,3.472
1800,3.71867
1810,4.028
1820,3.8
1830,3.51467
1840,3.31867
1850,3.16267
1860,3.34267
1870,3.14933
1880,3.37067
1890,3.568
1900,3.552
1910,4.14933
1920,3.94267
1930,4.404
1940,3.93467
1950,3.97467
1960,3.736
1970,3.716
1980,4.68
1990,3.696
2000,3.44667
2010,3.29467
2020,3.328
2030,3.53467
2040,3.34533
2050,3.45067
2060,3.404
2070,3.32267
2080,3.24933
2090,3.596
2100,3.39333
2110,3.43867
2120,4.32267
2130,4.512
2140,4.60667
2160,3.97467
2180,3.74
2200,3.64533
2220,3.54533
2240,3.65333
2260,4.896
2280,4.08
2300,4.464
2320,4.81867
2340,3.944
2360,3.90267
2380,3.95467
2400,3.816
2420,4.04
2440,4.14533
2460,4.19467
2480,4.78
2500,3.85067
2520,4.04267
2540,4.308
2560,4.78267
2580,3.87333
2600,4.08267
2620,3.99467
2640,4.03067
2660,4.49733
2680,4.04
2700,3.95067
2720,4.26667
2740,5.79333
2760,4.42533
2780,4.49333
2800,3.848
2820,3.896
2840,3.81467
2860,3.52533
2880,3.62
2900,3.69733
2920,4.25467
2940,4.73467
2960,4.2
2980,3.68533
3000,3.25467
3020,3.44
3040,3.48667
3060,3.49733
3080,3.76933
3100,3.35333
3120,3.428
3140,3.53067
3160,3.6
3180,3.444
3200,3.48133
3220,3.512
3240,3.652
3260,3.62533
3280,3.524
3300,3.88
3320,4.208
3340,3.90533
3360,3.37467
3380,3.49467
3400,3.61333
3420,3.52933
3440,3.52533
3460,3.80533
3480,3.66533
3500,4.09467
3520,4.93067
3540,4.61067
3560,4.77333
3580,4.58533
3600,4.75467
3620,3.82933
3640,4.15067
3660,4.108
3680,4.01067
3700,4.25867
3710,3.53867
3720,3.644
3730,4.05867
3740,3.35067
3750,3.632
3760,4.2
3770,3.89867
3780,3.57067
3790,3.59467
3800,3.132
3810,3.772
3820,3.44933
3830,3.14533
