ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.622505,0.0159618,null,null,null
0.602865,null,-0.0136061,null,null
0.54315,0.0278319,null,null,null
0.51865,null,0.0350809,null,null
0.55242,-0.063848,null,null,null
0.496289,null,-0.0331524,null,null
0.486391,-0.054924,null,null,null
0.410994,null,-0.090902,null,null
0.415522,-0.0506395,null,null,null
0.37032,null,-0.189605,null,null
0.439548,-0.00582255,null,null,null
0.34609,null,-0.203782,null,null
0.441068,0.0949375,null,null,null
0.387425,null,-0.192559,null,null
0.438933,0.084707,null,null,null
0.400718,null,-0.193884,null,null
0.439018,0.121693,null,null,null
0.356128,null,-0.104109,null,null
0.375136,0.107076,null,null,null
0.348859,null,-0.0415633,null,null
0.436383,0.00699135,null,null,null
0.305632,null,-0.086429,null,null
0.436383,0.00699135,null,null,null
0.305632,null,-0.086429,null,null
0.436383,0.00699135,null,null,null
0.305632,null,-0.086429,null,null
0.395406,0.057752,null,null,null
0.282747,null,-0.07381,null,null
0.395406,0.057752,null,null,null
0.282747,null,-0.07381,null,null
0.425366,0.12786,null,null,null
0.337674,null,-0.0314931,null,null
0.388159,0.040544,null,null,null
0.269246,null,-0.0271731,null,null
0.329033,0.092697,null,null,null
0.302793,null,-0.0198071,null,null
0.323979,-0.00121419,null,null,null
0.271168,null,-0.0895985,null,null
0.344744,0.0176422,null,null,null
0.252423,null,-0.0457795,null,null
0.241584,0.0120328,null,null,null
0.325223,null,-0.133167,null,null
0.385111,-0.0376056,null,null,null
0.327748,null,-0.127012,null,null
0.403999,-0.0427123,null,null,null
0.390058,null,-0.226422,null,null
0.327101,0.00429557,null,null,null
0.298896,null,-0.313865,null,null
0.289378,0.00151605,null,null,null
0.311469,null,-0.298714,null,null
0.24159,-0.0280913,null,null,null
0.303804,null,-0.35517,null,null
0.256012,-0.118599,null,null,null
0.195908,null,-0.339559,null,null
0.240207,-0.0572685,null,null,null
0.207654,null,-0.333629,null,null
0.244773,-0.123496,null,null,null
0.206152,null,-0.336777,null,null
0.114607,-0.043231,null,null,null
0.293472,null,-0.261252,null,null
0.114607,-0.043231,null,null,null
0.293472,null,-0.261252,null,null
0.090112,-0.144515,null,null,null
0.31014,null,-0.29571,null,null
0.107768,-0.144427,null,null,null
0.348281,null,-0.30948,null,null
0.093072,-0.0938665,null,null,null
0.326692,null,-0.244388,null,null
0.0669885,-0.0616335,null,null,null
0.343473,null,-0.221145,null,null
0.216913,-0.212001,null,null,null
0.309349,null,-0.219365,null,null
0.144367,-0.0998835,null,null,null
0.330163,null,-0.185408,null,null
0.101038,-0.119363,null,null,null
0.417596,null,-0.14244,null,null
0.073553,-0.106127,null,null,null
0.288301,null,-0.151551,null,null
0.103038,-0.108535,null,null,null
0.290997,null,-0.138874,null,null
0.073279,-0.204931,null,null,null
0.353158,null,-0.178869,null,null
-0.00750915,-0.146224,null,null,null
0.316971,null,-0.198242,null,null
-0.063131,-0.113851,null,null,null
0.232502,null,-0.180466,null,null
-0.0267786,-0.070953,null,null,null
0.272739,null,-0.158256,null,null
-0.068158,-0.0553575,null,null,null
0.295384,null,-0.178348,null,null
-0.079791,-0.0532,null,null,null
0.325701,null,-0.181314,null,null
-0.050356,-0.0035837,null,null,null
0.285697,null,-0.122982,null,null
-0.024868,-0.0107732,null,null,null
0.341437,null,-0.038587,null,null
-0.0588355,-0.159056,null,null,null
0.307061,null,-0.0176263,null,null
-0.00055676,-0.0921515,null,null,null
0.308251,null,-0.00787485,null,null
0.00293284,-0.133933,null,null,null
0.28838,null,-0.015544,null,null
0.0176408,-0.128395,null,null,null
0.289882,null,0.00186156,null,null
-0.00964065,-0.172954,null,null,null
0.248379,null,-0.0401199,null,null
0.092026,-0.234419,null,null,null
0.233038,null,-0.0994995,null,null
0.0196685,-0.247458,null,null,null
0.172575,null,-0.091488,null,null
-0.0364557,-0.148698,null,null,null
0.218034,null,0.00378897,null,null
-0.0482691,-0.131074,null,null,null
0.265278,null,-0.066443,null,null
-0.0117062,-0.0692805,null,null,null
0.129946,null,-0.0264964,null,null
-0.0355409,-0.137621,null,null,null
0.218027,null,-0.060259,null,null
0.00437523,-0.104393,null,null,null
0.0801945,null,-0.073153,null,null
0.0209603,-0.0337922,null,null,null
0.0620315,null,-0.097771,null,null
-0.0169175,-0.0107458,null,null,null
0.0600275,null,0.0314942,null,null
-0.0249935,-0.106456,null,null,null
0.0392477,null,0.0482666,null,null
-0.0139282,-0.0104706,null,null,null
0.172645,null,0.072311,null,null
0.00894585,0.0365992,null,null,null
0.118028,null,0.073496,null,null
-0.0887645,-0.0166713,null,null,null
0.146904,null,0.0631625,null,null
-0.0179946,0.0625505,null,null,null
0.192741,null,0.034866,null,null
-0.0431675,0.059433,null,null,null
0.252873,null,0.0287971,null,null
0.0216153,-0.0112753,null,null,null
0.287747,null,0.06989,null,null
-0.0258961,-0.0647655,null,null,null
0.282503,null,0.050784,null,null
-0.0321937,-0.0793635,null,null,null
0.354392,null,0.0682395,null,null
-0.0223132,-0.174778,null,null,null
0.286278,null,-0.00150021,null,null
-0.061162,-0.187112,null,null,null
0.325496,null,-0.0830915,null,null
-0.180903,-0.26367,null,null,null
0.39745,null,-0.114167,null,null
-0.112034,-0.247344,null,null,null
0.380306,null,-0.070041,null,null
-0.125094,-0.221846,null,null,null
0.409672,null,-0.0076094,null,null
-0.092393,-0.158402,null,null,null
0.374846,null,-0.0066961,null,null
-0.133286,-0.263924,null,null,null
0.350363,null,-0.0756375,null,null
-0.00191479,-0.265786,null,null,null
0.300824,null,-0.0939355,null,null
-0.0479982,-0.291435,null,null,null
0.36272,null,-0.115262,null,null
-0.0479982,-0.291435,null,null,null
0.36272,null,-0.115262,null,null
-0.0174389,-0.353065,null,null,null
0.344833,null,-0.0535615,null,null
-0.0476572,-0.34569,null,null,null
0.368941,null,-0.0258737,null,null
0.0353888,-0.343438,null,null,null
0.379761,null,-0.0418652,null,null
-0.0763325,-0.417711,null,null,null
0.352326,null,-0.0663975,null,null
-0.133599,-0.356909,null,null,null
0.372227,null,-0.135291,null,null
-0.174501,-0.40983,null,null,null
0.339055,null,-0.117166,null,null
-0.142033,-0.394787,null,null,null
0.427173,null,-0.114228,null,null
-0.168844,-0.407986,null,null,null
0.417001,null,-0.132256,null,null
-0.256347,-0.259052,null,null,null
0.321867,null,-0.084933,null,null
-0.163141,-0.301082,null,null,null
0.338728,null,-0.106965,null,null
-0.184606,-0.399562,null,null,null
0.346492,null,-0.0591585,null,null
-0.111605,-0.37541,null,null,null
0.378659,null,0.078799,null,null
-0.0873685,-0.419385,null,null,null
0.40569,null,0.123547,null,null
-0.014495,-0.381934,null,null,null
0.381398,null,0.125285,null,null
-0.0294623,-0.387084,null,null,null
0.307187,null,0.078676,null,null
-0.0247545,-0.352239,null,null,null
0.335456,null,0.0560315,null,null
0.0446621,-0.353332,null,null,null
0.285573,null,-0.0647245,null,null
0.111062,-0.354352,null,null,null
0.340639,null,0.0185068,null,null
0.130923,-0.42383,null,null,null
0.296646,null,-0.081607,null,null
0.130923,-0.42383,null,null,null
0.296646,null,-0.081607,null,null
0.0354636,-0.3481,null,null,null
0.318081,null,-0.0426354,null,null
0.0376617,-0.33644,null,null,null
0.363625,null,-0.0606935,null,null
0.0376617,-0.33644,null,null,null
0.363625,null,-0.0606935,null,null
0.0243683,-0.309578,null,null,null
0.34937,null,-0.0732015,null,null
0.11366,-0.347563,null,null,null
0.282965,null,-0.0972425,null,null
0.0223587,-0.371482,null,null,null
0.319312,null,-0.082854,null,null
0.0264106,-0.331707,null,null,null
0.305155,null,-0.00223118,null,null
0.0379524,-0.340139,null,null,null
0.198926,null,-0.058434,null,null
0.0222828,-0.33651,null,null,null
0.146043,null,-0.00093174,null,null
0.0134571,-0.332052,null,null,null
0.141097,null,-0.079903,null,null
0.018277,-0.296359,null,null,null
0.265404,null,-0.0412264,null,null
-0.0216672,-0.251792,null,null,null
0.235088,null,-0.0826135,null,null
-0.0278066,-0.208387,null,null,null
0.0605155,null,-0.0565875,null,null
-0.071447,-0.22338,null,null,null
0.0965505,null,-0.0232677,null,null
-0.0398849,-0.265821,null,null,null
0.131307,null,0.00192329,null,null
-0.108384,-0.271702,null,null,null
0.105876,null,0.0353798,null,null
-0.0491641,-0.33378,null,null,null
0.0387832,null,-0.0289364,null,null
-0.0491641,-0.33378,null,null,null
0.0387832,null,-0.0289364,null,null
0.0320778,-0.335307,null,null,null
-0.0283784,null,-0.02292,null,null
-0.0157368,-0.370821,null,null,null
0.0410289,null,-0.0180396,null,null
-0.0157368,-0.370821,null,null,null
0.0410289,null,-0.0180396,null,null
0.0255481,-0.261044,null,null,null
-0.0315836,null,0.0282107,null,null
0.0175482,-0.332377,null,null,null
-0.101877,null,0.0177045,null,null
-0.0412764,-0.323453,null,null,null
-0.0439554,null,0.0235139,null,null
-0.0219494,-0.356571,null,null,null
0.0367697,null,0.0151693,null,null
0.074059,-0.301681,null,null,null
-0.0362623,null,0.0414548,null,null
0.150369,-0.308472,null,null,null
-0.075932,null,0.0305543,null,null
0.085111,-0.336167,null,null,null
-0.113666,null,0.0350719,null,null
0.079422,-0.314576,null,null,null
-0.125967,null,0.108216,null,null
0.0510915,-0.3632,null,null,null
-0.160702,null,0.113143,null,null
0.110344,-0.384366,null,null,null
-0.209916,null,0.150223,null,null
0.140074,-0.293631,null,null,null
-0.127246,null,0.196735,null,null
0.0871485,-0.233,null,null,null
-0.0637425,null,0.163124,null,null
0.044391,-0.152848,null,null,null
-0.0288229,null,0.160156,null,null
0.110164,-0.124476,null,null,null
0.0327134,null,0.0284013,null,null
0.089729,-0.252253,null,null,null
-0.0292486,null,0.0493712,null,null
0.084522,-0.205817,null,null,null
-0.0453354,null,0.102272,null,null
0.0243301,-0.211161,null,null,null
-0.085965,null,0.089917,null,null
0.0223997,-0.185408,null,null,null
-0.0172231,null,0.071478,null,null
-0.0013836,-0.22704,null,null,null
0.0110448,null,0.080535,null,null
0.0399711,-0.148955,null,null,null
-0.0218563,null,0.108291,null,null
-0.00433864,-0.148596,null,null,null
-0.00218333,null,0.073264,null,null
0.0678175,-0.0967715,null,null,null
0.0337227,null,-0.0062621,null,null
0.082154,-0.136954,null,null,null
0.0062716,null,-0.0454509,null,null
0.0516435,-0.0883435,null,null,null
0.012234,null,0.0248785,null,null
0.0474231,-0.267781,null,null,null
0.046338,null,-0.0455397,null,null
0.00356042,-0.136602,null,null,null
-0.00286693,null,0.0452067,null,null
-0.0193504,-0.0836305,null,null,null
0.0612105,null,0.09935,null,null
-0.0193504,-0.0836305,null,null,null
0.0612105,null,0.09935,null,null
0.0128592,-0.0712075,null,null,null
0.0589685,null,0.183444,null,null
-0.013425,-0.134105,null,null,null
0.0463127,null,0.220745,null,null
0.0151288,-0.152243,null,null,null
0.0354674,null,0.298092,null,null
-0.0772895,-0.227925,null,null,null
0.0226628,null,0.254856,null,null
-0.077388,-0.185663,null,null,null
0.0622005,null,0.205513,null,null
-0.122123,-0.17501,null,null,null
0.0593345,null,0.215053,null,null
-0.0648075,-0.190925,null,null,null
0.0343886,null,0.126859,null,null
-0.170487,-0.260759,null,null,null
0.057069,null,0.0524615,null,null
-0.087564,-0.288879,null,null,null
0.0688475,null,0.00985925,null,null
-0.070504,-0.186453,null,null,null
0.00385046,null,0.065485,null,null
-0.0677315,-0.225801,null,null,null
0.0444479,null,0.0188382,null,null
-0.103965,-0.145459,null,null,null
0.0415988,null,0.0874145,null,null
-0.0658535,-0.20782,null,null,null
0.089953,null,0.196622,null,null
-0.0408005,-0.0958355,null,null,null
0.09203,null,0.127782,null,null
-0.0293639,-0.0988275,null,null,null
0.0501795,null,0.170478,null,null
-0.00914235,-0.097676,null,null,null
0.0136028,null,0.119447,null,null
0.00990585,-0.000468207,null,null,null
-0.0331853,null,0.0979445,null,null
0.0176922,0.00485833,null,null,null
0.0395164,null,0.0161188,null,null
0.0657145,-0.00370102,null,null,null
-0.0570355,null,-0.0916145,null,null
0.0406419,0.0331609,null,null,null
-0.0457748,null,-0.0247315,null,null
0.0242934,0.0126783,null,null,null
-0.0217058,null,-0.064857,null,null
0.0400228,0.0417961,null,null,null
-0.0395216,null,-0.0317946,null,null
0.07567,0.165351,null,null,null
0.0202346,null,0.071443,null,null
0.0745285,0.057773,null,null,null
-0.0712145,null,0.0152964,null,null
0.0745285,0.057773,null,null,null
-0.0712145,null,0.0152964,null,null
0.0176794,0.00672715,null,null,null
0.0099564,null,0.0466331,null,null
0.0176794,0.00672715,null,null,null
0.0099564,null,0.0466331,null,null
0.0176794,0.00672715,null,null,null
0.0099564,null,0.0466331,null,null
-0.00525375,-0.00721595,null,null,null
0.00260752,null,0.0792235,null,null
-0.0502115,-0.0328538,null,null,null
0.0084736,null,0.129897,null,null
-0.062518,-0.0817125,null,null,null
0.0457675,null,0.12877,null,null
-0.0312411,-0.0197429,null,null,null
0.0049974,null,0.129342,null,null
-0.0156647,0.0308956,null,null,null
-0.0647485,null,0.151669,null,null
-0.00283497,-0.0165526,null,null,null
-0.046044,null,0.200124,null,null
-0.0144552,-0.0954755,null,null,null
-0.0891345,null,0.225846,null,null
-0.00760505,-0.105648,null,null,null
-0.19974,null,0.220609,null,null
-0.0149106,-0.108372,null,null,null
-0.334276,null,0.277526,null,null
0.0184172,-0.126437,null,null,null
-0.195036,null,0.314505,null,null
0.0063229,-0.0585825,null,null,null
-0.199867,null,0.381313,null,null
-0.0278927,-0.0194583,null,null,null
-0.294618,null,0.383543,null,null
-0.0278927,-0.0194583,null,null,null
-0.294618,null,0.383543,null,null
0.0485003,-0.0931155,null,null,null
-0.324226,null,0.289905,null,null
0.00239347,-0.108146,null,null,null
-0.291232,null,0.267074,null,null
0.0339512,-0.098428,null,null,null
-0.358487,null,0.2135,null,null
0.00784765,-0.081676,null,null,null
-0.309962,null,0.190339,null,null
0.0673095,-0.171813,null,null,null
-0.263858,null,0.168238,null,null
0.077245,-0.0900235,null,null,null
-0.26207,null,0.218563,null,null
0.065301,-0.099125,null,null,null
-0.23955,null,0.200234,null,null
0.058322,-0.116181,null,null,null
-0.288658,null,0.120624,null,null
0.0390928,-0.074111,null,null,null
-0.202024,null,0.123821,null,null
-0.0384017,-0.00431247,null,null,null
-0.231488,null,0.158921,null,null
-0.0162295,-0.0197706,null,null,null
-0.176167,null,0.14724,null,null
0.0261581,0.00635185,null,null,null
-0.234387,null,0.157696,null,null
0.0254324,-0.0430081,null,null,null
-0.29067,null,0.0857095,null,null
0.00139605,-0.0660555,null,null,null
-0.273935,null,0.068247,null,null
0.0105804,-0.076063,null,null,null
-0.270882,null,0.017917,null,null
-0.00504335,-0.123381,null,null,null
-0.262746,null,0.00152626,null,null
-0.025944,-0.236623,null,null,null
-0.28083,null,0.0501205,null,null
0.0352469,-0.226721,null,null,null
-0.302426,null,0.026128,null,null
-0.0174596,-0.115401,null,null,null
-0.351029,null,0.0155742,null,null
-0.070676,-0.202706,null,null,null
-0.37148,null,-0.069133,null,null
0.0131912,-0.188361,null,null,null
-0.360951,null,-0.126649,null,null
0.0486731,-0.156451,null,null,null
-0.311745,null,-0.184885,null,null
-0.00456893,-0.0722025,null,null,null
-0.329472,null,-0.126795,null,null
-0.00456893,-0.0722025,null,null,null
-0.329472,null,-0.126795,null,null
-0.0330273,-0.179677,null,null,null
-0.345525,null,-0.142134,null,null
-0.0393855,-0.253421,null,null,null
-0.316298,null,-0.138478,null,null
-0.00354914,-0.186398,null,null,null
-0.315101,null,-0.195314,null,null
0.00897535,-0.188846,null,null,null
-0.22422,null,-0.189626,null,null
0.00321801,-0.234017,null,null,null
-0.212792,null,-0.307793,null,null
-0.013906,-0.276329,null,null,null
-0.318374,null,-0.23929,null,null
0.0478586,-0.246972,null,null,null
-0.280859,null,-0.15949,null,null
0.0298063,-0.214952,null,null,null
-0.277909,null,-0.144837,null,null
0.00163872,-0.18991,null,null,null
-0.257526,null,-0.169466,null,null
-0.00390169,-0.208155,null,null,null
-0.330653,null,-0.130692,null,null
0.0210163,-0.262128,null,null,null
-0.271458,null,-0.177233,null,null
0.07109,-0.301658,null,null,null
-0.258194,null,-0.105729,null,null
0.0724145,-0.32868,null,null,null
-0.257709,null,-0.216487,null,null
0.0724145,-0.32868,null,null,null
-0.257709,null,-0.216487,null,null
0.064801,-0.310978,null,null,null
-0.235839,null,-0.19759,null,null
0.105426,-0.2747,null,null,null
-0.278635,null,-0.135917,null,null
0.08836,-0.307174,null,null,null
-0.226399,null,-0.186146,null,null
0.0650895,-0.281436,null,null,null
-0.183273,null,-0.185725,null,null
0.0265137,-0.314024,null,null,null
-0.164095,null,-0.212904,null,null
-0.075816,-0.330133,null,null,null
-0.0956775,null,-0.20566,null,null
-0.070093,-0.274135,null,null,null
-0.0965515,null,-0.208775,null,null
-0.081108,-0.31839,null,null,null
-0.101856,null,-0.196929,null,null
-0.145343,-0.326661,null,null,null
-0.057997,null,-0.13296,null,null
-0.140239,-0.312599,null,null,null
-0.015108,null,0.00206477,null,null
-0.112385,-0.340781,null,null,null
0.0258598,null,-0.0126372,null,null
-0.112385,-0.340781,null,null,null
0.0258598,null,-0.0126372,null,null
-0.073068,-0.343251,null,null,null
0.00244672,null,0.0301753,null,null
-0.071754,-0.312145,null,null,null
0.0127726,null,0.0279401,null,null
-0.071754,-0.312145,null,null,null
0.0127726,null,0.0279401,null,null
-0.0815565,-0.248564,null,null,null
-0.0359532,null,0.092399,null,null
-0.0512825,-0.285772,null,null,null
-0.0141037,null,0.00104973,null,null
-0.0449208,-0.345196,null,null,null
-0.0373332,null,-0.0295463,null,null
0.0489247,-0.315289,null,null,null
-0.059412,null,-0.06331,null,null
0.0253977,-0.238905,null,null,null
0.0292619,null,-0.0102542,null,null
-0.0415145,-0.311221,null,null,null
0.0211741,null,-0.0365946,null,null
-0.0069816,-0.222052,null,null,null
-0.0227286,null,-0.00487622,null,null
-0.0138575,-0.343266,null,null,null
-0.00858825,null,-0.0221477,null,null
0.0077422,-0.343409,null,null,null
-0.0246205,null,-0.000487472,null,null
0.138057,-0.36042,null,null,null
-0.063917,null,0.00146749,null,null
0.100051,-0.271873,null,null,null
-0.067414,null,0.0447031,null,null
0.114436,-0.332401,null,null,null
-0.06568,null,0.049409,null,null
0.152004,-0.336266,null,null,null
-0.0286677,null,0.014959,null,null
0.142268,-0.410942,null,null,null
-0.0907205,null,0.118106,null,null
0.133523,-0.285251,null,null,null
-0.060541,null,0.184306,null,null
0.199402,-0.287033,null,null,null
-0.0164647,null,0.11937,null,null
0.300442,-0.316092,null,null,null
-0.0136722,null,0.0554015,null,null
0.26047,-0.298399,null,null,null
-0.080957,null,0.162999,null,null
0.156209,-0.305082,null,null,null
-0.0585305,null,0.176688,null,null
0.19327,-0.313384,null,null,null
-0.0557155,null,0.166624,null,null
0.13436,-0.304327,null,null,null
-0.165379,null,0.253248,null,null
0.13837,-0.322288,null,null,null
-0.158677,null,0.132147,null,null
0.196429,-0.303306,null,null,null
-0.103891,null,0.105667,null,null
0.180028,-0.250565,null,null,null
-0.136986,null,0.144241,null,null
0.218226,-0.291415,null,null,null
-0.0537395,null,0.159425,null,null
0.155173,-0.235932,null,null,null
-0.0347075,null,0.190581,null,null
0.188779,-0.322597,null,null,null
-0.0628395,null,0.162637,null,null
0.159836,-0.294226,null,null,null
-0.0880895,null,0.207309,null,null
0.165081,-0.370032,null,null,null
-0.1078,null,0.211842,null,null
0.154018,-0.30005,null,null,null
-0.117654,null,0.174842,null,null
0.157004,-0.253737,null,null,null
-0.123083,null,0.219513,null,null
0.213397,-0.243874,null,null,null
-0.0808325,null,0.179525,null,null
0.213397,-0.243874,null,null,null
-0.0808325,null,0.179525,null,null
0.206959,-0.230882,null,null,null
-0.112471,null,0.262593,null,null
0.192534,-0.221084,null,null,null
-0.0366422,null,0.293054,null,null
0.177685,-0.232004,null,null,null
-0.0129663,null,0.207724,null,null
0.177685,-0.232004,null,null,null
-0.0129663,null,0.207724,null,null
0.176585,-0.259488,null,null,null
-0.107245,null,0.288903,null,null
0.176585,-0.259488,null,null,null
-0.107245,null,0.288903,null,null
0.187215,-0.192098,null,null,null
-0.0866815,null,0.301489,null,null
0.132888,-0.187802,null,null,null
