t,cg_iters
1,4058
2,5692
3,6263
4,6749
5,7097
6,7608
7,7121
8,7031
9,7099
10,7828
11,7755
12,7910
13,6966
14,7324
15,6845
16,6941
17,6835
18,7798
19,8443
20,7966
21,7468
22,7670
23,7071
24,6658
25,6820
26,6687
27,6586
28,6286
29,5854
30,6231
31,6694
32,6742
33,6727
34,6745
35,6942
36,7565
37,7544
38,6895
39,7196
40,7506
41,7297
42,7086
43,7487
44,7602
45,7431
46,7048
47,7218
48,7750
49,6966
50,7483
51,6595
52,6204
53,6410
54,6944
55,7689
56,7417
57,6738
58,6619
59,6856
60,6442
61,6575
62,6541
63,5894
64,5778
65,6189
66,6064
67,5959
68,6422
69,6367
70,6939
71,6604
72,6274
73,6402
74,6392
75,6500
76,6696
77,6474
78,6749
79,7252
80,7395
81,7153
82,7515
83,7124
84,7383
85,8302
86,8523
87,8328
88,7929
89,8943
90,9478
91,8859
92,8097
93,8099
94,7466
95,8503
96,11522
97,10573
98,7918
99,8031
100,9156
101,10201
102,9000
103,9364
104,10915
105,10063
106,9160
107,8598
108,8385
109,7415
110,6844
111,6702
112,6300
113,6806
114,6720
115,6420
116,6093
117,6365
118,6968
119,7105
120,7379
121,7579
122,7326
123,7275
124,7212
125,7188
126,6717
127,6810
128,6627
129,6676
130,7231
131,7560
132,8341
133,8225
134,7024
135,7510
136,7724
137,7003
138,6379
139,6047
140,6333
141,6212
142,5752
143,5753
144,6015
145,6087
146,6188
147,5915
148,6113
149,6574
150,6453
151,6177
152,5888
153,6135
154,6830
155,6526
156,5866
157,6086
158,6226
159,6631
160,6500
161,6289
162,6312
163,6339
164,6088
165,6313
166,6787
167,7400
168,7725
169,8509
170,8153
171,6636
172,6484
173,6819
174,6378
175,5904
176,5884
177,6095
178,5910
179,6077
180,6651
181,6779
182,6742
183,7067
184,6337
185,6038
186,6358
187,6281
188,6625
189,7131
190,6505
191,6210
192,6263
193,6603
194,6280
195,6232
196,6370
197,6561
198,6653
199,6386
200,6728
201,6616
202,6511
203,6289
204,5857
205,5566
206,6142
207,6692
208,6649
209,6886
210,7500
211,7382
212,7306
213,6744
214,6554
215,6631
216,6752
217,6222
218,7211
219,8096
220,7468
221,7242
222,7367
223,8123
224,8023
225,7936
226,7632
227,7709
228,7046
229,7230
230,6592
231,6464
232,6721
233,6693
234,6421
235,6650
236,6710
237,6846
238,8287
239,8559
240,7994
241,7838
242,7563
243,8025
244,7906
245,7568
246,6920
247,5968
248,6178
249,6900
250,7731
251,7986
252,7182
253,7045
254,7116
255,6445
256,6027
257,5827
258,6812
259,7975
260,8881
261,9825
262,10425
263,11934
264,10848
265,9534
266,8990
267,8687
268,8621
269,8836
270,8338
271,7406
272,7491
273,8022
274,7505
275,7630
276,8567
277,8049
278,7796
279,7227
280,7272
281,7225
282,7368
283,7367
284,7500
285,7799
286,7496
287,7532
288,8619
289,7348
290,8234
291,7129
292,6597
293,6742
294,7318
295,7470
296,7138
297,6335
298,6289
299,6706
300,6554
301,6246
302,6150
303,6277
304,7166
305,6805
306,6484
307,6996
308,6957
309,7064
310,7052
311,7049
312,7224
313,6962
314,6899
315,7643
316,7888
317,8514
318,8473
319,8220
320,6972
321,6958
322,6267
323,6337
324,7211
325,7389
326,6783
327,7524
328,7306
329,6658
330,6951
331,8194
332,8080
333,8004
334,7552
335,7843
336,7949
337,8408
338,7960
339,8491
340,8484
341,7836
342,8784
343,9198
344,8414
345,8267
346,8108
347,7832
348,7994
349,8045
350,7608
351,7961
352,7561
353,8443
354,8970
355,9501
356,8768
357,8007
358,8064
359,7659
360,7211
361,7405
362,8471
363,7791
364,8280
365,9251
366,9802
367,8293
368,7400
369,7646
370,7259
371,7415
372,8606
373,8349
374,7426
375,7262
376,7137
377,7070
378,6592
379,6331
380,6325
381,6964
382,6855
383,6618
384,6681
385,7237
386,8291
387,7742
388,7501
389,7127
390,7039
391,7339
392,7693
