MDTU,min_min,min_max,max_min,max_max5
133,-1.29514,0.253604,-0.419316,0.47005
134,-1.09482,0.239399,-0.317312,0.473802
135,-1.45374,0.222355,-0.336995,0.479049
136,-1.19216,0.218961,-0.293804,0.495501
137,-1.52874,0.227402,-0.295418,0.484685
138,-1.37142,0.233581,-0.300854,0.477768
139,-1.21083,0.266593,-0.261328,0.486081
140,-1.29185,0.261446,-0.380012,0.498565
141,-1.3722,0.246428,-0.290486,0.49795
142,-1.21836,0.218915,-0.307656,0.45825
143,-1.52941,0.206641,-0.295712,0.480449
144,-1.40482,0.28127,-0.318988,0.493068
145,-1.15303,0.22468,-0.271848,0.475013
146,-1.20317,0.211348,-0.260226,0.488511
147,-1.45309,0.222232,-0.254947,0.475188
148,-1.34389,0.249773,-0.285883,0.484265
149,-1.11266,0.21458,-0.227532,0.501877
150,-1.11266,0.21458,-0.227532,0.501877
151,-1.39765,0.225675,-0.246835,0.463015
152,-1.35624,0.254359,-0.335115,0.46832
153,-1.29715,0.269336,-0.287346,0.498505
154,-1.13327,0.212588,-0.303272,0.507922
155,-1.22983,0.245795,-0.259682,0.464588
156,-1.21502,0.241125,-0.353567,0.498958
157,-1.44207,0.237263,-0.304194,0.508384
158,-1.35884,0.24346,-0.275804,0.487932
159,-1.40695,0.257523,-0.342271,0.479137
160,-1.15135,0.290998,-0.264494,0.506778
161,-1.09997,0.279037,-0.361703,0.481053
162,-1.43207,0.230268,-0.247587,0.500671
163,-1.21673,0.23466,-0.30234,0.478552
164,-1.11087,0.278125,-0.246303,0.498542
165,-1.43797,0.289611,-0.290177,0.47053
166,-1.35934,0.217222,-0.311868,0.496283
167,-1.19402,0.236602,-0.310591,0.470992
168,-1.32482,0.202046,-0.345742,0.475243
169,-1.20913,0.260247,-0.33581,0.543961
170,-1.44616,0.241081,-0.34501,0.514954
171,-1.18617,0.283274,-0.402495,0.498657
172,-1.38425,0.259703,-0.226711,0.498365
173,-1.43855,0.27327,-0.262163,0.471166
174,-1.34304,0.212367,-0.285901,0.503051
175,-1.34304,0.212367,-0.285901,0.503051
176,-1.27073,0.214146,-0.237428,0.506583
177,-1.27073,0.214146,-0.237428,0.506583
178,-1.27073,0.214146,-0.237428,0.506583
179,-1.44467,0.217657,-0.305529,0.484318
180,-1.00932,0.203014,-0.271836,0.496024
181,-1.34569,0.218425,-0.266895,0.484206
182,-1.55662,0.221516,-0.272144,0.467443
183,-1.22698,0.238896,-0.285584,0.465324
184,-1.45465,0.252105,-0.282139,0.49221
185,-1.69844,0.233203,-0.208969,0.487658
186,-1.34875,0.233155,-0.330246,0.551972
187,-1.24229,0.253848,-0.348355,0.554241
188,-1.26726,0.238547,-0.255672,0.530155
189,-1.24561,0.248964,-0.29701,0.483576
190,-1.20952,0.247293,-0.392978,0.52587
191,-1.20952,0.247293,-0.392978,0.52587
192,-1.64394,0.216041,-0.357846,0.521451
193,-1.64157,0.224385,-0.32076,0.483015
194,-1.38437,0.221091,-0.234052,0.471471
195,-1.82763,0.205439,-0.259407,0.4741
196,-1.25836,0.244447,-0.253339,0.473245
197,-1.46715,0.237752,-0.504886,0.502449
198,-1.04272,0.223703,-0.303742,0.479313
199,-1.33927,0.225231,-0.269651,0.484207
200,-1.14806,0.236128,-0.302767,0.49629
201,-1.30348,0.286695,-0.271384,0.524938
202,-1.33045,0.218396,-0.384116,0.501454
203,-1.24508,0.219675,-0.367096,0.499609
204,-1.40324,0.210376,-0.258744,0.512172
205,-1.0337,0.211581,-0.257628,0.500849
206,-2.40618,0.215184,-0.324931,0.461246
207,-1.49206,0.207919,-0.349564,0.478765
208,-1.18323,0.223978,-0.290269,0.476732
209,-1.18783,0.224638,-0.320524,0.497648
210,-1.36463,0.245367,-0.288937,0.476935
211,-2.43886,0.209478,-0.289542,0.483837
212,-1.34817,0.260456,-0.397718,0.450997
213,-1.17112,0.225864,-0.289403,0.488165
214,-1.32562,0.246508,-0.25726,0.482623
215,-1.32562,0.246508,-0.25726,0.482623
216,-1.35174,0.204099,-0.329345,0.482268
217,-1.18861,0.22307,-0.313307,0.470659
218,-1.32133,0.217588,-0.297896,0.482245
219,-1.59743,0.224197,-0.290959,0.478881
220,-1.48094,0.216129,-0.32581,0.483171
221,-1.27174,0.279804,-0.231681,0.481578
222,-1.43182,0.24066,-0.341807,0.459756
223,-1.41826,0.207191,-0.288456,0.448872
224,-1.16769,0.27256,-0.270339,0.479377
225,-1.3232,0.24149,-0.253964,0.501151
226,-1.30638,0.210086,-0.260596,0.508947
227,-1.07422,0.219604,-0.247532,0.5001
228,-2.11171,0.22821,-0.352796,0.523525
229,-2.11171,0.22821,-0.352796,0.523525
230,-1.19549,0.209821,-0.269602,0.500423
231,-1.15662,0.225269,-0.362408,0.496667
232,-1.31231,0.207894,-0.234403,0.510564
233,-1.55133,0.218191,-0.334711,0.454041
234,-1.33271,0.225571,-0.437337,0.495298
235,-1.19269,0.213084,-0.284596,0.503427
236,-1.49101,0.259861,-0.329131,0.514954
237,-1.59849,0.249714,-0.309182,0.478474
238,-1.12839,0.208036,-0.226957,0.481539
239,-1.2859,0.197988,-0.285891,0.51974
240,-1.19735,0.24186,-0.226902,0.460989
241,-1.19735,0.24186,-0.226902,0.460989
242,-1.17982,0.241998,-0.271779,0.452289
243,-1.17082,0.28077,-0.267916,0.462537
244,-1.17082,0.28077,-0.267916,0.462537
245,-1.22827,0.221884,-0.326026,0.513621
246,-1.35906,0.219373,-0.292404,0.498188
247,-1.14623,0.222076,-0.240065,0.492977
248,-1.54067,0.24562,-0.32027,0.494414
249,-1.06616,0.257358,-0.249927,0.484789
250,-1.42606,0.220579,-0.274586,0.478927
251,-1.24414,0.219875,-0.249685,0.489109
252,-1.24515,0.236324,-0.317815,0.476592
253,-1.75487,0.220162,-0.442526,0.486029
254,-1.48598,0.207051,-0.302416,0.478867
255,-1.4733,0.231656,-0.330723,0.46385
256,-1.25772,0.251851,-0.290953,0.512465
257,-1.49276,0.227583,-0.32525,0.486749
258,-1.24854,0.269128,-0.295865,0.494584
259,-1.35962,0.231949,-0.272004,0.480193
260,-1.21644,0.229302,-0.312789,0.474606
261,-1.29998,0.245719,-0.251871,0.467806
262,-1.58044,0.249094,-0.249144,0.493461
263,-1.23795,0.225538,-0.300982,0.476336
264,-1.23486,0.210883,-0.3112,0.513384
265,-1.57064,0.234624,-0.244198,0.50361
266,-1.17602,0.268291,-0.285343,0.477616
267,-1.12856,0.29359,-0.28453,0.471336
268,-1.25605,0.211076,-0.290283,0.468279
269,-1.44522,0.236296,-0.227235,0.501155
270,-1.14614,0.217868,-0.310012,0.484158
271,-1.29402,0.227838,-0.336618,0.521345
272,-1.53917,0.243466,-0.258095,0.499869
273,-1.30295,0.218244,-0.350602,0.506121
274,-1.22092,0.239468,-0.255096,0.502947
275,-1.38328,0.263102,-0.247962,0.478053
276,-1.2305,0.248818,-0.306716,0.465489
277,-1.2305,0.248818,-0.306716,0.465489
278,-1.14049,0.245786,-0.285408,0.52709
279,-1.15768,0.240703,-0.272637,0.474642
280,-1.39685,0.237737,-0.294443,0.482626
281,-1.39685,0.237737,-0.294443,0.482626
282,-1.36713,0.245213,-0.331894,0.466788
283,-1.36713,0.245213,-0.331894,0.466788
284,-1.20732,0.239131,-0.273171,0.454401
285,-1.19091,0.188194,-0.264075,0.490505
286,-1.33321,0.226805,-0.353481,0.462586
287,-1.1891,0.233067,-0.265193,0.502324
288,-1.23493,0.225379,-0.336023,0.474446
289,-1.23493,0.225379,-0.336023,0.474446
290,-1.52741,0.257537,-0.379736,0.496354
291,-1.4532,0.25033,-0.305073,0.498928
292,-1.38032,0.239225,-0.290647,0.485251
293,-1.29492,0.24824,-0.35955,0.492621
294,-1.67744,0.238019,-0.289948,0.507163
295,-1.29223,0.224921,-0.293484,0.49746
296,-1.20522,0.200579,-0.237608,0.491506
297,-1.23627,0.190337,-0.26551,0.473329
298,-1.06906,0.222688,-0.318394,0.453155
299,-1.0484,0.272427,-0.343807,0.465269
300,-1.2656,0.234741,-0.396779,0.446926
301,-1.2656,0.234741,-0.396779,0.446926
302,-1.30688,0.224286,-0.245458,0.487
303,-1.5275,0.275243,-0.349663,0.479271
304,-1.15663,0.210707,-0.364764,0.495832
305,-1.0826,0.198278,-0.207939,0.462326
306,-1.21336,0.236727,-0.322865,0.472647
307,-1.37257,0.208762,-0.307708,0.473936
308,-1.44099,0.240787,-0.307614,0.476755
309,-1.54498,0.229455,-0.247907,0.509269
310,-1.36432,0.20985,-0.337347,0.484988
311,-1.04466,0.230545,-0.313268,0.496748
312,-1.32069,0.210252,-0.368077,0.487928
313,-1.24656,0.304011,-0.261594,0.476018
314,-1.31415,0.215546,-0.272365,0.475956
315,-1.15603,0.226456,-0.397387,0.466508
316,-1.15603,0.226456,-0.397387,0.466508
317,-1.09708,0.224669,-0.336291,0.497313
318,-1.45196,0.273194,-0.257648,0.472045
319,-1.21312,0.215163,-0.227448,0.50808
320,-1.54855,0.243602,-0.358911,0.449091
321,-1.53391,0.238517,-0.330738,0.496903
322,-1.39511,0.233717,-0.307625,0.461503
323,-1.31204,0.200257,-0.270519,0.508661
324,-1.15436,0.202317,-0.246517,0.491341
325,-1.21025,0.197674,-0.220253,0.480415
326,-1.22621,0.269029,-0.273499,0.487367
327,-1.21999,0.267909,-0.289105,0.505044
328,-1.28442,0.240088,-0.240787,0.487374
329,-1.28442,0.240088,-0.240787,0.487374
330,-1.3249,0.231072,-0.333223,0.486212
331,-1.09856,0.235259,-0.308164,0.470449
332,-1.63422,0.239327,-0.268025,0.517177
333,-1.17265,0.224803,-0.518901,0.514291
334,-1.5258,0.203619,-0.237007,0.462975
335,-1.86068,0.225234,-0.259684,0.470897
336,-1.19929,0.198829,-0.248965,0.483078
337,-1.32779,0.224901,-0.264369,0.461423
338,-1.32779,0.224901,-0.264369,0.461423
339,-1.34341,0.226807,-0.238167,0.489537
340,-1.16908,0.208287,-0.265082,0.472381
341,-1.38978,0.213462,-0.354905,0.517995
342,-1.43767,0.205155,-0.236681,0.486616
343,-1.2569,0.22295,-0.277874,0.501878
344,-1.20796,0.209529,-0.241556,0.478355
345,-1.35841,0.251501,-0.24586,0.470492
346,-1.16648,0.23366,-0.252897,0.471479
347,-1.35442,0.240477,-0.28095,0.558144
348,-1.28528,0.232537,-0.323118,0.486919
349,-1.19897,0.257055,-0.266242,0.469904
350,-2.23995,0.240981,-0.24297,0.453873
351,-1.14394,0.23924,-0.23483,0.475371
352,-1.62554,0.206196,-0.285035,0.47902
353,-1.46215,0.2313,-0.312185,0.523496
354,-1.30712,0.217901,-0.254614,0.475701
355,-1.39275,0.248502,-0.308445,0.463535
356,-1.18592,0.203138,-0.272336,0.461014
357,-1.31113,0.226603,-0.287841,0.469281
358,-1.35683,0.227188,-0.260177,0.487227
359,-1.34667,0.276842,-0.298752,0.503945
360,-1.61793,0.206015,-0.305344,0.47688
361,-1.12455,0.230976,-0.310876,0.491342
362,-1.4038,0.244957,-0.309817,0.506408
363,-1.55847,0.236341,-0.267969,0.476282
364,-1.32787,0.221096,-0.341354,0.471795
365,-1.21734,0.256175,-0.276735,0.493594
366,-1.45894,0.242487,-0.323529,0.471763
367,-1.17121,0.220679,-0.306472,0.488767
368,-1.12178,0.25453,-0.285105,0.509188
369,-1.23933,0.212916,-0.295427,0.461042
370,-1.14174,0.228377,-0.256783,0.546138
371,-1.33134,0.270188,-0.251252,0.501486
372,-1.23629,0.25324,-0.26949,0.499981
373,-1.15395,0.244033,-0.275127,0.47912
374,-1.25808,0.214452,-0.296374,0.476758
375,-1.25709,0.261235,-0.285964,0.50073
376,-1.35195,0.250781,-0.280238,0.477174
377,-1.65432,0.243074,-0.247501,0.499248
378,-1.39013,0.236072,-0.24274,0.492084
379,-1.29761,0.240581,-0.243321,0.467229
380,-1.09056,0.310959,-0.284646,0.535902
381,-1.49049,0.281483,-0.264564,0.51041
382,-1.22242,0.25266,-0.323024,0.493065
383,-1.06338,0.30298,-0.33294,0.497338
384,-1.37825,0.215263,-0.276025,0.522143
385,-1.11058,0.232045,-0.298058,0.480715
386,-1.28924,0.2183,-0.263165,0.5139
387,-1.28924,0.2183,-0.263165,0.5139
388,-1.08776,0.213525,-0.307944,0.49588
389,-1.19654,0.223894,-0.285159,0.471756
390,-1.26629,0.201021,-0.307879,0.479171
391,-1.59056,0.250698,-0.294347,0.456468
392,-1.36753,0.220913,-0.332811,0.482323
393,-1.23506,0.238411,-0.272842,0.469176
394,-1.46054,0.221045,-0.24245,0.46652
395,-1.43255,0.25409,-0.291978,0.466982
396,-1.25078,0.228643,-0.253549,0.465522
397,-1.18117,0.197742,-0.46124,0.500938
398,-1.18117,0.197742,-0.46124,0.500938
399,-1.30046,0.221033,-0.267197,0.523653
400,-1.17714,0.20372,-0.28792,0.489993
401,-1.60545,0.282747,-0.499704,0.437249
402,-1.08378,0.300306,-0.246908,0.460834
403,-1.08378,0.300306,-0.246908,0.460834
404,-0.994366,0.251609,-0.319315,0.497692
405,-0.994366,0.251609,-0.319315,0.497692
406,-1.83841,0.224331,-0.261012,0.488399
407,-1.5093,0.243001,-0.281862,0.524088
408,-1.5093,0.243001,-0.281862,0.524088
409,-1.26479,0.227636,-0.326606,0.483216
410,-2.27004,0.21022,-0.225253,0.48078
411,-2.27004,0.21022,-0.225253,0.48078
412,-1.1289,0.237701,-0.317393,0.51985
413,-1.09974,0.233918,-0.381609,0.471452
414,-1.22515,0.21742,-0.328118,0.527281
415,-1.31478,0.203043,-0.266039,0.462252
416,-1.82333,0.22682,-0.26963,0.507257
417,-1.23343,0.249364,-0.27517,0.540599
418,-1.29818,0.215619,-0.243083,0.492973
419,-1.28733,0.246705,-0.274343,0.47151
420,-1.4447,0.224833,-0.309519,0.484455
421,-1.16799,0.241979,-0.287209,0.48462
422,-1.16799,0.241979,-0.287209,0.48462
423,-1.30648,0.230135,-0.267202,0.458828
424,-1.25247,0.23766,-0.32942,0.487899
425,-1.53921,0.225873,-0.237476,0.507406
426,-1.53852,0.266027,-0.289419,0.458814
427,-1.68153,0.179906,-0.2736,0.505083
428,-1.20843,0.233039,-0.241842,0.470134
429,-1.22637,0.222588,-0.294843,0.468395
430,-1.16147,0.253239,-0.28823,0.49285
431,-1.35324,0.276752,-0.32535,0.482019
432,-1.34539,0.222357,-0.243841,0.475652
433,-1.18148,0.235294,-0.333849,0.478534
434,-1.23432,0.271454,-0.333086,0.491116
435,-1.42509,0.211581,-0.286816,0.518989
436,-1.48486,0.248619,-0.246965,0.50653
437,-1.18367,0.210112,-0.241357,0.492518
438,-1.12614,0.2298,-0.405747,0.475171
439,-1.3364,0.229232,-0.29051,0.460075
440,-1.2714,0.242469,-0.416807,0.508646
441,-1.43206,0.23625,-0.317932,0.482154
442,-1.06822,0.25565,-0.349454,0.521502
443,-1.34075,0.238543,-0.262886,0.50141
444,-1.26129,0.267946,-0.329341,0.482709
445,-1.34702,0.226259,-0.258168,0.470302
446,-1.45693,0.278896,-0.306637,0.523316
447,-1.20565,0.259148,-0.31309,0.477986
448,-1.23633,0.210454,-0.30939,0.498298
449,-1.10913,0.227377,-0.24717,0.473021
450,-1.08708,0.239756,-0.264034,0.50593
451,-1.21543,0.241918,-0.243488,0.496508
452,-1.7384,0.23616,-0.2834,0.475438
453,-1.1549,0.21085,-0.261801,0.46698
454,-1.19974,0.267525,-0.244676,0.45079
455,-1.2177,0.284186,-0.243465,0.50729
456,-1.25097,0.224429,-0.21375,0.477402
457,-1.06617,0.257872,-0.309599,0.471882
458,-1.47814,0.245432,-0.292417,0.501358
459,-1.30403,0.238482,-0.285221,0.458312
460,-1.16091,0.261573,-0.348333,0.475889
461,-1.34735,0.277679,-0.220571,0.481427
462,-1.40525,0.223692,-0.310672,0.534622
463,-1.36504,0.218342,-0.254559,0.506881
464,-1.31802,0.21951,-0.255461,0.487782
465,-1.11701,0.264302,-0.260522,0.485747
466,-1.294,0.259825,-0.306344,0.495722
467,-1.91177,0.232088,-0.297775,0.453471
468,-1.18288,0.219129,-0.378934,0.495698
469,-1.35521,0.258272,-0.397064,0.484749
470,-1.15272,0.296107,-0.305517,0.48498
471,-1.38908,0.235095,-0.28194,0.466531
472,-1.14642,0.225842,-0.296042,0.540243
473,-1.33886,0.210702,-0.230633,0.481246
474,-1.1716,0.250931,-0.228421,0.4882
475,-1.31898,0.227554,-0.262661,0.45878
476,-1.1933,0.247012,-0.23446,0.521935
477,-1.1933,0.247012,-0.23446,0.521935
478,-1.19691,0.19765,-0.249113,0.47436
479,-1.71814,0.234891,-0.25966,0.475105
480,-1.40367,0.23983,-0.290949,0.469697
481,-1.40367,0.23983,-0.290949,0.469697
482,-1.24236,0.21727,-0.283679,0.481574
483,-1.33371,0.25217,-0.316935,0.454252
484,-1.48951,0.285521,-0.263686,0.465847
485,-1.59162,0.294461,-0.264579,0.464003
486,-2.56547,0.226971,-0.255865,0.499464
487,-1.32176,0.243174,-0.251022,0.503028
488,-1.16581,0.207966,-0.256016,0.50495
489,-1.14906,0.210126,-0.258835,0.492076
490,-1.22317,0.219498,-0.243612,0.458663
491,-1.43385,0.217261,-0.259213,0.495875
492,-1.05129,0.23045,-0.319726,0.477814
493,-1.05129,0.23045,-0.319726,0.477814
494,-1.10676,0.217927,-0.281754,0.484522
495,-1.13738,0.263623,-0.304256,0.477909
496,-1.38486,0.236939,-0.319378,0.445291
497,-1.04464,0.217241,-0.344562,0.494247
498,-1.03543,0.222106,-0.328595,0.491211
499,-1.11004,0.24553,-0.270129,0.508942
500,-1.22489,0.22901,-0.3141,0.453565
501,-1.22554,0.261498,-0.318808,0.477627
502,-1.00553,0.218677,-0.272129,0.507195
503,-1.33098,0.250476,-0.459336,0.454834
504,-1.5733,0.204058,-0.324813,0.491156
505,-1.4896,0.236738,-0.303918,0.564498
506,-1.58115,0.214954,-0.271285,0.500456
507,-1.31152,0.235848,-0.25754,0.498582
508,-1.10737,0.203676,-0.35815,0.477306
509,-1.45313,0.231905,-0.267692,0.464717
510,-1.18613,0.249005,-0.326355,0.469927
511,-1.53478,0.213623,-0.328607,0.513577
512,-1.20044,0.258682,-0.328386,0.480478
513,-1.08657,0.207476,-0.263157,0.506302
514,-1.21936,0.247063,-0.335517,0.460602
515,-1.60736,0.228231,-0.300614,0.458114
516,-1.12671,0.231664,-0.244592,0.460526
517,-1.2187,0.233739,-0.266904,0.509298
518,-1.13076,0.219348,-0.227573,0.496444
519,-1.37421,0.198313,-0.275984,0.459113
520,-1.60571,0.227228,-0.411097,0.486075
521,-1.10411,0.196267,-0.343886,0.513428
522,-1.37071,0.207531,-0.226736,0.507866
523,-1.37071,0.207531,-0.226736,0.507866
524,-1.4249,0.240954,-0.277407,0.4839
525,-1.33219,0.240752,-0.329502,0.460718
526,-1.15882,0.22918,-0.273428,0.450712
527,-1.10111,0.233392,-0.256193,0.468291
528,-1.70529,0.224432,-0.301257,0.514556
529,-1.45931,0.241689,-0.389808,0.482629
530,-1.45931,0.241689,-0.389808,0.482629
531,-1.33196,0.210589,-0.246854,0.499392
532,-1.22115,0.250426,-0.298539,0.483816
533,-1.43398,0.249077,-0.318983,0.468715
534,-1.2137,0.268421,-0.287566,0.491851
535,-1.2137,0.268421,-0.287566,0.491851
536,-1.29321,0.251937,-0.321114,0.507695
537,-1.15779,0.21814,-0.325607,0.509081
538,-1.25176,0.209898,-0.289864,0.459314
539,-1.33007,0.234197,-0.337701,0.492186
540,-1.04051,0.227798,-0.319748,0.47552
541,-1.09583,0.23868,-0.288023,0.484858
542,-1.21703,0.257478,-0.343567,0.47609
543,-1.1262,0.238448,-0.368165,0.482587
544,-1.15748,0.245099,-0.370803,0.506853
545,-1.90683,0.21534,-0.324326,0.477996
546,-1.05326,0.204735,-0.360169,0.489644
547,-1.64068,0.220497,-0.209676,0.483535
548,-1.49156,0.256028,-0.303743,0.475668
549,-1.27627,0.200725,-0.300978,0.502975
550,-1.22439,0.235039,-0.278234,0.495971
551,-1.37028,0.215385,-0.28914,0.471488
552,-1.24968,0.253901,-0.243964,0.526895
553,-1.33307,0.224026,-0.25281,0.468768
554,-1.41879,0.23016,-0.304137,0.506854
555,-1.33436,0.211711,-0.269957,0.490393
556,-1.29398,0.215104,-0.409628,0.493866
557,-1.29398,0.215104,-0.409628,0.493866
558,-1.06999,0.256427,-0.297167,0.502711
559,-1.41303,0.225173,-0.279693,0.507433
560,-1.24418,0.190274,-0.326696,0.491317
561,-1.25741,0.234541,-0.326689,0.481694
562,-1.66117,0.246346,-0.315839,0.476054
563,-1.12375,0.219277,-0.231326,0.469866
