t,walltime
10,40.46
20,24.43
30,25.15
40,31.59
50,26.62
60,31.84
70,30.15
80,28.15
90,30.44
100,28.85
110,29.12
120,29.79
130,29.28
140,32.01
150,28.89
160,28.11
170,27.51
180,27.47
190,29.56
200,28.63
210,28.09
220,29.03
230,28.8
240,27.47
250,28.76
260,27.87
270,27.86
280,27.14
290,30.31
300,30.15
310,32.1
320,29.47
330,26.6
340,29.15
350,28.49
360,26.92
370,27.03
380,27.69
390,28.82
400,26.66
410,32.99
420,32.62
430,26.42
440,25.82
450,27.31
460,28.86
470,26.58
480,28.59
490,27.1
500,33.07
510,28.53
520,31.97
530,27.59
540,26.04
550,25.47
560,24.36
570,28.3
580,24.58
590,27.03
600,24.49
610,24.27
620,26.06
630,27.04
640,26.82
650,26.98
660,28.51
670,26.77
680,27.62
690,29.42
700,31.56
710,33.34
720,29.53
730,33.16
740,25.67
750,29.39
760,26.59
770,30.4
780,29.6
790,26.43
800,26.24
810,31.68
820,33.38
830,32.42
840,25.38
850,26.81
860,26.89
870,36.15
880,45.24
890,35.12
900,38.98
910,33.74
920,41.75
930,36.32
940,32.29
950,30.84
960,29.52
970,30.52
980,26.91
990,32.13
1000,36.54
1010,33.93
1020,32.64
1030,34.51
1040,29.65
1050,27.1
1060,29.9
1070,25.88
1080,28.7
1090,26.5
1100,28.59
1110,25.16
1120,26.87
1130,25.47
1140,25.04
1150,26.9
1160,25.25
1170,25.02
1180,26.52
1190,27.56
1200,27.2
1210,27.87
1220,30.42
1230,27.08
1240,28.4
1250,27.53
1260,30
1270,27.24
1280,28.22
1290,27.39
1300,31.74
1310,29.01
1320,27.96
1330,27.3
1340,25.66
1350,25.91
1360,25.96
1370,27.05
1380,27.71
1390,28.81
1400,26.22
1410,28.17
1420,28.8
1430,27.23
1440,25.46
1450,25.69
1460,26.94
1470,27.72
1480,25.38
1490,26.71
1500,26.97
1510,30.07
1520,30.18
1530,26.73
1540,25.79
1550,26.87
1560,27.69
1570,28.87
1580,29.63
1590,30.66
1600,30.68
1610,27.09
1620,27.47
1630,28.71
1640,26.51
1650,29.15
1660,28.46
1670,29.26
1680,28.05
1690,31.34
1700,28.59
1710,26.06
1720,26.6
1730,26.2
1740,29.21
1750,28.9
1760,29.49
1770,32.2
1780,33.57
1790,32.67
1800,42.7
1810,40.38
1820,29.2
1830,27.53
1840,28.25
1850,29.7
1860,31.41
1870,29.6
1880,27.21
1890,26.84
1900,27.83
1910,32.17
1920,30.26
1930,27.94
1940,27.04
1950,30.74
1960,28.54
1970,26.85
1980,31.36
1990,29.4
2000,28.1
2010,30.2
2020,33.68
2030,32.72
2040,28.06
2050,25.74
2060,26.89
2070,31.07
2080,29.66
2090,28.76
2100,29.02
2110,29.67
2120,32.26
2130,31.39
2140,31.67
2150,34.88
2160,40.53
2170,30.57
2180,29
2190,30.05
2200,31.17
2210,27.52
2220,25.74
2230,25.98
2240,25.7
2250,26.76
2260,27.89
2270,32.67
2280,32.97
2290,26.03
2300,26
2310,30.08
2320,30.93
2330,27.89
2340,32.57
2350,26.83
2360,28.2
2370,27.72
2380,28.23
2390,30.94
2400,29.82
2410,30.02
2420,28.19
2430,30.14
2440,25.88
2450,26.85
2460,28.47
2470,25.83
2480,27.12
2490,27.16
2500,28.72
2510,30.57
2520,25.9
2530,27.82
2540,27.66
2550,26.23
2560,30.28
2570,34.22
2580,33.89
2590,30.13
2600,34.32
2610,29.32
2620,29.31
2630,27.65
2640,28.04
2650,26.64
2660,27.06
2670,31.15
2680,32.5
2690,36.15
2700,36.08
2710,27.79
2720,29.56
2730,33.57
2740,34.54
2750,29.75
2760,28.38
2770,29.81
2780,32.41
2790,29.82
2800,31.11
2810,29.41
2820,26.05
2830,29.36
2840,27.76
2850,28.19
2860,33.37
2870,32.55
2880,29.22
2890,30.09
2900,28.96
2910,26.22
2920,26.59
2930,36.57
2940,47.26
2950,30.96
2960,35.32
2970,33.26
2980,33.54
2990,30.47
3000,29.8
3010,32.94
3020,29.2
3030,29.79
3040,27.74
3050,27.96
3060,32.55
3070,28.08
3080,38.88
3090,37.56
3100,33.5
3110,28.37
3120,27.94
3130,25.84
3140,28.45
3150,26.3
3160,26.57
3170,27.5
3180,26.28
3190,24.2
3200,24.86
3210,25.65
3220,26.82
3230,29.57
3240,33.68
3250,34.48
3260,30.06
3270,25.94
3280,26.37
3290,25.39
3300,26.95
3310,32.65
3320,31.27
3330,28.54
3340,24.7
3350,25.48
3360,29.8
3370,33.56
3380,26.13
3390,26.21
3400,26.21
3410,26.94
3420,28.06
3430,26.44
3440,26.79
3450,26.23
3460,27
3470,26.73
3480,24.3
3490,26.51
3500,28.22
3510,28.37
3520,27.3
3530,28.57
3540,28.66
3550,30.49
3560,26.11
3570,26.39
3580,27.33
3590,26.59
3600,25.73
3610,25.43
3620,25.92
3630,27.82
3640,29.19
3650,27.88
3660,27.12
3670,29.96
3680,30.25
3690,26.87
3700,24.11
3710,24.34
3720,26.87
3730,27.89
3740,26.56
3750,26.25
3760,26.02
3770,28.88
3780,40.29
3790,30.64
3800,30.35
3810,26.76
3820,24.47
3830,24.8
3840,26.81
3850,26.54
3860,26.72
3870,29.97
3880,29.37
3890,24.55
3900,28.33
3910,23.94
3920,23.92
3930,24.82
3940,27.17
3950,26.8
3960,23.6
3970,24.32
3980,23.75
3990,24.19
4000,27.79
4010,24.79
