t,deltaS
1,-4.865
2,-1.584
3,-0.3412
4,-0.4633
5,-0.3404
6,-0.02007
7,-0.28
8,-0.00385
9,-0.05079
10,-0.0713
11,-0.3671
12,0.2273
13,0.1258
14,-0.08486
15,0.3104
16,0.06534
17,-0.002852
18,0.01373
19,-0.1295
20,0.02668
21,0.06066
22,0.08609
23,0.1454
24,0.2099
25,-0.1094
26,-0.3651
27,-0.01634
28,0.09609
29,0.3757
30,-0.2036
31,0.4046
32,0.2744
33,0.08654
34,-0.1449
35,0.1384
36,0.349
37,0.1264
38,0.1618
39,-0.0331
40,-0.03656
41,-0.05106
42,-0.03026
43,0.3999
44,0.0186
45,0.1291
46,0.009248
47,0.1027
48,0.2527
49,-0.2357
50,0.01923
51,-0.1148
52,0.2037
53,0.03674
54,-0.1806
55,-0.2999
56,0.1447
57,0.03537
58,-0.007998
59,-0.3775
60,-0.1849
61,-0.06577
62,0.1358
63,-0.009905
64,0.02332
65,-0.2075
66,0.1725
67,0.03649
68,-0.1789
69,0.2743
70,-0.1793
71,0.1316
72,0.002452
73,-0.1861
74,-0.03574
75,-0.07069
76,-0.1641
77,-0.1202
78,0.1287
79,-0.09955
80,-0.1316
81,0.08473
82,0.00371
83,-0.002946
84,-0.3798
85,0.09904
86,-0.1102
87,0.3006
88,-0.2948
89,-0.06463
90,0.2294
91,0.04561
92,0.141
93,-0.1863
94,-0.01015
95,0.001608
96,-0.1518
97,-0.02214
98,0.3375
99,-0.1123
100,0.0414
101,-0.04057
102,-0.0312
103,-0.03502
104,0.1585
105,0.2492
106,-0.07356
107,0.1281
108,-0.15
109,-0.09315
110,0.33
111,-0.05126
112,0.0995
113,-0.1427
114,0.01085
115,-0.2203
116,0.2616
117,-0.3018
118,0.2757
119,-0.09951
120,-0.02635
121,0.1282
122,0.1541
123,-0.3091
124,0.2099
125,-0.3799
126,0.2187
127,-0.008937
128,-0.1069
129,-0.1957
130,0.002121
131,0.2997
132,-0.07053
133,-0.04602
134,0.09306
135,-0.1571
136,0.1302
137,-0.3509
138,0.2201
139,-0.2341
140,-0.1352
141,0.1493
142,-0.01182
143,0.1398
144,-0.01378
145,-0.1223
146,0.04833
147,-0.06378
148,0.02426
149,-0.2151
150,0.1433
151,-0.08893
152,-0.01266
153,0.1073
154,0.07432
155,-0.1585
156,0.001284
157,-0.07837
158,0.03369
159,0.137
160,0.1661
161,0.1951
162,0.5134
163,0.1214
164,-0.06024
165,0.06337
166,-0.2873
167,-0.03111
168,-0.07458
169,0.08218
170,-0.138
171,0.08494
172,0.1818
173,-0.09044
174,-0.07303
175,0.01083
176,-0.1288
177,-0.172
178,-0.2723
179,-0.05192
180,0.04632
181,0.1296
182,-0.0968
183,-0.168
184,-0.2535
185,0.0134
186,-0.1855
187,0.03244
188,-0.1426
189,0.1269
190,-0.03278
191,0.2421
192,0.251
193,0.03026
194,-0.04112
195,-0.05048
196,-0.5072
197,0.1779
198,0.1706
199,-0.04837
200,-0.2318
201,0.05903
202,-0.08449
203,0.08343
204,-0.1109
205,0.2656
206,0.1346
207,-0.2237
208,0.1866
209,-0.02216
210,-0.03689
211,-0.314
212,-0.07109
213,-0.03809
214,0.3035
215,0.2793
216,-0.06499
217,0.09049
218,-0.3212
219,-0.1342
220,-0.1134
221,0.3617
222,-0.3864
223,-0.09449
224,-0.133
225,-0.2535
226,0.1706
227,0.06205
228,0.1056
229,0.05939
230,-0.108
231,0.1877
232,-0.4084
233,-0.1011
234,-0.02454
235,0.2441
236,-0.355
237,0.2982
238,-0.2177
239,-0.2442
240,-0.01672
241,-0.01641
242,-0.06362
243,0.1458
244,0.172
245,-0.08128
246,0.007711
247,0.1234
248,-0.09326
249,-0.1207
250,0.2883
251,0.1779
252,0.1623
253,-0.02682
254,-0.3507
255,0.07377
256,0.1767
257,-0.1569
258,-0.1442
259,-0.04363
260,0.268
261,0.1549
262,0.165
263,0.1656
264,0.01534
265,-0.2279
266,0.074
267,0.2099
268,-0.02589
269,-0.0426
270,0.0457
271,0.04466
272,-0.08959
273,0.2332
