t,cost
10,5.39467
20,3.25733
30,3.35333
40,4.212
50,3.54933
60,4.24533
70,4.02
80,3.75333
90,4.05867
100,3.84667
110,3.88267
120,3.972
130,3.904
140,4.268
150,3.852
160,3.748
170,3.668
180,3.66267
190,3.94133
200,3.81733
210,3.74533
220,3.87067
230,3.84
240,3.66267
250,3.83467
260,3.716
270,3.71467
280,3.61867
290,4.04133
300,4.02
310,4.28
320,3.92933
330,3.54667
340,3.88667
350,3.79867
360,3.58933
370,3.604
380,3.692
390,3.84267
400,3.55467
410,4.39867
420,4.34933
430,3.52267
440,3.44267
450,3.64133
460,3.848
470,3.544
480,3.812
490,3.61333
500,4.40933
510,3.804
520,4.26267
530,3.67867
540,3.472
550,3.396
560,3.248
570,3.77333
580,3.27733
590,3.604
600,3.26533
610,3.236
620,3.47467
630,3.60533
640,3.576
650,3.59733
660,3.80133
670,3.56933
680,3.68267
690,3.92267
700,4.208
710,4.44533
720,3.93733
730,4.42133
740,3.42267
750,3.91867
760,3.54533
770,4.05333
780,3.94667
790,3.524
800,3.49867
810,4.224
820,4.45067
830,4.32267
840,3.384
850,3.57467
860,3.58533
870,4.82
880,6.032
890,4.68267
900,5.19733
910,4.49867
920,5.56667
930,4.84267
940,4.30533
950,4.112
960,3.936
970,4.06933
980,3.588
990,4.284
1000,4.872
1010,4.524
1020,4.352
1030,4.60133
1040,3.95333
1050,3.61333
1060,3.98667
1070,3.45067
1080,3.82667
1090,3.53333
1100,3.812
1110,3.35467
1120,3.58267
1130,3.396
1140,3.33867
1150,3.58667
1160,3.36667
1170,3.336
1180,3.536
1190,3.67467
1200,3.62667
1210,3.716
1220,4.056
1230,3.61067
1240,3.78667
1250,3.67067
1260,4
1270,3.632
1280,3.76267
1290,3.652
1300,4.232
1310,3.868
1320,3.728
1330,3.64
1340,3.42133
1350,3.45467
1360,3.46133
1370,3.60667
1380,3.69467
1390,3.84133
1400,3.496
1410,3.756
1420,3.84
1430,3.63067
1440,3.39467
1450,3.42533
1460,3.592
1470,3.696
1480,3.384
1490,3.56133
1500,3.596
1510,4.00933
1520,4.024
1530,3.564
1540,3.43867
1550,3.58267
1560,3.692
1570,3.84933
1580,3.95067
1590,4.088
1600,4.09067
1610,3.612
1620,3.66267
1630,3.828
1640,3.53467
1650,3.88667
1660,3.79467
1670,3.90133
1680,3.74
1690,4.17867
1700,3.812
1710,3.47467
1720,3.54667
1730,3.49333
1740,3.89467
1750,3.85333
1760,3.932
1770,4.29333
1780,4.476
1790,4.356
1800,5.69333
1810,5.384
1820,3.89333
1830,3.67067
1840,3.76667
1850,3.96
1860,4.188
1870,3.94667
1880,3.628
1890,3.57867
1900,3.71067
1910,4.28933
1920,4.03467
1930,3.72533
1940,3.60533
1950,4.09867
1960,3.80533
1970,3.58
1980,4.18133
1990,3.92
2000,3.74667
2010,4.02667
2020,4.49067
2030,4.36267
2040,3.74133
2050,3.432
2060,3.58533
2070,4.14267
2080,3.95467
2090,3.83467
2100,3.86933
2110,3.956
2120,4.30133
2130,4.18533
2140,4.22267
2150,4.65067
2160,5.404
2170,4.076
2180,3.86667
2190,4.00667
2200,4.156
2210,3.66933
2220,3.432
2230,3.464
2240,3.42667
2250,3.568
2260,3.71867
2270,4.356
2280,4.396
2290,3.47067
2300,3.46667
2310,4.01067
2320,4.124
2330,3.71867
2340,4.34267
2350,3.57733
2360,3.76
2370,3.696
2380,3.764
2390,4.12533
2400,3.976
2410,4.00267
2420,3.75867
2430,4.01867
2440,3.45067
2450,3.58
2460,3.796
2470,3.444
2480,3.616
2490,3.62133
2500,3.82933
2510,4.076
2520,3.45333
2530,3.70933
2540,3.688
2550,3.49733
2560,4.03733
2570,4.56267
2580,4.51867
2590,4.01733
2600,4.576
2610,3.90933
2620,3.908
2630,3.68667
2640,3.73867
2650,3.552
2660,3.608
2670,4.15333
2680,4.33333
2690,4.82
2700,4.81067
2710,3.70533
2720,3.94133
2730,4.476
2740,4.60533
2750,3.96667
2760,3.784
2770,3.97467
2780,4.32133
2790,3.976
2800,4.148
2810,3.92133
2820,3.47333
2830,3.91467
2840,3.70133
2850,3.75867
2860,4.44933
2870,4.34
2880,3.896
2890,4.012
2900,3.86133
2910,3.496
2920,3.54533
2930,4.876
2940,6.30133
2950,4.128
2960,4.70933
2970,4.43467
2980,4.472
2990,4.06267
3000,3.97333
3010,4.392
3020,3.89333
3030,3.972
3040,3.69867
3050,3.728
3060,4.34
3070,3.744
3080,5.184
3090,5.008
3100,4.46667
3110,3.78267
3120,3.72533
3130,3.44533
3140,3.79333
3150,3.50667
3160,3.54267
3170,3.66667
3180,3.504
3190,3.22667
3200,3.31467
3210,3.42
3220,3.576
3230,3.94267
3240,4.49067
3250,4.59733
3260,4.008
3270,3.45867
3280,3.516
3290,3.38533
3300,3.59333
3310,4.35333
3320,4.16933
3330,3.80533
3340,3.29333
3350,3.39733
3360,3.97333
3370,4.47467
3380,3.484
3390,3.49467
3400,3.49467
3410,3.592
3420,3.74133
3430,3.52533
3440,3.572
3450,3.49733
3460,3.6
3470,3.564
3480,3.24
3490,3.53467
3500,3.76267
3510,3.78267
3520,3.64
3530,3.80933
3540,3.82133
3550,4.06533
3560,3.48133
3570,3.51867
3580,3.644
3590,3.54533
3600,3.43067
3610,3.39067
3620,3.456
3630,3.70933
3640,3.892
3650,3.71733
3660,3.616
3670,3.99467
3680,4.03333
3690,3.58267
3700,3.21467
3710,3.24533
3720,3.58267
3730,3.71867
3740,3.54133
3750,3.5
3760,3.46933
3770,3.85067
3780,5.372
3790,4.08533
3800,4.04667
3810,3.568
3820,3.26267
3830,3.30667
3840,3.57467
3850,3.53867
3860,3.56267
3870,3.996
3880,3.916
3890,3.27333
3900,3.77733
3910,3.192
3920,3.18933
3930,3.30933
3940,3.62267
3950,3.57333
3960,3.14667
3970,3.24267
3980,3.16667
3990,3.22533
4000,3.70533
4010,3.30533
