t,eps_f,eps_g
2230,0.125,0.0078125
2240,0.125,0.0078125
2250,0.125,0.0078125
2260,0.125,0.0078125
2270,0.125,0.0078125
2280,0.125,0.0078125
2290,0.125,0.0078125
2300,0.125,0.0078125
2310,0.125,0.0078125
2320,0.125,0.0078125
2330,0.125,0.0078125
2340,0.125,0.0078125
2350,0.125,0.0078125
2360,0.125,0.0078125
2370,0.125,0.0078125
2380,0.125,0.0078125
2390,0.125,0.0078125
2400,0.125,0.0078125
2410,0.125,0.0078125
2420,0.125,0.0078125
2430,0.125,0.0078125
2440,0.125,0.0078125
2450,0.125,0.0078125
2460,0.125,0.0078125
2470,0.125,0.0078125
2480,0.125,0.0078125
2490,0.125,0.0078125
2500,0.125,0.0078125
2510,0.125,0.0078125
2520,0.125,0.0078125
2530,0.125,0.0078125
2540,0.125,0.0078125
2550,0.125,0.0078125
2560,0.125,0.0078125
2570,0.125,0.0078125
2580,0.125,0.0078125
2590,0.125,0.0078125
2600,0.125,0.0078125
2610,0.125,0.0078125
2620,0.125,0.0078125
2630,0.125,0.0078125
2640,0.125,0.0078125
2650,0.125,0.0078125
2660,0.125,0.0078125
2670,0.125,0.0078125
2680,0.125,0.0078125
2690,0.125,0.0078125
2700,0.125,0.0078125
2710,0.125,0.0078125
2720,0.125,0.0078125
2730,0.125,0.0078125
2740,0.125,0.0078125
2750,0.125,0.0078125
2760,0.125,0.0078125
2770,0.125,0.0078125
2780,0.125,0.0078125
2790,0.125,0.0078125
2800,0.125,0.0078125
2810,0.125,0.0078125
2820,0.125,0.0078125
2830,0.125,0.0078125
2840,0.125,0.0078125
2850,0.125,0.0078125
2860,0.125,0.0078125
2870,0.125,0.0078125
2880,0.125,0.0078125
2890,0.125,0.0078125
2900,0.125,0.0078125
2910,0.125,0.0078125
2920,0.125,0.0078125
2930,0.125,0.0078125
2940,0.125,0.0078125
2950,0.125,0.0078125
2960,0.125,0.0078125
2970,0.125,0.0078125
2980,0.125,0.0078125
2990,0.125,0.0078125
3000,0.125,0.0078125
3010,0.125,0.0078125
3020,0.125,0.0078125
3030,0.125,0.0078125
3040,0.125,0.0078125
3050,0.125,0.0078125
3060,0.125,0.0078125
3070,0.125,0.0078125
3080,0.125,0.0078125
