MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	0.771991,0.0015598,0.380517,-0.391473
20,	0.767232,0.00040573,0.385588,-0.381643
30,	0.77152,-0.00141587,0.478548,-0.292973
40,	0.770324,0.00076743,0.39957,-0.370754
50,	0.766976,0.00294719,0.412024,-0.354952
60,	0.773789,0.00159919,0.430953,-0.342836
70,	0.771638,0.000245707,0.428437,-0.343201
80,	0.768721,-0.00314637,0.461802,-0.306919
90,	0.770467,-0.00104776,0.441538,-0.328929
100,	0.765714,0.000331284,0.412154,-0.35356
110,	0.766495,0.000411922,0.379693,-0.386802
120,	0.768772,-0.00142799,0.422353,-0.346419
130,	0.767257,0.00179234,0.471573,-0.295683
140,	0.772898,0.00427705,0.40046,-0.372438
150,	0.767981,-0.000387952,0.398125,-0.369856
160,	0.774097,0.00425939,0.489814,-0.284283
170,	0.771011,-0.00427229,0.454671,-0.31634
180,	0.771362,-0.000557132,0.427369,-0.343993
190,	0.771987,0.00058425,0.422075,-0.349912
200,	0.76341,-0.00129828,0.458405,-0.305005
210,	0.775447,0.00275238,0.398188,-0.377258
220,	0.770184,-7.6234e-05,0.480744,-0.28944
230,	0.772577,-0.00271515,0.462511,-0.310066
240,	0.769042,0.00101152,0.467903,-0.30114
250,	0.773898,-0.00191098,0.344418,-0.42948
260,	0.770966,0.0043603,0.419078,-0.351888
270,	0.768152,-0.0017427,0.410274,-0.357878
280,	0.764219,0.00505167,0.372069,-0.392149
290,	0.770585,0.000699823,0.454145,-0.31644
300,	0.765601,-0.0012373,0.489393,-0.276207
310,	0.770959,0.00282711,0.341384,-0.429575
320,	0.767973,0.00280242,0.485702,-0.28227
330,	0.767585,-3.32558e-05,0.452135,-0.31545
340,	0.762711,-0.000476378,0.388915,-0.373796
350,	0.767241,0.000854848,0.462331,-0.30491
360,	0.770001,-0.000682226,0.414773,-0.355228
370,	0.772589,0.00441209,0.370929,-0.401661
380,	0.773258,0.00258061,0.397532,-0.375725
390,	0.762808,0.00192339,0.418439,-0.344369
400,	0.777582,0.00198376,0.414135,-0.363447
410,	0.773347,-8.04104e-05,0.470838,-0.302508
420,	0.773876,-0.00216742,0.53537,-0.238506
430,	0.767591,-0.000344934,0.443116,-0.324475
440,	0.769057,-0.000642279,0.52114,-0.247916
450,	0.770316,-0.00420385,0.455852,-0.314464
460,	0.767851,-0.00111022,0.437483,-0.330368
470,	0.768825,-0.0012738,0.465521,-0.303305
480,	0.770623,0.00317124,0.457177,-0.313446
490,	0.769021,0.000208957,0.459816,-0.309205
500,	0.769458,0.00305505,0.430843,-0.338615
510,	0.769205,-0.00469967,0.416914,-0.352291
520,	0.766195,0.00323326,0.441031,-0.325164
530,	0.767723,0.00151821,0.414715,-0.353009
540,	0.766827,0.000658647,0.472747,-0.294081
550,	0.767822,0.00365124,0.423464,-0.344357
560,	0.769005,0.00291853,0.398352,-0.370652
570,	0.765887,-0.00411326,0.451355,-0.314532
580,	0.771527,-0.000806624,0.407981,-0.363546
590,	0.769753,0.00213585,0.454971,-0.314782
600,	0.773693,0.00366459,0.453998,-0.319694
610,	0.771404,0.00140504,0.385161,-0.386243
620,	0.766572,0.000868975,0.528588,-0.237984
630,	0.768633,0.00108074,0.386135,-0.382497
640,	0.775187,0.00193519,0.464932,-0.310255
650,	0.769075,0.000966719,0.424185,-0.344889
660,	0.768554,-0.00251695,0.4087,-0.359853
670,	0.76958,-0.000845447,0.472083,-0.297497
680,	0.772765,0.000565839,0.439819,-0.332947
690,	0.765329,-0.00413945,0.391802,-0.373527
700,	0.770359,-0.0012077,0.513237,-0.257121
710,	0.774609,-0.00127998,0.400759,-0.373851
720,	0.76839,-0.000473135,0.432586,-0.335804
730,	0.771641,-0.00136454,0.409106,-0.362535
740,	0.765448,-6.98091e-05,0.456637,-0.308811
750,	0.766787,-0.000782287,0.45184,-0.314947
760,	0.77087,0.00351399,0.431635,-0.339235
770,	0.765818,-0.00222586,0.352865,-0.412953
780,	0.766751,0.00030407,0.448716,-0.318035
790,	0.768378,-0.00320049,0.448853,-0.319525
800,	0.766232,-0.00019,0.423657,-0.342576
810,	0.769486,-0.00300563,0.500387,-0.269099
820,	0.764576,-0.00601454,0.484082,-0.280493
830,	0.768387,0.00223126,0.409124,-0.359263
840,	0.767661,-0.00305403,0.445235,-0.322426
850,	0.767718,-0.00394349,0.469596,-0.298122
860,	0.767829,-0.00226822,0.36303,-0.404798
870,	0.767354,-0.00111189,0.429085,-0.33827
880,	0.768996,0.00284883,0.415924,-0.353072
890,	0.775826,0.00571778,0.408931,-0.366895
900,	0.771407,-0.00142506,0.413926,-0.357482
910,	0.765123,0.00157145,0.42976,-0.335362
920,	0.766755,0.00164507,0.442644,-0.324111
930,	0.77339,0.00177577,0.462847,-0.310543
940,	0.767555,0.00314811,0.451358,-0.316198
950,	0.766654,-0.00195795,0.492116,-0.274538
960,	0.767046,-0.000439872,0.426507,-0.34054
970,	0.772653,0.00103797,0.512791,-0.259861
980,	0.771176,-0.00195124,0.46476,-0.306416
990,	0.775151,-0.00319235,0.433759,-0.341392
1000,	0.762367,0.00192716,0.445782,-0.316585
1010,	0.769751,0.00316692,0.3867,-0.38305
1020,	0.76747,-0.000141699,0.374217,-0.393253
1030,	0.774584,-0.00222899,0.395159,-0.379426
1040,	0.763886,-0.000859227,0.380104,-0.383782
1050,	0.77394,0.0013891,0.447561,-0.326379
1060,	0.7657,0.000776975,0.466788,-0.298912
1070,	0.764657,-0.000776941,0.412636,-0.352021
1080,	0.771205,0.000963728,0.392331,-0.378873
1090,	0.767062,-0.00464177,0.410884,-0.356178
1100,	0.766473,0.00250193,0.508955,-0.257518
1110,	0.771517,0.00397494,0.490138,-0.281379
