t,cg_iters
1,4973
2,6930
3,7623
4,8249
5,8700
6,9371
7,8731
8,8722
9,8816
10,9794
11,7994
12,8191
13,7081
14,6680
15,6440
16,6551
17,6276
18,6032
19,6169
20,6743
21,7010
22,6554
23,6554
24,7178
25,7926
26,7306
27,6690
28,6724
29,7476
30,7536
31,7685
32,7716
33,7740
34,7643
35,7731
36,9449
37,9384
38,9386
39,8712
40,7968
41,7452
42,7685
43,7796
44,8063
45,7119
46,6160
47,6025
48,6401
49,6217
50,7156
51,7764
52,7473
53,7663
54,7301
55,7345
56,8153
57,8678
58,8463
59,8292
60,9205
61,8583
62,8116
63,7465
64,6879
65,6945
66,7310
67,7307
68,7316
69,6996
70,6931
71,7837
72,7273
73,6842
74,6687
75,6582
76,6439
77,6734
78,6755
79,6564
80,7171
81,8150
82,7716
83,8128
84,7972
85,7228
86,7333
87,8190
88,7454
89,6632
90,6325
91,6471
92,6558
93,6668
94,7303
95,7190
96,6612
97,6899
98,6793
99,7379
100,8897
101,8187
102,6898
103,7416
104,7631
105,7202
106,6317
107,6657
108,6670
109,6999
110,7654
111,8148
112,8104
113,7400
114,7279
115,6600
116,6960
117,7760
118,7450
119,6595
120,7177
121,7258
122,7287
123,7865
124,7480
125,7385
126,6838
127,6353
128,6402
129,7095
130,7916
131,7458
132,7549
133,7864
134,8263
135,8829
136,9402
137,8398
138,8106
139,6905
140,6679
141,6583
142,6282
143,6671
144,7408
145,6659
146,6598
147,7114
148,8535
149,7804
150,7302
151,6604
152,6904
153,6935
154,6582
155,6394
156,6160
157,6264
158,7306
159,7949
160,7433
161,6535
162,6190
163,6849
164,7016
165,6457
166,6395
167,6765
168,7098
169,6604
170,7005
171,7395
172,7375
173,6878
174,5985
175,5932
176,6231
177,6542
178,7147
179,7127
180,6379
181,6001
182,6271
183,6982
184,7791
185,8051
186,8094
187,8005
188,7705
189,6806
190,6918
191,7642
192,7708
193,7100
194,6675
195,6428
196,6902
197,6869
198,7032
199,6794
200,6629
201,7027
202,6666
203,6028
204,6108
205,6342
206,6894
207,7495
208,7973
209,7345
210,6671
211,6099
212,6747
213,7246
214,7287
215,7438
216,6437
217,7234
218,7826
219,7316
220,7128
221,7462
222,6858
223,7245
224,8179
225,8026
226,7326
227,6769
228,6469
229,5968
230,6142
231,6604
232,6946
233,7443
234,6991
235,6277
236,6819
237,6034
238,6188
239,6680
240,6663
241,7203
242,7087
243,6999
244,7285
245,7430
246,7181
247,6752
248,7015
249,6765
250,6331
251,6327
252,6441
253,6589
254,6471
255,6197
256,6375
257,6787
258,7290
259,7429
260,7688
261,7251
262,6447
263,6781
264,7327
265,6933
266,6600
267,6837
268,6501
269,6742
270,6479
271,6523
272,6803
273,7091
274,6465
275,5937
276,6417
277,7202
278,6927
279,6427
280,6152
281,6200
282,6486
283,6310
284,6994
285,7539
286,7917
287,8291
288,8403
289,8389
290,7810
291,7819
292,7676
293,7400
294,7727
295,7853
296,7424
297,7217
298,7053
299,7103
300,7029
301,7477
302,8089
303,8383
304,7909
305,7969
306,7974
307,7429
308,7754
309,7853
310,8381
311,8296
312,8621
313,8119
314,7202
315,7596
316,6927
317,6756
318,6457
319,6177
320,5993
321,6383
322,7329
323,6954
324,6116
325,6193
326,6269
327,6276
328,6331
329,6228
330,6201
331,6323
332,6526
333,7303
334,7767
335,7819
336,7824
337,7456
338,7089
339,6815
340,6358
341,6002
342,5918
343,6208
344,6567
345,7529
346,8605
347,7595
348,7324
349,7212
350,6798
351,6834
352,6566
353,6853
354,6555
355,6748
356,6411
357,6387
358,6379
359,6532
360,6064
361,5820
362,5801
363,5912
364,6805
365,7389
366,7160
367,7458
368,6608
369,6549
370,6013
371,6118
372,6715
373,7235
374,7175
375,7100
376,6996
377,6974
378,6384
379,6148
380,6290
381,7067
382,7944
383,6796
384,6169
385,6831
386,7245
387,7104
388,7420
389,7213
390,6608
391,6825
392,6730
393,6905
394,6514
395,5891
396,6070
397,6298
398,6457
399,6395
400,6683
401,7267
402,7516
403,7571
404,7792
405,8167
406,9060
407,8999
408,8341
409,8484
410,8156
411,8576
412,10225
413,9021
414,7106
415,6886
416,7256
417,8462
418,8129
419,7470
420,7565
421,8176
422,7745
423,6336
424,5838
425,5902
426,6346
427,5985
428,6012
429,5606
430,5977
431,6160
432,6000
433,6193
434,6420
435,6194
436,6070
437,5906
438,6408
439,6394
440,6495
441,6606
442,6478
443,6055
444,6230
445,6712
446,6853
447,7218
448,7164
449,6288
450,6561
451,8038
452,8229
453,7528
454,7029
455,6891
456,7154
457,6593
458,6769
459,6293
460,5887
461,6464
462,6747
463,6539
464,6064
465,6195
466,6674
467,6562
468,5937
469,6148
470,6960
471,7617
472,7318
473,7782
474,7665
475,6941
476,6268
477,6300
478,6401
479,6716
480,6799
481,6724
482,6539
483,6383
484,5886
485,6332
486,6428
487,6220
488,6687
489,7011
490,7420
491,7257
492,8042
493,8102
494,8984
495,10121
496,9855
