t,cond_num
10,9.41403
20,8.90812
30,9.39936
40,8.93308
50,9.31156
60,9.70069
70,9.27447
80,9.00387
90,8.76125
100,9.62099
110,9.42175
120,9.13952
130,9.15618
140,8.913
150,8.98432
160,8.94632
170,9.32762
180,8.67272
190,9.04556
200,8.89186
210,8.69808
220,9.19068
230,8.76687
240,9.02698
250,8.66435
260,9.3198
270,8.88536
280,8.68998
290,9.20542
300,9.11663
310,9.55649
320,8.5702
330,8.71343
340,8.70925
350,8.85079
360,8.69598
370,8.59241
380,8.89807
390,8.88167
400,8.80098
410,9.15368
420,9.1478
430,8.569
440,8.76646
450,9.06855
460,8.6345
470,9.11284
480,8.90315
490,8.97844
500,8.98779
510,9.40552
520,8.92607
530,8.52481
540,9.09315
550,8.31593
560,8.73985
570,8.44971
580,8.58892
590,8.68068
600,8.62873
610,8.45872
620,8.78957
630,8.99947
640,8.84994
650,8.62084
660,9.04771
670,8.67793
680,9.0521
690,8.99586
700,9.59015
710,9.04823
720,9.41159
730,8.99804
740,8.95626
750,8.84216
760,8.87034
770,9.53837
780,8.64047
790,8.7571
800,9.05514
810,9.76353
820,10.0619
830,8.69526
840,8.73944
850,8.91206
860,8.83456
870,9.97418
880,10.1684
890,10.2991
900,10.2522
910,9.96501
920,9.99785
930,9.93635
940,9.15723
950,8.82058
960,8.83115
970,9.1896
980,8.91748
990,10.385
1000,9.27494
1010,9.26352
1020,9.41713
1030,9.05963
1040,9.14594
1050,8.77276
1060,8.81079
1070,8.85628
1080,9.07697
1090,8.54221
1100,8.50266
1110,8.51242
1120,8.82065
1130,8.63717
1140,8.89398
1150,8.56221
1160,8.63705
1170,8.72547
1180,8.85057
1190,8.87297
1200,8.91648
1210,9.03328
1220,9.01601
1230,8.98333
1240,8.84856
1250,9.04017
1260,8.86933
1270,8.76796
1280,8.85266
1290,9.04159
1300,9.61195
1310,8.65091
1320,9.44858
1330,8.75721
1340,8.50772
1350,8.6982
1360,8.82353
1370,8.59415
1380,9.1894
1390,8.70598
1400,9.19828
1410,8.75311
1420,8.97031
1430,8.85413
1440,8.74902
1450,8.73154
1460,9.02528
1470,8.8778
1480,8.51669
1490,8.76406
1500,8.81908
1510,9.09488
1520,8.94228
1530,8.81914
1540,8.69164
1550,8.76076
1560,8.80815
1570,9.18698
1580,8.81352
1590,9.06473
1600,9.36527
1610,8.96439
1620,8.90269
1630,8.7966
1640,8.90814
1650,9.36516
1660,8.76888
1670,9.10804
1680,9.18167
1690,9.54231
1700,8.49693
1710,8.79621
1720,8.52792
1730,9.24529
1740,8.67916
1750,9.11735
1760,9.28652
1770,9.69146
1780,9.01644
1790,9.94449
1800,10.6483
1810,9.12597
1820,8.67344
1830,8.81649
1840,9.0303
1850,9.11275
1860,9.4294
1870,8.90509
1880,8.587
1890,8.56732
1900,9.03873
1910,9.30307
1920,8.89987
1930,8.54679
1940,8.91329
1950,8.97315
1960,8.66891
1970,9.50857
1980,8.91288
1990,8.85576
2000,nan
