MDTU,susyTrans,Im(bilin)
10,-0.454845,0.0015598
20,-0.444457,0.00040573
30,-0.322698,-0.00141587
40,-0.427241,0.00076743
50,-0.40769,0.00294719
60,-0.387078,0.00159919
70,-0.388852,0.000245707
80,-0.34225,-0.00314637
90,-0.370408,-0.00104776
100,-0.406582,0.000331284
110,-0.452197,0.000411922
120,-0.394937,-0.00142799
130,-0.328322,0.00179234
140,-0.427852,0.00427705
150,-0.427558,-0.000387952
160,-0.310336,0.00425939
170,-0.353418,-0.00427229
180,-0.390085,-0.000557132
190,-0.397701,0.00058425
200,-0.342523,-0.00129828
210,-0.432782,0.00275238
220,-0.318799,-7.6234e-05
230,-0.34435,-0.00271515
240,-0.334525,0.00101152
250,-0.507013,-0.00191098
260,-0.40101,0.0043603
270,-0.410952,-0.0017427
280,-0.461364,0.00505167
290,-0.35378,0.000699823
300,-0.303975,-0.0012373
310,-0.509481,0.00282711
320,-0.31064,0.00280242
330,-0.3541,-3.32558e-05
340,-0.436604,-0.000476378
350,-0.340388,0.000854848
360,-0.406157,-0.000682226
370,-0.468671,0.00441209
380,-0.432137,0.00258061
390,-0.395809,0.00192339
400,-0.412544,0.00198376
410,-0.334115,-8.04104e-05
420,-0.253457,-0.00216742
430,-0.366096,-0.000344934
440,-0.266865,-0.000642279
450,-0.351321,-0.00420385
460,-0.373832,-0.00111022
470,-0.337463,-0.0012738
480,-0.349816,0.00317124
490,-0.345093,0.000208957
500,-0.383975,0.00305505
510,-0.402653,-0.00469967
520,-0.367807,0.00323326
530,-0.404559,0.00151821
540,-0.326451,0.000658647
550,-0.39272,0.00365124
560,-0.427978,0.00291853
570,-0.353808,-0.00411326
580,-0.41655,-0.000806624
590,-0.352043,0.00213585
600,-0.356381,0.00366459
610,-0.447966,0.00140504
620,-0.255581,0.000868975
630,-0.444676,0.00108074
640,-0.343232,0.00193519
650,-0.392679,0.000966719
660,-0.413404,-0.00251695
670,-0.329513,-0.000845447
680,-0.37445,0.000565839
690,-0.43444,-0.00413945
700,-0.277768,-0.0012077
710,-0.428659,-0.00127998
720,-0.380821,-0.000473135
730,-0.415093,-0.00136454
740,-0.34647,-6.98091e-05
750,-0.353868,-0.000782287
760,-0.383973,0.00351399
770,-0.489743,-0.00222586
780,-0.357987,0.00030407
790,-0.359068,-0.00320049
800,-0.391266,-0.00019
810,-0.293176,-0.00300563
820,-0.30996,-0.00601454
830,-0.4127,0.00223126
840,-0.363324,-0.00305403
850,-0.331265,-0.00394349
860,-0.476613,-0.00226822
870,-0.384758,-0.00111189
880,-0.403848,0.00284883
890,-0.418352,0.00571778
900,-0.408342,-0.00142506
910,-0.382155,0.00157145
920,-0.366082,0.00164507
930,-0.344546,0.00177577
940,-0.355106,0.00314811
950,-0.301356,-0.00195795
960,-0.388013,-0.000439872
970,-0.280225,0.00103797
980,-0.340312,-0.00195124
990,-0.384338,-0.00319235
1000,-0.358479,0.00192716
1010,-0.444671,0.00316692
1020,-0.460568,-0.000141699
1030,-0.436342,-0.00222899
1040,-0.449799,-0.000859227
1050,-0.365064,0.0013891
1060,-0.333323,0.000776975
1070,-0.405139,-0.000776941
1080,-0.437871,0.000963728
1090,-0.409316,-0.00464177
1100,-0.279892,0.00250193
1110,-0.30784,0.00397494
1120,-0.391826,-0.00240275
1130,-0.386024,0.00296118
1140,-0.398921,-0.0029653
1150,-0.333159,0.000309939
1160,-0.354358,0.00083419
1170,-0.376427,-0.00159661
1180,-0.359412,0.00030602
1190,-0.448849,-0.00366272
1200,-0.289946,-0.00209522
1210,-0.285949,-0.00586539
1220,-0.388169,-0.00151809
1230,-0.377683,-0.0022872
1240,-0.334461,-0.00216581
1250,-0.434895,0.000152553
1260,-0.320278,-0.00049936
1270,-0.449447,0.00557942
1280,-0.408213,0.00277858
1290,-0.466099,-0.000230708
1300,-0.421371,-0.000772174
1310,-0.437891,-0.000372609
1320,-0.330399,-0.00285897
1330,-0.421645,0.00463576
1340,-0.339397,-0.00123585
1350,-0.320511,0.00161372
1360,-0.393863,0.00281372
1370,-0.391518,0.00310423
1380,-0.391717,-0.00251261
1390,-0.416542,-0.00145837
1400,-0.353269,0.000845411
1410,-0.335197,-0.00127684
1420,-0.327842,-0.00389087
1430,-0.407509,0.00493903
1440,-0.420053,0.000367082
1450,-0.377445,0.00238936
1460,-0.351758,0.0015087
1470,-0.339316,-0.000464744
1480,-0.385128,-0.000599245
1490,-0.293066,-0.00245305
1500,-0.423747,0.00288644
1510,-0.382083,0.00104112
1520,-0.432103,9.8799e-05
1530,-0.322179,-0.00129136
1540,-0.374695,-4.94062e-05
1550,-0.490825,-0.00207606
1560,-0.389293,0.00306463
1570,-0.297491,-0.00186238
1580,-0.411304,-0.00263714
1590,-0.314639,-0.00128433
1600,-0.466712,0.000112388
1610,-0.395555,-0.00237024
1620,-0.385051,0.000202625
1630,-0.318158,-0.00397999
1640,-0.406029,-0.00337548
1650,-0.373866,-0.00195395
1660,-0.399972,-0.000358709
1670,-0.444763,0.00432792
1680,-0.419485,-0.00457359
1690,-0.371646,-0.00337868
1700,-0.40041,0.00210482
1710,-0.313847,0.000619806
1720,-0.426309,-0.00247674
1730,-0.365054,-0.00222953
1740,-0.388442,-0.00469093
1750,-0.368953,-0.00544536
1760,-0.365759,-0.00102506
1770,-0.419628,0.000331419
