T,G,F
1,0.02313,0.03172
2,0.01627,0.02772
3,0.01587,0.02736
4,0.01587,0.0274
5,0.01586,0.0274
6,0.01584,0.02742
7,0.01583,0.02737
8,0.01592,0.02743
9,0.01589,0.02737
10,0.01591,0.02731
11,0.0159,0.02716
12,0.01597,0.02725
13,0.01596,0.02727
14,0.01601,0.02727
15,0.01592,0.0272
16,0.01599,0.02726
17,0.01601,0.02718
18,0.01598,0.0272
19,0.01598,0.02719
20,0.01597,0.02718
21,0.01593,0.02714
22,0.01599,0.02716
23,0.01592,0.02715
24,0.01595,0.02717
25,0.01598,0.02711
26,0.01604,0.02707
27,0.01599,0.02706
28,0.01603,0.02712
29,0.01601,0.02708
30,0.01598,0.02707
31,0.01609,0.02709
32,0.01605,0.02704
33,0.01606,0.02708
34,0.01602,0.02705
35,0.01604,0.02698
36,0.01604,0.02701
37,0.0161,0.02703
38,0.01607,0.02699
39,0.01601,0.027
40,0.01606,0.02698
41,0.01611,0.02684
42,0.01606,0.02683
43,0.01613,0.02688
44,0.01621,0.02684
45,0.01616,0.02688
46,0.01619,0.02675
47,0.01621,0.02673
48,0.01628,0.02669
49,0.01623,0.0267
50,0.01628,0.02659
51,0.01629,0.02666
52,0.01623,0.0267
53,0.01624,0.02667
54,0.01624,0.02657
55,0.01637,0.02661
56,0.01635,0.02661
57,0.01634,0.02657
58,0.0163,0.02659
59,0.01638,0.02658
60,0.01638,0.02645
61,0.01637,0.0264
62,0.01644,0.0264
63,0.01652,0.02643
64,0.01638,0.02641
65,0.01646,0.02639
66,0.01645,0.02639
67,0.01647,0.0264
68,0.01637,0.0263
69,0.01645,0.02639
70,0.01642,0.02632
71,0.01644,0.02631
72,0.01645,0.02637
73,0.01645,0.0263
74,0.01642,0.02626
75,0.01648,0.02623
76,0.01649,0.02627
77,0.01649,0.02625
78,0.01651,0.02624
79,0.01653,0.02625
80,0.01645,0.02623
81,0.01651,0.02619
82,0.01649,0.02623
83,0.01653,0.02615
84,0.01655,0.02613
85,0.01655,0.02604
86,0.01662,0.026
87,0.01659,0.02604
88,0.01659,0.02606
89,0.01656,0.02602
90,0.01663,0.02606
91,0.0166,0.02605
92,0.0166,0.02601
93,0.01661,0.02592
94,0.01667,0.02595
95,0.0167,0.02587
96,0.01668,0.02589
97,0.01673,0.02589
98,0.01679,0.02587
99,0.0167,0.02587
100,0.01675,0.02589
101,0.01674,0.0259
102,0.01673,0.02589
103,0.01678,0.02593
104,0.01672,0.02589
105,0.01678,0.02587
106,0.0167,0.02589
107,0.0167,0.02588
108,0.01672,0.02578
109,0.01682,0.02583
110,0.01672,0.02575
111,0.01682,0.02577
112,0.0168,0.02574
113,0.01676,0.02574
114,0.0168,0.02574
115,0.01679,0.02573
116,0.01678,0.02572
117,0.01678,0.02571
118,0.0168,0.02574
119,0.01679,0.0257
120,0.01679,0.02565
121,0.01686,0.02563
122,0.01685,0.02566
123,0.01681,0.02566
124,0.01689,0.0256
125,0.0168,0.02557
126,0.01681,0.02558
127,0.01684,0.02559
128,0.01691,0.02555
129,0.01684,0.02553
130,0.0169,0.0255
131,0.01686,0.02549
132,0.01688,0.02551
133,0.01697,0.02548
134,0.01707,0.02533
