MDTU ,delta_S
1,-48.39
2,-1.688
3,1.999
4,2.408
5,1.792
6,2.212
7,0.5866
8,1.133
9,1.25
10,0.525
11,0.006768
12,1.423
13,2.27
14,1.665
15,1.119
16,2.618
17,1.776
18,1.831
19,2.166
20,0.8765
21,0.9888
22,1.332
23,0.2147
24,1.425
25,0.1216
26,2.858
27,0.9191
28,2.348
29,0.9116
30,0.7047
31,1.671
32,2.104
33,2.614
34,1.073
35,1.05
36,1.037
37,1.894
38,1.725
39,0.0271
40,1.653
41,1.069
42,0.4199
43,0.5606
44,2.479
45,0.3219
46,0.08935
47,1.276
48,3.011
49,1.32
50,1.765
51,2.319
52,0.6378
53,0.1678
54,-0.3398
55,2.867
56,3.196
57,3.167
58,3.058
59,1.073
60,0.5435
61,0.05478
62,1.405
63,2.187
64,1.347
65,2.928
66,3.378
67,2.774
68,1.067
69,2.178
70,1.978
71,1.047
72,3.034
73,0.7384
74,1.675
75,1.977
76,1.138
77,0.938
78,1.656
79,2.957
80,0.7628
81,1.44
82,1.783
83,0.3653
84,1.046
85,0.3892
86,1.745
87,1.227
88,0.4801
89,1.912
90,2.172
91,2.729
92,0.3366
93,-0.9953
94,0.498
95,1.152
96,0.1646
97,1.683
98,2.333
99,1.462
100,2.306
101,1.538
102,1.499
103,3.753
104,1.247
105,1.44
106,1.794
107,0.6963
108,1.294
109,2.546
110,0.4665
111,1.9
112,2.793
113,1.023
114,2.479
115,0.6086
116,0.9047
117,1.599
118,1.537
119,0.2625
120,0.6479
121,2.229
122,2.985
123,0.114
124,1.719
125,1.067
126,0.1095
127,0.3685
128,1.474
129,0.4478
130,0.07716
131,-0.1068
132,0.2068
133,0.7351
134,1.584
135,0.4173
136,-0.3428
137,0.7944
138,2.077
139,1.49
140,-1.29
141,0.3821
142,0.8775
143,0.771
144,2.876
145,-0.2369
146,-0.2373
147,0.1777
148,1.613
149,1.112
150,1.267
151,1.524
152,1.798
153,1.113
154,2.759
155,0.6462
156,1.422
157,1.929
158,2.529
159,1.115
160,1.55
161,0.5617
162,1.107
163,1.094
164,-0.06076
165,2.053
166,0.5656
167,0.7382
168,1.905
169,0.7653
170,0.2985
171,3.11
172,0.2655
173,2.082
174,0.8819
175,-0.0427
176,0.4708
177,1.232
178,0.9963
179,1.116
180,0.7901
181,1.612
182,2.847
183,1.636
184,-0.197
185,0.1901
186,1.193
187,0.2985
188,0.4023
189,0.5327
190,1.268
191,0.3752
192,2.215
193,2.14
194,0.8936
195,0.4519
196,2.031
197,0.08013
198,0.8857
199,-0.5786
200,0.5967
201,0.3099
202,-1.04
203,0.5522
204,0.006134
205,1.27
206,-0.5264
207,1.667
208,-0.01672
209,1.894
210,1.049
211,-0.6377
212,1.52
213,1.438
214,1.689
215,0.7116
216,0.362
217,1.965
218,3.031
219,0.1849
220,0.4274
221,0.6669
222,0.237
223,-0.1412
224,-0.3912
225,0.8867
226,-0.3547
227,0.3132
228,1.016
229,1.12
230,-0.3755
231,0.1821
232,0.9225
233,0.1938
234,1.52
235,-0.1626
236,1.159
237,0.9808
238,1.495
239,2.044
240,1.145
241,0.1014
242,1.236
243,-0.8849
244,0.5952
245,0.9972
246,1.771
247,1.396
248,-0.1775
249,1.676
250,0.5654
251,2.195
252,1.222
253,0.5494
254,0.4705
255,0.7564
256,0.2905
257,0.689
258,0.7825
259,0.09536
260,1.691
261,2.115
262,-0.1065
263,-0.3382
264,0.876
265,-0.4479
266,1.023
267,1.569
268,-0.7658
269,0.6537
270,0.8208
271,-0.3508
272,1.322
273,0.3416
274,0.1828
275,-0.1486
276,0.5884
277,0.09707
278,1.911
279,1.22
280,0.4883
281,-0.3513
282,0.4552
283,0.912
284,-0.344
285,0.4681
286,-0.3291
287,-0.8995
288,0.7035
289,1.294
290,0.651
291,1.126
292,0.3254
293,0.3879
294,1.515
295,-0.4107
296,0.06298
297,-0.1896
298,-0.7493
299,0.9193
300,-0.4293
301,-0.07258
302,0.0101
303,1.479
304,0.4189
305,0.5254
306,0.2149
307,0.2568
308,1.277
309,-0.0149
310,0.7356
311,-0.05433
312,1.237
313,0.5613
314,1.145
315,1.578
316,1.766
317,1.085
318,1.03
319,0.4504
320,1.443
321,0.9677
322,0.542
323,0.04479
324,0.6021
325,0.4579
326,2.396
327,0.6687
328,-0.4066
329,-0.2148
330,0.1963
331,0.423
332,1.359
333,-0.4554
334,-0.5992
335,1.888
336,0.9611
337,0.6574
338,0.4893
339,-0.3369
340,-0.5014
341,-0.8152
342,0.1892
343,0.4386
344,1.129
345,-0.2005
346,0.6537
347,0.1218
348,-0.07671
349,0.5231
350,0.4373
351,1.157
352,0.2096
353,-0.8797
354,1.064
355,-0.4501
356,0.4241
357,1.119
358,-0.3409
359,-0.4746
360,1.396
361,0.9166
362,-0.1823
363,0.9407
364,0.07333
365,-0.35
366,1.086
367,-0.4837
368,0.04688
369,1.145
370,1.123
371,-1.385
372,0.9097
373,0.2812
374,1.17
375,-0.5063
376,1.049
377,0.7146
378,0.3986
379,1.899
380,0.0372
381,0.6975
382,0.4643
383,0.4118
384,0.2586
385,-0.5104
386,0.7986
387,0.9621
388,-0.6668
389,-0.06205
390,0.6974
391,-0.4259
392,0.6115
393,-0.8322
394,-0.08947
395,-0.8906
396,0.1548
397,-0.5509
398,0.4296
399,1.609
400,1.345
401,0.4684
402,-0.3493
403,0.7703
404,0.5342
405,-0.2552
406,1.223
407,-0.2769
408,1.206
409,1.08
410,1.479
411,-0.452
412,-0.1452
413,-0.5018
414,-0.3095
415,0.4903
416,0.831
417,0.08658
418,0.06069
419,0.1664
420,0.003666
421,-0.2728
422,0.02727
423,0.3497
424,-0.1833
425,-0.2411
426,-0.2068
427,0.08399
428,0.2626
429,-0.1563
430,0.4255
431,-0.1335
432,-0.06884
433,0.05051
434,-1.298
435,0.1758
436,1.618
437,1.087
438,-0.3466
439,0.7663
440,1.248
441,0.9956
442,0.329
443,-0.03265
444,0.7219
445,-0.8695
446,1.972
447,-0.01263
448,-0.6392
449,-0.02332
450,0.113
451,0.9757
452,1.674
453,1.267
454,0.07428
455,-0.4861
456,-1.14
457,-0.626
458,-0.2201
459,0.3055
460,0.7691
461,0.05507
462,0.9056
463,0.2963
464,-0.9165
465,1.033
466,-0.3092
467,0.2791
468,0.5659
469,0.2523
470,-0.06424
471,-0.01534
472,0.8439
473,0.5047
474,1.098
475,-0.1709
476,0.5586
477,-0.05776
478,-0.1283
479,-0.4264
480,0.4843
481,-0.4888
482,-0.2469
483,-1.092
484,0.1399
485,0.7248
486,-0.8868
487,0.1197
488,-0.06778
489,0.7764
490,0.8011
491,0.4116
492,-0.2234
493,0.08305
494,-0.5208
495,0.9595
496,0.8796
497,-0.5623
498,0.2057
499,0.1758
500,-0.9048
501,-0.8553
502,0.4104
503,0.252
504,0.4668
505,0.2705
506,-0.4745
507,0.2249
508,-0.2473
509,-0.2782
510,-0.05778
511,-0.782
512,0.6773
513,0.4154
514,-2.104
515,-0.1204
516,-0.05755
517,0.9015
518,-0.6928
519,0.8744
520,-0.3562
521,0.07243
522,1.09
523,1.012
524,0.7973
525,0.7748
526,-1.127
527,0.8524
528,0.2108
529,0.9814
530,0.4481
531,-0.1591
532,0.8979
533,0.6463
534,0.04766
535,0.02585
536,-1.18
537,-0.4136
538,0.2669
539,1.76
540,-0.4786
541,0.7962
542,1.493
543,-0.1274
544,-0.3257
545,0.0657
546,0.3845
547,-1.198
548,-0.4392
549,1.762
550,0.644
551,-0.1227
552,-0.05063
553,1.344
554,0.3005
