T,G,F
267,0.01594,0.02587
268,0.01589,0.02585
269,0.01592,0.02585
270,0.01587,0.02586
271,0.01586,0.02586
272,0.0159,0.02586
273,0.0159,0.02588
274,0.0159,0.02586
275,0.01588,0.02583
276,0.01591,0.0259
277,0.01596,0.02582
278,0.0159,0.02589
279,0.01602,0.02566
280,0.01608,0.02566
281,0.01608,0.02571
282,0.01603,0.0256
283,0.01605,0.02566
284,0.01605,0.02564
285,0.016,0.02562
286,0.016,0.02566
287,0.01606,0.02565
288,0.01605,0.02563
289,0.01603,0.02563
290,0.01604,0.02568
291,0.01602,0.02568
292,0.01604,0.02562
293,0.01622,0.02547
294,0.01616,0.02542
295,0.01619,0.02543
296,0.01624,0.02541
297,0.01625,0.0254
298,0.01626,0.0254
299,0.01626,0.02544
300,0.01618,0.02543
301,0.01617,0.02539
302,0.01617,0.02542
303,0.01612,0.02539
304,0.01621,0.02535
305,0.01624,0.02542
306,0.01622,0.02541
307,0.01624,0.02547
308,0.01617,0.02544
309,0.01617,0.02538
310,0.0162,0.02539
311,0.01634,0.02514
312,0.01631,0.02515
313,0.01634,0.02513
314,0.01639,0.02518
315,0.01637,0.02517
316,0.01636,0.02514
317,0.01636,0.02512
318,0.01631,0.02518
319,0.01638,0.02516
320,0.01639,0.02511
321,0.01645,0.02516
322,0.0165,0.02488
323,0.01653,0.0249
324,0.0165,0.02489
325,0.01655,0.02489
326,0.01646,0.02485
327,0.01661,0.0247
328,0.01665,0.02472
329,0.0167,0.02475
330,0.01666,0.02475
331,0.01664,0.02471
332,0.01661,0.02477
333,0.01666,0.02472
334,0.01657,0.02473
335,0.01661,0.02474
336,0.01663,0.02477
337,0.01666,0.02472
338,0.01665,0.02469
339,0.01667,0.02471
340,0.01662,0.02469
341,0.01664,0.02476
342,0.01677,0.02451
343,0.01683,0.02454
344,0.01672,0.02455
345,0.01674,0.02454
346,0.01675,0.02454
347,0.01675,0.02451
348,0.01677,0.02453
349,0.0167,0.02451
350,0.01678,0.02454
351,0.01677,0.02452
352,0.01669,0.0245
353,0.01679,0.02451
354,0.01681,0.0245
355,0.01678,0.0245
356,0.01679,0.02432
357,0.01685,0.02427
358,0.01699,0.02418
359,0.01703,0.02416
360,0.01699,0.02418
361,0.01701,0.02412
362,0.01706,0.02418
363,0.01697,0.02411
364,0.01699,0.02416
365,0.01701,0.02418
366,0.01706,0.02416
367,0.01701,0.02416
368,0.01698,0.02413
369,0.01702,0.02417
370,0.01699,0.02415
371,0.01702,0.02417
372,0.01702,0.02419
373,0.01696,0.02414
374,0.01701,0.02417
375,0.01697,0.02413
376,0.01695,0.02412
377,0.01711,0.02401
378,0.01719,0.02381
379,0.01724,0.02378
380,0.0174,0.02368
381,0.01736,0.02363
382,0.01734,0.02372
383,0.01725,0.02368
384,0.01739,0.02368
385,0.0173,0.02371
386,0.01728,0.02371
387,0.01741,0.02355
388,0.01738,0.02354
389,0.0174,0.02355
390,0.01734,0.0235
391,0.01733,0.02354
392,0.01745,0.02345
393,0.01745,0.02351
394,0.01748,0.02348
395,0.0175,0.02346
396,0.01743,0.02352
397,0.01748,0.02354
398,0.01747,0.02356
399,0.01746,0.02346
400,0.01746,0.02345
401,0.01752,0.02331
402,0.01763,0.02325
403,0.01766,0.02326
404,0.01765,0.02326
405,0.01766,0.02328
406,0.01764,0.02325
407,0.01765,0.02332
408,0.01756,0.02322
409,0.01765,0.02325
410,0.01763,0.02327
411,0.01762,0.02332
412,0.01765,0.02325
413,0.0176,0.02325
414,0.0176,0.02325
415,0.0177,0.02313
416,0.01769,0.0231
417,0.01767,0.02317
418,0.01764,0.02311
