MDTU,abs_delta_S
1,37.46
2,0.3839
3,1.384
4,0.9096
5,0.5321
6,0.7331
7,1.754
8,0.1229
9,0.9636
10,1.94
11,0.1291
12,1.941
13,0.8038
14,1.078
15,0.2396
16,0.7016
17,2.075
18,1.277
19,1.848
20,0.2983
21,1.81
22,0.455
23,0.7647
24,0.7466
25,3.273
26,1.167
27,0.4931
28,0.8558
29,1.802
30,0.03578
31,1.052
32,1.474
33,1.041
34,0.553
35,0.799
36,0.8358
37,2.126
38,0.09985
39,0.1639
40,2.516
41,2.393
42,1.264
43,0.6007
44,0.891
45,1.498
46,0.1898
47,1.139
48,0.6828
49,2.413
50,1.917
51,0.8329
52,1.527
53,0.9763
54,1.165
55,0.4169
56,1.003
57,1.056
58,1.009
59,0.27
60,0.6343
61,1.678
62,1.356
63,2.462
64,1.106
65,0.5838
66,1.602
67,0.1377
68,1.049
69,1.834
70,0.4758
71,0.4914
72,1.504
73,0.0893
74,0.4433
75,1.105
76,0.5518
77,1.4
78,0.3703
79,1.653
80,0.0182
81,0.1688
82,0.4003
83,1.201
84,1.233
85,0.8165
86,0.417
87,0.5691
88,0.3631
89,0.8822
90,0.2813
91,0.1543
92,0.3708
93,1.266
94,0.01368
95,0.8844
96,0.899
97,0.6627
98,0.2458
99,0.08779
100,0.985
101,0.9547
102,1.133
103,0.1089
104,1.935
105,0.2129
106,1.711
107,1.567
108,0.7502
109,0.6193
110,1.292
111,1.096
112,0.5395
113,1.143
114,0.8303
115,0.3982
116,0.03839
117,0.261
118,0.4175
119,1.273
120,0.7602
121,0.1403
122,1.192
123,0.2673
124,0.895
125,0.6851
126,0.3725
127,0.9904
128,1.28
129,0.7307
130,0.6637
131,0.3698
132,0.7537
133,1.436
134,0.6004
135,1.113
136,0.7144
137,0.4388
138,0.4784
139,0.5309
140,0.0329
141,0.3054
142,0.9671
143,0.3782
144,1.507
145,0.3079
146,0.7201
147,1.373
148,0.00133
149,0.06651
150,0.5962
151,0.523
152,0.2901
153,0.5553
154,0.6618
155,0.5621
156,0.5853
157,1.017
158,0.7057
159,0.398
160,0.3227
161,1.117
162,1.779
163,0.011
164,0.7626
165,0.3701
166,2.186
167,1.485
168,0.5347
169,1.818
170,1.281
171,0.277
172,2.202
173,2.708
174,2.543
175,2.414
176,4.095
177,1.72
178,2.257
179,0.8772
180,1.17
181,1.866
182,0.6579
183,1.176
184,3.011
185,2.405
186,3.323
187,0.7238
188,4.443
189,3.508
190,3.441
191,3.437
192,4.309
193,3.247
194,3.107
195,4.111
196,3.811
197,1.774
198,3.565
199,3.486
200,4.161
201,3.971
202,1.938
203,2.82
204,3.95
205,4.582
206,2.021
207,3.44
208,2.316
209,3.652
210,3.414
211,3.594
212,4.222
213,4.305
214,3.87
215,2.961
216,3.152
217,2.584
218,4.021
219,2.86
220,2.277
221,2.309
222,3.694
223,4.093
224,3.535
225,3.271
226,2.954
227,4.329
228,3.279
229,4.752
230,3.438
231,2.28
232,3.973
233,2.481
234,2.527
235,1.97
236,3.76
237,2.935
238,3.079
239,2.42
240,3.468
241,3.088
242,5.452
243,3.369
244,2.579
245,2.946
246,3.694
247,3.096
248,2.854
249,3.411
250,4.288
251,3.853
252,3.907
253,3.293
254,2.763
255,3.482
256,3.795
257,1.583
258,3.294
259,3.689
260,4.587
261,3.775
262,4.709
263,3.146
264,4.57
265,5.037
266,2.669
267,2.993
268,4.164
269,5.109
270,2.68
271,2.862
272,4.107
273,5.383
274,1.607
275,2.647
276,3.798
277,2.938
278,3.59
279,3.099
280,4.897
281,3.869
282,3.314
283,2.352
284,3.513
285,2.801
286,2.277
287,4.011
288,2.456
289,4.052
290,2.796
291,2.073
292,3.353
293,4.532
294,3.11
295,4.4
296,2.893
297,5.935
298,5.344
299,3.391
300,2.758
301,4.002
302,2.542
303,2.097
304,4.278
305,3.768
306,3.272
307,4.738
308,4.491
309,3.134
310,3.972
311,4.386
312,3.492
313,2.339
314,3.764
315,4.366
316,2.044
317,3.158
318,3.778
319,3.861
320,2.237
321,3.504
322,2.475
323,3.872
324,3.1
325,3.8
326,3.489
327,2.998
328,3.632
329,3.281
330,4.562
331,2.111
332,3.297
333,2.362
334,1.44
335,2.796
336,3.81
337,3.723
338,4.024
339,3.567
340,2.77
341,3.415
342,2.475
343,3.219
344,3.022
345,2.304
346,2.567
347,1.911
348,3.713
349,2.665
350,2.822
351,2.764
352,2.44
353,2.626
354,4.091
355,2.613
356,2.331
357,2.371
358,3.181
359,3.584
360,2.883
361,2.984
362,2.831
363,3.782
364,2.729
365,4.102
366,2.588
367,3.215
368,2.567
369,2.893
370,2.333
371,3.408
372,3.753
373,1.566
374,1.796
375,2.657
376,3.347
377,2.095
378,2.21
379,1.279
380,2.964
381,1.188
382,1.459
383,0.78
384,2.909
385,1.476
386,0.6364
387,1.283
388,2.731
389,2.538
390,1.718
391,0.799
392,1.869
393,1.944
394,2.313
395,1.884
396,1.21
397,0.5685
398,2.573
399,2.333
400,2.463
401,0.04501
402,1.271
403,1.506
404,1.247
405,2.521
406,2.061
407,2.021
408,1.93
409,2.551
410,3.673
411,2.552
412,1.579
413,1.648
414,0.458
415,1.723
416,1.397
417,1.604
418,0.2474
419,1.131
420,0.02929
421,0.155
422,0.7081
423,0.4349
424,0.4998
425,1.066
426,0.6178
427,1.572
428,1.331
429,1.405
430,0.1737
431,1.078
432,0.9559
433,0.2091
434,2.652
435,0.2965
436,1.276
437,1.258
438,0.05644
439,0.3528
440,0.5652
441,0.6434
442,1.102
443,1.459
444,0.7145
445,1.204
446,0.8891
447,0.3638
448,0.7921
449,0.07609
450,0.8363
451,0.9153
452,0.297
453,0.0602
454,1.619
455,0.4379
456,0.07636
457,2.006
458,1.009
459,0.5355
460,0.9821
461,0.4729
462,0.1462
463,1.021
464,0.1817
465,0.6351
466,0.5025
467,1.053
468,0.6182
469,0.1123
470,0.4106
471,1.666
472,0.1421
473,0.8639
474,0.3041
475,0.2535
476,0.6594
477,0.3541
478,0.6725
479,0.2895
480,0.1868
481,0.3919
482,0.7786
483,1.261
484,0.09197
485,0.7747
486,0.3366
487,0.6017
488,0.7591
489,1.033
490,0.03351
491,0.2831
492,0.7958
493,0.6027
494,0.1193
495,0.4146
496,0.6216
497,1.088
498,0.01868
499,1.636
500,0.03399
501,0.2621
502,0.009326
503,0.0973
504,0.4047
505,0.03472
506,0.8748
507,0.2397
508,0.3045
509,0.1101
510,0.256
511,0.3736
512,0.3537
513,0.6218
514,0.05091
515,0.3793
516,0.6035
517,1.103
518,0.13
519,0.148
520,0.6965
521,0.3126
522,0.7734
523,1.011
524,1.165
525,0.2795
526,0.9506
527,0.5727
528,0.03411
529,0.6895
530,0.1558
531,0.8097
532,1.17
533,0.2259
534,1.173
535,0.4677
536,0.8952
537,0.3706
538,0.3098
539,0.3812
540,0.1409
541,0.3395
542,1.373
543,0.9209
544,0.4599
545,0.1428
546,1.071
547,0.642
548,0.2193
549,0.2987
550,0.7427
551,1.135
552,0.4706
553,1.367
554,0.2841
555,0.5735
556,0.543
557,0.06353
558,0.3076
559,0.7058
560,0.1568
561,0.7743
562,0.8563
563,0.2986
564,0.2048
565,0.1076
566,0.1695
567,0.332
568,0.2035
569,0.261
570,0.3523
571,0.3374
572,1.124
573,0.9897
574,0.01235
575,0.838
576,1.387
577,1.517
578,0.5926
579,1.095
580,1.322
581,1.166
582,0.08223
583,0.08138
584,1.329
585,1.192
586,2.022
587,1.393
588,1.216
589,0.2858
590,0.2229
591,0.1115
592,0.2271
593,0.2245
594,1.918
595,0.2149
596,0.07529
597,0.3907
598,0.003344
599,0.9148
600,0.5709
601,0.8251
602,0.4677
603,0.7764
604,1.247
605,1.021
606,0.2941
607,0.6344
608,0.0364
609,0.7676
610,1.496
611,1.36
612,0.1701
613,0.8231
614,0.1478
615,0.3524
616,0.2874
617,1.047
618,0.343
619,0.386
620,0.1874
621,0.3704
622,0.4697
623,0.3036
624,0.09467
625,0.396
626,0.3006
627,1.067
628,0.6236
629,0.438
630,1.038
631,0.5458
632,0.9084
633,0.0958
634,0.6205
635,0.7456
636,0.109
637,0.7334
638,0.03185
639,0.532
640,0.7618
641,0.6124
642,0.4332
643,0.3469
644,0.5473
645,0.821
646,0.9953
647,1.309
648,0.5957
649,0.07336
650,0.03751
651,0.1763
652,0.4601
653,0.4513
654,0.9237
655,0.1822
656,0.1375
657,0.1711
658,0.9854
659,0.889
660,1.395
661,0.4166
662,0.9683
663,1.081
664,0.07196
665,0.3973
666,0.7962
667,0.6554
668,0.05146
669,0.03726
670,0.4486
671,0.404
672,0.3057
673,0.1195
674,1.155
675,1.189
676,0.3135
677,1.218
678,0.9002
679,0.9919
680,0.01976
681,0.5682
682,0.454
683,1.074
684,0.8558
685,0.2775
686,1.668
687,0.164
688,0.1131
689,0.6858
690,0.3278
691,0.4091
692,0.3239
693,0.02306
694,1.309
695,0.1763
696,1.273
697,0.4315
698,0.2499
699,0.2415
700,0.9188
701,1.302
702,0.06382
703,0.7371
704,1.183
705,1.179
706,0.803
707,0.05306
708,0.9262
709,0.1804
710,0.1529
711,0.1107
712,0.04215
713,1.076
714,0.1094
715,0.01085
716,0.01392
717,0.006742
718,0.7001
719,0.1477
720,0.24
721,0.06882
722,0.573
723,0.03016
724,0.4272
725,0.6855
726,1.051
727,0.5727
728,0.217
729,0.1907
730,0.6051
731,0.1386
732,0.08332
733,0.8349
734,0.2279
735,1.341
736,0.2063
737,0.3112
738,0.03856
739,0.4588
740,0.7179
741,1.033
742,0.08654
743,0.572
744,0.01334
745,0.1061
746,0.1385
747,0.5487
748,0.1686
749,0.04972
750,0.5337
751,1.405
752,0.589
753,0.3746
754,0.4268
755,1.437
756,0.7501
757,0.7083
758,0.3668
759,1.87
760,0.2226
761,0.9816
762,0.3773
763,0.3661
764,0.6858
765,0.2466
766,0.8774
767,0.292
768,0.4857
769,0.1043
770,1.259
771,0.921
772,0.2935
773,0.4317
774,0.9472
775,0.06236
776,1.138
777,0.5613
778,0.5425
779,1.125
780,0.5297
781,0.1554
782,0.3911
783,0.1445
784,0.2732
785,0.07438
786,0.4622
787,2.286
788,0.003935
789,0.576
790,0.8922
791,0.5853
792,0.156
793,1.013
794,0.7706
795,0.08518
796,0.3033
797,0.2275
798,0.434
799,0.8139
800,0.05399
801,0.3676
802,0.5257
803,0.5772
804,0.4832
805,0.9312
806,0.5379
807,0.5285
808,1.096
809,0.6601
810,0.3504
811,0.4484
812,0.494
813,0.4338
814,0.8241
815,0.2961
816,0.1311
817,0.02158
818,0.9218
819,0.7824
820,0.1929
821,0.3534
822,0.9483
823,0.1602
824,0.3919
825,1.004
826,0.5159
