MDTU,|det-1|^2,1-Re(det),Im(det)
2380,0.99998,0.99999,-2.45468e-09
2381,0.99998,0.99999,-2.45475e-09
2382,0.999981,0.99999,-2.14809e-07
2383,0.999985,0.999992,-3.18178e-07
2384,0.99998,0.99999,5.34914e-07
2385,0.999983,0.999991,-8.01982e-08
2386,0.99998,0.99999,2.41111e-07
2387,0.99998,0.99999,-2.85701e-07
2388,0.999983,0.999992,8.70449e-08
2389,0.99998,0.99999,-1.10227e-07
2390,0.999979,0.999989,-1.05657e-07
2391,0.999979,0.999989,-1.05657e-07
2392,0.999981,0.999991,-1.41944e-07
2393,0.99998,0.99999,-4.08181e-07
2394,0.999978,0.999989,-1.59985e-07
2395,0.999978,0.999989,2.04892e-07
2396,0.999978,0.999989,2.04892e-07
2397,0.999981,0.999991,4.98107e-09
2398,0.999981,0.999991,4.98107e-09
2399,0.99998,0.99999,-5.16738e-08
2400,0.999983,0.999991,7.56241e-09
2401,0.999983,0.999991,7.56241e-09
2402,0.999981,0.99999,-3.60281e-07
2403,0.999981,0.99999,-3.60281e-07
2404,0.999982,0.999991,9.92869e-08
2405,0.999977,0.999988,4.15469e-07
2406,0.999981,0.99999,-5.59612e-08
2407,0.999981,0.99999,-5.59612e-08
2408,0.999981,0.99999,-5.59612e-08
2409,0.999977,0.999989,1.65333e-07
2410,0.999977,0.999989,1.65333e-07
2411,0.999982,0.999991,-4.77916e-08
2412,0.999982,0.999991,-4.77916e-08
2413,0.999983,0.999991,-5.65457e-08
2414,0.999983,0.999991,-5.65457e-08
2415,0.999983,0.999991,-5.65457e-08
2416,0.999981,0.99999,-2.33772e-08
2417,0.999983,0.999991,5.50324e-08
2418,0.999983,0.999991,5.50324e-08
2419,0.999983,0.999991,5.50324e-08
2420,0.999982,0.999991,3.76794e-07
2421,0.99998,0.99999,-7.14696e-07
2422,0.999985,0.999993,-6.26229e-08
2423,0.999985,0.999993,-1.75398e-07
2424,0.999985,0.999993,-1.75398e-07
2425,0.99998,0.99999,-5.22584e-07
2426,0.99998,0.99999,-4.09263e-07
2427,0.999982,0.999991,2.92947e-08
2428,0.999983,0.999992,-5.42564e-07
2429,0.999977,0.999988,-1.83572e-07
2430,0.999983,0.999991,-4.56969e-07
2431,0.999982,0.999991,-1.89375e-07
2432,0.999984,0.999992,-2.39649e-07
2433,0.999979,0.99999,-4.93844e-07
2434,0.999983,0.999991,2.39126e-07
2435,0.999983,0.999991,2.39126e-07
2436,0.999982,0.999991,-6.07461e-08
2437,0.999986,0.999993,7.5357e-09
2438,0.999983,0.999991,6.94546e-08
2439,0.999983,0.999991,6.94546e-08
2440,0.999983,0.999992,-2.36479e-07
2441,0.999983,0.999992,-2.36479e-07
2442,0.999983,0.999992,-3.31108e-07
2443,0.999984,0.999992,2.32719e-07
2444,0.999984,0.999992,2.32719e-07
2445,0.999984,0.999992,2.32719e-07
2446,0.999984,0.999992,2.32719e-07
2447,0.999984,0.999992,-3.77235e-07
2448,0.99998,0.99999,-5.59294e-07
2449,0.99998,0.99999,-5.59294e-07
2450,0.999981,0.999991,1.60326e-07
2451,0.999979,0.999989,2.27439e-08
2452,0.999982,0.999991,6.16045e-08
2453,0.999982,0.999991,6.16045e-08
2454,0.999982,0.999991,6.16045e-08
2455,0.999985,0.999992,-1.02664e-07
2456,0.999985,0.999992,-1.02664e-07
2457,0.999981,0.999991,2.59522e-07
2458,0.999978,0.999989,2.72323e-07
2459,0.999979,0.999989,5.55303e-08
2460,0.999978,0.999989,-5.07046e-07
2461,0.999975,0.999988,4.57652e-08
2462,0.999975,0.999988,4.57652e-08
2463,0.999984,0.999992,-6.73927e-08
2464,0.999984,0.999992,-6.73927e-08
2465,0.999981,0.99999,-4.64234e-09
2466,0.99998,0.99999,1.90038e-07
2467,0.999982,0.999991,-3.21688e-07
2468,0.999979,0.99999,8.56193e-08
2469,0.999979,0.99999,8.56193e-08
2470,0.999979,0.99999,8.56193e-08
2471,0.99998,0.99999,-6.63562e-07
2472,0.999981,0.99999,-7.4115e-08
2473,0.999979,0.999989,6.08106e-08
2474,0.999979,0.999989,2.52954e-07
2475,0.999982,0.999991,3.55558e-07
2476,0.99998,0.99999,-5.94164e-07
2477,0.999981,0.999991,-1.6407e-07
2478,0.999981,0.999991,-3.82879e-07
2479,0.99998,0.99999,-2.51201e-07
2480,0.999974,0.999987,1.79465e-07
2481,0.999982,0.999991,-2.75214e-09
2482,0.999982,0.999991,-2.75214e-09
2483,0.999978,0.999989,-1.84959e-08
2484,0.999982,0.999991,9.02871e-08
2485,0.999979,0.999989,2.6061e-07
2486,0.999983,0.999992,1.3228e-07
2487,0.999974,0.999987,-5.68459e-07
2488,0.999982,0.999991,4.5689e-07
2489,0.999982,0.999991,4.5689e-07
2490,0.999977,0.999989,-6.48683e-07
2491,0.999978,0.999989,-2.80539e-07
2492,0.999979,0.99999,-1.72247e-07
2493,0.999979,0.99999,-1.72247e-07
2494,0.999979,0.99999,-1.72247e-07
2495,0.999979,0.99999,-1.72247e-07
2496,0.999978,0.999989,4.91594e-07
2497,0.999984,0.999992,-1.31114e-07
2498,0.999984,0.999992,-1.31114e-07
2499,0.99998,0.99999,7.39594e-07
2500,0.999981,0.99999,8.57575e-07
2501,0.999978,0.999989,1.04756e-07
2502,0.999981,0.999991,-8.19118e-07
2503,0.999982,0.999991,-1.03793e-06
2504,0.999984,0.999992,3.9498e-07
2505,0.999984,0.999992,7.17062e-08
2506,0.999985,0.999992,-5.34567e-08
2507,0.999985,0.999992,-5.34567e-08
2508,0.999986,0.999993,2.34026e-09
2509,0.999985,0.999993,-7.70595e-08
2510,0.99998,0.99999,-4.00782e-08
2511,0.99998,0.99999,5.19836e-08
2512,0.999986,0.999993,-3.17995e-07
2513,0.999986,0.999993,-3.17995e-07
2514,0.999981,0.99999,-5.16404e-08
2515,0.999977,0.999989,7.96414e-08
2516,0.999982,0.999991,-3.38636e-07
2517,0.999985,0.999992,2.72499e-07
2518,0.999983,0.999992,-4.27025e-07
2519,0.999983,0.999992,-4.27025e-07
2520,0.99998,0.99999,-4.4734e-07
2521,0.99998,0.99999,-4.4734e-07
2522,0.999981,0.99999,-8.35835e-08
2523,0.999983,0.999992,1.61882e-07
2524,0.99998,0.99999,-4.12883e-07
2525,0.999978,0.999989,2.47329e-07
2526,0.999983,0.999991,2.46996e-07
2527,0.999983,0.999991,2.46996e-07
2528,0.999979,0.99999,1.7003e-07
2529,0.999983,0.999992,1.45679e-07
2530,0.99998,0.99999,8.46997e-08
2531,0.99998,0.99999,8.46998e-08
2532,0.999982,0.999991,-9.183e-07
2533,0.999982,0.999991,-2.37931e-07
2534,0.999974,0.999987,-7.3922e-07
2535,0.99998,0.99999,-3.61997e-07
2536,0.99998,0.99999,6.02996e-07
2537,0.999978,0.999989,3.13747e-07
2538,0.999981,0.999991,2.79524e-07
2539,0.999981,0.99999,5.13869e-07
2540,0.999984,0.999992,-5.30174e-07
2541,0.999984,0.999992,-5.30174e-07
2542,0.999984,0.999992,-3.78814e-08
2543,0.999981,0.999991,-2.40609e-07
2544,0.999979,0.999989,1.63919e-07
2545,0.999982,0.999991,-2.81001e-07
2546,0.999982,0.999991,-2.81001e-07
2547,0.999982,0.999991,-2.81001e-07
2548,0.999982,0.999991,-2.81001e-07
2549,0.99998,0.99999,1.05975e-07
2550,0.999977,0.999989,2.68415e-07
2551,0.999981,0.999991,-2.3983e-07
2552,0.999981,0.999991,-2.3983e-07
2553,0.999983,0.999992,2.98341e-08
2554,0.999978,0.999989,5.1428e-07
2555,0.999984,0.999992,2.78148e-07
2556,0.999984,0.999992,2.78148e-07
2557,0.999977,0.999988,-3.99944e-07
2558,0.999977,0.999988,-3.99944e-07
2559,0.999977,0.999988,-3.99944e-07
2560,0.999981,0.99999,2.29905e-07
2561,0.999977,0.999989,3.62511e-07
2562,0.999982,0.999991,2.00994e-07
2563,0.999979,0.99999,-3.96305e-07
2564,0.999982,0.999991,5.95776e-08
2565,0.999979,0.999989,-1.73481e-08
2566,0.999984,0.999992,2.37611e-07
2567,0.999981,0.99999,-1.99442e-08
2568,0.999981,0.99999,-1.99442e-08
2569,0.999981,0.99999,-1.99442e-08
2570,0.999981,0.99999,3.7137e-07
2571,0.999981,0.99999,3.7137e-07
2572,0.999981,0.999991,-5.92999e-08
2573,0.999981,0.999991,-5.92999e-08
2574,0.999981,0.999991,-1.66916e-07
2575,0.999979,0.999989,-9.87382e-08
2576,0.99998,0.99999,-3.23591e-07
2577,0.999978,0.999989,5.80572e-07
2578,0.999978,0.999989,4.04925e-07
2579,0.999978,0.999989,4.04925e-07
2580,0.999981,0.99999,8.99571e-07
2581,0.999981,0.99999,8.99571e-07
2582,0.999983,0.999991,-7.30819e-07
2583,0.999984,0.999992,-3.80224e-07
2584,0.999984,0.999992,-3.80224e-07
2585,0.99998,0.99999,1.89327e-08
2586,0.999982,0.999991,-1.45064e-07
2587,0.999978,0.999989,8.38245e-08
2588,0.999983,0.999992,6.05269e-08
2589,0.999983,0.999992,6.05269e-08
2590,0.999983,0.999992,4.729e-07
2591,0.999981,0.999991,4.67438e-07
2592,0.99998,0.99999,2.96764e-07
2593,0.999978,0.999989,7.23416e-07
2594,0.999978,0.999989,7.23416e-07
2595,0.999984,0.999992,-1.06248e-07
2596,0.999981,0.99999,3.81188e-07
2597,0.99998,0.99999,1.97292e-07
2598,0.99998,0.99999,6.40762e-07
2599,0.99998,0.99999,6.40762e-07
2600,0.999974,0.999987,-7.01784e-07
2601,0.999975,0.999987,4.79418e-07
2602,0.99998,0.99999,3.78198e-07
2603,0.99998,0.99999,6.65652e-07
2604,0.999979,0.999989,3.65926e-08
2605,0.999983,0.999992,4.50626e-07
2606,0.999983,0.999992,4.50626e-07
2607,0.99998,0.99999,-1.20596e-07
2608,0.99998,0.99999,-1.20596e-07
2609,0.99998,0.99999,-1.20596e-07
2610,0.999983,0.999991,3.26872e-07
2611,0.999981,0.99999,-2.78552e-07
2612,0.999981,0.999991,5.23077e-07
2613,0.999981,0.999991,-1.39828e-07
2614,0.999979,0.999989,5.61301e-07
2615,0.999978,0.999989,1.17575e-07
2616,0.99998,0.99999,-6.13194e-08
2617,0.999983,0.999991,4.12915e-07
2618,0.999981,0.999991,3.75428e-07
2619,0.999981,0.999991,3.75428e-07
2620,0.999978,0.999989,1.32341e-08
2621,0.999977,0.999988,2.24344e-07
2622,0.999977,0.999988,2.24344e-07
2623,0.99998,0.99999,-3.45873e-07
2624,0.99998,0.99999,-3.45873e-07
2625,0.99998,0.99999,1.19115e-07
2626,0.999975,0.999987,-1.4343e-07
2627,0.999975,0.999987,-1.4343e-07
2628,0.999978,0.999989,1.75185e-07
2629,0.999978,0.999989,1.75185e-07
