t,e^(-dS)
414,0.0138427
415,0.002459
416,0.0144364
417,0.0188734
418,0.00373129
419,0.00295872
420,0.014422
421,0.00188845
422,0.00793875
423,0.00199323
424,0.00426207
425,0.00939103
426,0.0199805
427,0.00165162
428,0.00480067
429,0.00364645
430,0.0297776
431,0.00986265
432,0.00399385
433,0.00320193
434,0.00115807
435,0.000600949
436,0.00336274
437,0.00343067
438,0.00406639
439,0.00210593
440,0.00320835
441,0.00462629
442,0.00989229
443,0.0186856
444,0.023921
445,0.00273397
446,0.0130496
447,0.00208081
448,0.00960953
449,0.00433081
450,0.00104264
451,0.0163586
452,0.00160762
453,0.0091775
454,0.0154832
455,0.00200723
456,0.00224063
457,0.00201527
458,0.00534817
459,0.00924197
460,0.00926974
461,0.00273944
462,0.00175024
463,0.00111936
464,0.0011216
465,0.0057417
466,0.00381429
467,0.00148402
468,0.0184997
469,0.0188923
470,0.0131019
471,0.00330936
472,0.00538036
473,0.00446717
474,0.000934966
475,0.0042706
476,0.000600349
477,0.0101529
478,0.000877881
479,0.000443417
480,0.00245654
481,0.00108194
482,0.0009472
483,0.00409495
484,0.00022941
485,0.000584356
486,0.000516208
487,0.0012408
488,0.00307946
489,0.00335602
490,0.00889737
491,0.0135821
492,0.00107439
493,0.00812345
494,0.00364281
495,0.000232179
496,0.00174849
497,0.000164928
498,0.000507
499,0.00459402
500,0.0108456
501,0.021884
502,0.0135144
503,0.00537498
504,0.00224287
505,0.012804
506,0.00460782
507,0.00436124
508,0.00837922
509,0.00716176
510,0.00412784
511,0.00127476
512,0.00509753
513,0.00579361
514,0.000511583
515,0.000564822
516,0.0103063
517,0.00637099
518,0.00578782
519,0.00578203
520,0.00166156
521,0.0267559
522,0.0444229
523,0.00137817
524,0.00339653
525,0.00484892
526,0.00456654
527,0.018667
528,0.0191395
529,0.00638375
530,0.0163914
531,0.0125254
532,0.0203841
533,0.000607596
534,0.00433081
535,0.0063076
536,0.003514
537,0.0223484
538,0.00224736
539,0.00355642
540,0.00231349
541,0.0193706
542,0.00460782
543,0.0172663
544,0.0147576
545,0.0337424
546,0.00752895
547,0.0324842
548,0.0104099
549,0.00433948
550,0.0178099
551,0.002459
552,0.00553314
553,0.00199323
554,0.00428772
555,0.000305061
556,0.0162445
557,0.000728881
558,0.00598799
559,0.00316058
560,0.00362102
561,0.0132866
562,0.00312913
563,0.00334931
564,0.0134067
565,0.00369786
566,0.0169244
567,0.000515692
568,0.000374095
569,0.00856561
570,0.00367942
571,0.00528967
572,0.0048781
573,0.000597354
574,0.00354932
575,0.0233304
576,0.00282287
577,0.00346168
578,0.00393832
579,0.00451658
580,0.0079626
581,0.0266491
582,0.000988818
583,0.00369417
584,0.00746896
585,0.000992781
586,0.0141364
587,0.002459
588,0.00566188
589,0.00101791
590,0.00187153
591,0.0303184
592,0.00438748
593,0.00770412
594,0.00116621
595,0.00195767
596,0.00328628
597,0.00645436
598,0.000363766
599,0.00015862
600,0.00286554
601,0.00548356
602,0.00358141
603,0.00224511
604,0.0047529
605,0.0161635
606,0.0530246
607,0.0149956
608,0.000640027
609,0.0030949
610,0.00801853
611,0.00229965
612,0.000334458
613,0.000279083
614,0.00289723
615,0.00355998
616,0.000382417
617,0.0206302
618,0.00793875
619,0.000749578
620,0.00019647
621,0.0016833
622,0.000556413
623,0.00137541
624,0.00409495
625,0.000234748
626,0.00263203
627,0.0051953
628,0.0105356
629,0.000546487
630,0.0167392
631,0.0186297
632,0.00356354
633,0.00100779
634,0.009457
635,0.000938714
636,0.00293808
637,0.0074317
638,0.0102037
639,0.00923273
640,0.00082593
641,0.0052791
642,0.00447164
643,0.0170603
644,0.00177847
645,0.00143155
646,0.00135901
647,0.000569359
648,0.00497167
649,0.000906427
650,0.00173283
651,0.0549133
652,0.00330936
653,0.00827927
654,0.00197142
655,0.00284555
656,0.000264148
657,0.0132866
658,0.0180069
659,0.00134953
660,0.00171902
661,0.00160923
662,0.000674189
663,0.00628242
664,0.00262152
665,0.00287415
666,0.0277367
667,0.00396203
668,0.0327124
669,0.000639387
670,0.00238394
671,0.00430921
672,0.0593087
673,0.00419442
674,0.00842965
675,0.00213562
676,0.00137817
677,0.00348949
678,0.00120172
679,0.00102917
680,0.00983311
681,0.00344098
682,0.00578203
683,0.0023344
684,0.00218749
685,0.00356354
686,0.00186219
687,0.00110049
688,0.00729913
689,0.00362102
690,0.00436997
691,0.000519835
692,0.00244185
693,0.000606382
694,0.000850233
695,0.0102549
696,0.00227449
697,0.00181985
698,0.00259544
699,0.00334262
700,0.000348107
701,0.00340674
702,0.0186856
703,0.00349647
704,0.000746586
705,0.00103952
706,0.0016254
707,0.0199007
708,0.00545076
709,0.0165727
710,0.00182897
711,0.000915537
712,0.000296637
713,0.000312158
714,0.000552532
715,0.00415269
716,0.000372975
717,0.00216573
718,0.00465879
719,0.00757426
720,0.0026638
721,0.00369048
722,0.00209333
723,0.010504
724,0.00899578
725,0.00530026
726,0.0144076
727,0.000569359
728,0.00210382
729,0.00549454
730,0.000241897
731,0.00437434
732,0.00132016
733,0.00118858
734,0.00553867
735,0.00632023
736,0.00109063
737,0.000676215
738,0.0108781
739,0.00202943
740,0.00940983
741,0.00500659
742,0.000324898
743,0.000499951
744,0.0144364
745,0.00248869
746,0.00102404
747,0.000225543
748,0.00059082
749,0.000518796
750,0.044735
751,0.00279758
752,0.000367789
753,0.00369048
754,0.0017767
755,0.00193045
756,0.00042433
757,0.0251726
758,0.000497955
759,0.00109829
760,0.00440507
761,0.00256448
762,0.0114702
763,0.0165396
764,0.00169005
765,0.00294985
766,0.000215188
767,0.00116971
768,0.00112609
769,0.001745
770,0.00347904
771,0.00159641
772,0.00158052
773,0.00469151
774,0.00351049
775,0.00237205
776,0.00118858
777,0.00581102
778,0.000432902
779,0.00165162
780,5.66851e-05
781,0.00131227
782,0.0023461
783,0.00172591
784,0.00177137
785,0.00200522
786,0.00172764
787,0.000990798
788,0.00500659
789,0.0021614
790,0.000768554
791,0.00267984
792,0.0173528
793,0.00114884
794,0.00199323
795,0.00173283
796,0.00243941
797,0.00986265
798,0.0101936
799,0.00199124
800,0.000353368
801,0.00359936
802,0.0017363
803,0.00268252
804,0.0042706
805,0.00179814
806,0.0010584
807,0.000964404
808,0.00101588
809,0.0156545
810,0.00213348
811,0.00130311
812,0.0143357
813,0.0101936
814,0.00201729
815,0.00156636
816,0.000798321
817,0.00101385
818,0.000921047
819,0.000220856
820,0.000709465
821,0.00489765
822,0.016277
823,0.000382034
824,0.00173977
825,0.000297529
826,0.0014173
827,0.00313853
828,0.000602152
829,0.00115345
830,0.00820509
831,0.000508015
832,0.00206423
833,0.00480067
834,0.0237541
835,0.0119383
836,0.00171387
837,0.00325683
838,0.00312288
839,0.00219626
840,0.000370373
841,0.000534061
842,0.00384109
843,0.00212496
844,0.0123636
845,0.00121016
846,0.00665092
847,0.0110536
848,0.00147514
849,0.000511072
850,0.00771954
851,0.0036174
852,0.000739897
853,0.000421791
854,0.00106052
855,0.00166322
856,0.000499452
857,0.000351606
858,0.00434382
859,0.000211772
860,0.00205393
861,0.021884
862,0.00345822
863,0.024502
864,0.00111266
865,0.00634556
866,0.00301245
867,0.00134683
868,0.000335463
869,0.000154704
870,0.000967302
871,0.00210803
872,0.00150494
873,0.000223746
874,0.00121016
875,0.000406877
876,0.00170874
877,0.00438748
878,0.00125327
879,0.00327316
880,0.00948541
881,0.000243352
882,0.00521091
883,0.00163029
884,0.00112272
885,0.0474537
886,0.00236731
887,0.00058028
888,0.00175726
889,0.00485377
890,0.00562801
891,0.0207543
892,0.0120102
893,0.0117724
894,0.00193239
895,0.00235786
896,0.00569595
897,0.000493988
898,0.0015821
899,0.00615802
900,0.00191507
901,0.0023158
902,0.00793875
903,0.00329286
904,0.00292928
905,0.00637099
906,0.00743914
907,0.000437252
908,0.00301849
909,0.00206836
910,0.000723073
911,0.00112948
912,0.00141306
913,0.0106627
914,0.00518492
915,0.000323601
916,0.00330275
917,0.000791168
918,0.000934966
919,0.016099
920,0.000724521
921,0.000371486
922,0.000835066
923,0.00566754
924,0.00103123
925,0.00086222
926,0.0109327
927,0.00389135
928,0.00108302
929,0.00234376
930,0.00163192
931,0.00344098
932,0.00193625
933,0.00702697
934,0.00074808
935,0.00196748
936,0.0115739
937,0.00866035
938,0.000252778
939,0.00154768
940,0.00452562
941,0.00022397
942,0.010214
943,0.00232044
944,0.00265582
945,0.00157107
946,0.00959033
947,0.00363917
948,0.00156167
949,0.00165658
950,0.0153445
951,0.00118976
952,0.00426207
953,0.00531618
954,0.0241855
955,0.000795929
956,0.00573023
957,0.0216879
958,0.0104621
959,0.00201326
960,0.00567321
961,0.000346025
962,0.00543443
963,0.000275203
964,0.00419023
965,0.00798652
966,0.00837085
967,0.00100577
968,0.000248268
969,0.0051953
970,0.0107376
971,0.00124951
972,0.000951948
973,0.0265427
974,0.00464019
975,0.00225411
976,0.0599047
977,0.00454376
978,0.0202217
979,0.00105523
980,0.00273397
981,0.00220727
982,0.00107332
983,0.00891518
984,0.0109436
985,0.0138012
986,0.00209752
987,0.000310291
988,0.00862578
989,0.00139481
990,0.000433335
991,0.000519835
992,0.00204778
993,0.00181259
994,0.00240549
995,0.00229276
996,0.0102344
997,0.00432648
998,0.0231676
999,0.00164667
1000,0.00391868
