T,G,F
1,0.0362,0.04278
2,0.02348,0.0325
3,0.02085,0.03047
4,0.02036,0.03005
5,0.02031,0.02992
6,0.0204,0.02992
7,0.02031,0.02991
8,0.02042,0.02991
9,0.02033,0.02989
10,0.02033,0.02988
11,0.02042,0.02989
12,0.02045,0.02977
13,0.0205,0.02978
14,0.02052,0.02972
15,0.02059,0.02963
16,0.02055,0.02964
17,0.02066,0.02963
18,0.02053,0.02961
19,0.02053,0.02961
20,0.02056,0.02966
21,0.02059,0.02962
22,0.02059,0.02961
23,0.02068,0.02954
24,0.02063,0.02962
25,0.02063,0.02951
26,0.0207,0.02954
27,0.02075,0.02947
28,0.02068,0.02945
29,0.02066,0.02949
30,0.02076,0.02947
31,0.02074,0.02939
32,0.02073,0.02939
33,0.02082,0.02938
34,0.02079,0.02941
35,0.02084,0.02944
36,0.02077,0.02941
37,0.02084,0.02934
38,0.02075,0.0293
39,0.02082,0.02931
40,0.02079,0.02933
41,0.02083,0.02929
42,0.02076,0.02933
43,0.02084,0.02936
44,0.02084,0.02932
45,0.02085,0.02936
46,0.02085,0.02932
47,0.0209,0.02931
48,0.02096,0.02927
49,0.02096,0.02915
50,0.02103,0.02917
51,0.02103,0.02916
52,0.02109,0.02898
53,0.02106,0.02903
54,0.02121,0.02899
55,0.02116,0.02895
56,0.02111,0.02896
57,0.02118,0.02891
58,0.0212,0.02892
59,0.02125,0.0289
60,0.0212,0.02894
61,0.02124,0.02896
62,0.02123,0.02895
63,0.02124,0.02902
64,0.02128,0.02899
65,0.02119,0.02894
66,0.02134,0.02885
67,0.02128,0.02885
68,0.02126,0.02877
69,0.02132,0.02884
70,0.02134,0.02882
71,0.02132,0.0288
72,0.02127,0.02877
73,0.02136,0.02876
74,0.02133,0.02872
75,0.02141,0.0287
76,0.02146,0.02868
77,0.02148,0.02875
78,0.02138,0.02864
79,0.02141,0.02867
80,0.02143,0.02869
81,0.02149,0.02864
82,0.0215,0.02863
83,0.02159,0.02861
84,0.02154,0.02851
85,0.02156,0.02857
86,0.02159,0.02857
87,0.02167,0.02855
88,0.02164,0.02852
89,0.02174,0.02848
90,0.02178,0.02852
91,0.02169,0.02852
92,0.02182,0.02842
93,0.02178,0.02838
94,0.02182,0.0284
95,0.02197,0.02837
96,0.02198,0.02832
97,0.02197,0.02841
98,0.0221,0.02834
99,0.02207,0.02833
100,0.02209,0.02837
101,0.02213,0.02835
102,0.02224,0.02837
103,0.02232,0.02832
104,0.02233,0.02835
105,0.02245,0.02843
106,0.02254,0.02842
107,0.02265,0.02859
108,0.02283,0.02862
109,0.02306,0.02883
110,0.02343,0.02893
111,0.02392,0.02899
112,0.02436,0.02895
113,0.02506,0.02879
114,0.02496,0.02881
115,0.02515,0.02883
116,0.02501,0.02876
117,0.02567,0.02852
118,0.02571,0.02853
119,0.02563,0.0285
120,0.02564,0.0285
121,0.02553,0.02848
122,0.02569,0.02848
123,0.02564,0.02848
124,0.0256,0.0285
125,0.0256,0.02846
126,0.02563,0.02847
127,0.0257,0.02859
128,0.02562,0.02852
129,0.02566,0.02851
130,0.02559,0.02852
131,0.02558,0.02852
132,0.02564,0.02853
133,0.02567,0.02852
134,0.02568,0.02855
135,0.02574,0.02854
136,0.02568,0.02854
137,0.02572,0.02851
138,0.02558,0.02848
139,0.02568,0.02846
140,0.02571,0.02856
141,0.02565,0.02849
142,0.02567,0.02849
143,0.02571,0.02852
144,0.02553,0.02848
145,0.02575,0.02849
146,0.02562,0.02854
147,0.0257,0.02846
148,0.02564,0.0285
149,0.0256,0.02846
150,0.02566,0.02852
151,0.02557,0.0285
152,0.0257,0.02852
153,0.02568,0.02849
154,0.02563,0.02855
155,0.02565,0.02854
156,0.02564,0.02853
157,0.02568,0.02856
158,0.02553,0.02849
159,0.0256,0.02845
160,0.02555,0.02851
161,0.02565,0.02854
162,0.02565,0.02846
163,0.02574,0.02851
164,0.02566,0.02847
165,0.02558,0.02847
166,0.02561,0.02845
167,0.02564,0.02849
168,0.02558,0.02849
169,0.02563,0.0285
170,0.02569,0.02851
171,0.02548,0.02848
172,0.02557,0.0285
173,0.02555,0.02852
174,0.02556,0.02853
175,0.02556,0.02851
176,0.02566,0.0285
177,0.02568,0.02857
178,0.02561,0.02846
179,0.02565,0.02847
180,0.0256,0.02847
181,0.02567,0.02854
182,0.02562,0.02853
183,0.02563,0.02849
184,0.02563,0.02851
185,0.02567,0.02856
186,0.02555,0.02848
187,0.02562,0.02852
188,0.02572,0.02852
189,0.02567,0.02851
190,0.02569,0.02851
191,0.02558,0.02847
192,0.02549,0.02848
193,0.02563,0.02853
