1,0.995504,-0.742727,-0.662861
2,1.02066,-0.79543,-0.63956
3,1.02066,-0.79543,-0.63956
4,1.11332,-0.838345,-0.732577
5,1.11003,-0.893599,-0.658512
6,1.1194,-0.870516,-0.703746
7,1.15269,-0.920477,-0.693837
8,1.15269,-0.920477,-0.693837
9,1.15075,-0.92005,-0.69118
10,1.2243,-0.945485,-0.7778
11,1.31247,-1.06164,-0.771678
12,1.29529,-1.06525,-0.736888
13,1.29529,-1.06525,-0.736888
14,1.29382,-1.04327,-0.765223
15,1.35376,-1.08077,-0.815225
16,1.35376,-1.08077,-0.815225
17,1.3867,-1.11754,-0.820995
18,1.46099,-1.19758,-0.836834
19,1.46919,-1.1146,-0.957176
20,1.46919,-1.1146,-0.957176
21,1.4563,-1.14003,-0.90617
22,1.43929,-1.15438,-0.859626
23,1.40268,-1.05281,-0.926872
24,1.38655,-1.04394,-0.912524
25,1.43207,-1.08795,-0.931224
26,1.47557,-1.13428,-0.943775
27,1.35424,-0.963006,-0.952152
28,1.40988,-1.11646,-0.860979
29,1.52529,-1.11421,-1.04166
30,1.5487,-1.11763,-1.07208
31,1.53227,-1.11899,-1.04676
32,1.53227,-1.11899,-1.04676
33,1.50398,-1.10702,-1.01806
34,1.50398,-1.10702,-1.01806
35,1.57571,-1.12985,-1.09832
36,1.55541,-1.10557,-1.09409
37,1.55541,-1.10557,-1.09409
38,1.55541,-1.10557,-1.09409
39,1.60541,-1.12389,-1.14638
40,1.67581,-1.22543,-1.14309
41,1.74496,-1.33403,-1.12484
42,1.74496,-1.33403,-1.12484
43,1.75567,-1.40784,-1.04898
44,1.89118,-1.46849,-1.19168
45,1.83663,-1.47202,-1.09834
46,1.82559,-1.43376,-1.1301
47,1.95102,-1.49008,-1.25943
48,1.91073,-1.42359,-1.27448
49,1.91073,-1.42359,-1.27448
50,1.93732,-1.5149,-1.20759
51,1.94434,-1.46091,-1.28304
52,1.97277,-1.50474,-1.27576
53,2.04114,-1.57618,-1.29689
54,2.09087,-1.60329,-1.34209
55,2.05987,-1.53222,-1.37671
56,2.08172,-1.62499,-1.30114
57,2.07408,-1.56391,-1.36235
58,2.07408,-1.56391,-1.36235
59,2.07408,-1.56391,-1.36235
60,2.07408,-1.56391,-1.36235
61,2.10996,-1.60199,-1.37316
62,2.10996,-1.60199,-1.37316
63,2.10996,-1.60199,-1.37316
64,2.10996,-1.60199,-1.37316
65,2.18949,-1.64454,-1.44546
66,2.19716,-1.59799,-1.50796
67,2.18358,-1.63774,-1.44425
68,2.25812,-1.75378,-1.42246
69,2.19857,-1.58024,-1.52858
70,2.19857,-1.58024,-1.52858
71,2.26125,-1.57262,-1.62484
72,2.11735,-1.52638,-1.46742
73,2.13402,-1.49661,-1.52125
74,2.12656,-1.48586,-1.52134
75,2.04931,-1.31549,-1.57136
76,1.98989,-1.33038,-1.47979
77,2.02968,-1.43604,-1.43436
78,2.02968,-1.43604,-1.43436
79,2.03307,-1.48483,-1.38876
80,2.09898,-1.58164,-1.37991
81,2.13207,-1.62983,-1.37455
82,2.13417,-1.5936,-1.41955
83,2.13417,-1.5936,-1.41955
84,2.13417,-1.5936,-1.41955
85,2.13417,-1.5936,-1.41955
86,2.09687,-1.58825,-1.36906
87,2.2383,-1.73265,-1.417
88,2.16856,-1.69019,-1.35865
89,2.23291,-1.66613,-1.48657
90,2.11389,-1.6546,-1.31561
91,2.22977,-1.77006,-1.35601
92,2.13166,-1.66341,-1.33305
93,2.20287,-1.68839,-1.41491
94,2.10355,-1.6005,-1.36504
95,2.01163,-1.5584,-1.27202
96,1.97475,-1.39681,-1.39591
97,2.037,-1.51054,-1.36661
98,2.037,-1.51054,-1.36661
99,2.0503,-1.47666,-1.42239
100,2.0503,-1.47666,-1.42239
101,2.066,-1.55674,-1.35827
102,2.08132,-1.5157,-1.42637
103,2.08132,-1.5157,-1.42637
104,2.14007,-1.57921,-1.44429
105,2.10694,-1.55293,-1.42395
106,2.0979,-1.57036,-1.3911
107,2.11368,-1.64531,-1.32688
108,2.11368,-1.64531,-1.32688
109,2.07181,-1.62664,-1.28314
110,2.07181,-1.62664,-1.28314
111,2.15616,-1.71274,-1.3098
112,2.08075,-1.58374,-1.34955
113,2.17897,-1.54371,-1.53781
114,2.1786,-1.61144,-1.46614
115,2.0771,-1.53231,-1.40227
116,1.99882,-1.42016,-1.40656
117,2.12145,-1.50208,-1.49811
118,2.12145,-1.50208,-1.49811
119,2.05079,-1.48126,-1.41831
120,2.12374,-1.52666,-1.47634
121,2.20862,-1.66778,-1.44794
122,2.27815,-1.62694,-1.59469
123,2.35976,-1.63954,-1.69718
124,2.38416,-1.55276,-1.80919
125,2.38416,-1.55276,-1.80919
126,2.38416,-1.55276,-1.80919
127,2.3904,-1.54808,-1.82139
128,2.47447,-1.64755,-1.84624
129,2.44997,-1.63415,-1.82535
130,2.40847,-1.59367,-1.8058
131,2.37849,-1.50586,-1.84109
132,2.40346,-1.57583,-1.81478
133,2.45632,-1.61271,-1.85275
134,2.45752,-1.62122,-1.8469
135,2.57979,-1.64407,-1.98805
136,2.51534,-1.66506,-1.88534
137,2.44638,-1.60838,-1.84334
138,2.36622,-1.4517,-1.86858
139,2.51191,-1.66159,-1.88384
140,2.35911,-1.38645,-1.9087
141,2.5017,-1.46938,-2.02471
142,2.47433,-1.39555,-2.04323
143,2.49654,-1.40729,-2.0621
144,2.49654,-1.40729,-2.0621
145,2.49654,-1.40729,-2.0621
146,2.51046,-1.41205,-2.0757
147,2.55112,-1.4282,-2.11388
148,2.54339,-1.34169,-2.16072
149,2.6438,-1.45821,-2.20529
150,2.59173,-1.43316,-2.15943
151,2.62427,-1.42535,-2.20345
152,2.45236,-1.10105,-2.19129
153,2.52259,-1.24812,-2.19218
154,2.5142,-1.2853,-2.16084
155,2.33946,-1.16393,-2.02937
156,2.42386,-1.21901,-2.09503
157,2.28517,-1.19851,-1.94565
158,2.28517,-1.19851,-1.94565
159,2.39234,-1.29917,-2.00884
160,2.37197,-1.44671,-1.8797
161,2.33369,-1.38456,-1.87859
162,2.41589,-1.53982,-1.86157
163,2.4069,-1.48985,-1.89037
164,2.41707,-1.58746,-1.82269
165,2.30488,-1.46026,-1.78329
166,2.30488,-1.46026,-1.78329
167,2.39281,-1.59641,-1.78241
168,2.39281,-1.59641,-1.78241
169,2.33317,-1.36006,-1.89576
170,2.45565,-1.44481,-1.98564
171,2.46387,-1.39935,-2.02793
172,2.49975,-1.38223,-2.08284
173,2.52597,-1.43148,-2.0812
174,2.59356,-1.43981,-2.1572
