MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
10,	1.52713,-0.000579327,1.40172,-0.125411
20,	1.53285,-0.00444306,1.59989,0.0670435
30,	1.53091,-0.00448723,1.48374,-0.0471732
40,	1.54649,-0.00492626,1.48839,-0.0581031
50,	1.54229,0.00504271,1.5483,0.00601225
60,	1.54359,-0.00264105,1.43901,-0.104588
70,	1.53571,0.00823909,1.31152,-0.224188
80,	1.54231,-0.00443944,1.3698,-0.172514
90,	1.54671,-0.00328442,1.63929,0.0925725
100,	1.54104,-0.00353027,1.44816,-0.0928839
110,	1.52841,-0.0023335,1.5713,0.042884
120,	1.53549,-0.00628228,1.37136,-0.164137
130,	1.52513,0.00946475,1.49767,-0.0274603
140,	1.54353,-0.00255112,1.40061,-0.142917
150,	1.52801,0.000109543,1.56921,0.0411912
160,	1.53418,-0.00173221,1.37165,-0.162529
170,	1.53523,-0.00123163,1.44785,-0.0873739
180,	1.53763,0.00841494,1.53146,-0.00617479
190,	1.539,0.00297173,1.34022,-0.198778
200,	1.51982,-0.00292941,1.56114,0.0413164
210,	1.54686,0.00637858,1.4822,-0.0646639
220,	1.5449,0.00579789,1.36609,-0.178808
230,	1.53995,0.00570686,1.46007,-0.0798828
240,	1.5281,-0.00567907,1.4966,-0.0315017
250,	1.53784,-0.016007,1.43445,-0.103387
260,	1.53197,-0.00159097,1.45568,-0.0762884
270,	1.53368,0.00152782,1.33146,-0.202213
280,	1.52496,-0.00416421,1.48186,-0.0430982
290,	1.54038,-0.00294279,1.42771,-0.112666
300,	1.53317,-0.00299887,1.49799,-0.0351784
310,	1.52876,-0.00119879,1.49462,-0.0341347
320,	1.53277,-0.0051744,1.60131,0.0685402
330,	1.52177,0.00150161,1.62214,0.100373
340,	1.53731,-0.000626128,1.55142,0.0141068
350,	1.53309,-0.00368781,1.49258,-0.0405076
360,	1.54018,-0.00167065,1.45025,-0.0899319
370,	1.52995,-0.00107241,1.35074,-0.179208
380,	1.54046,-0.00640363,1.57375,0.0332834
390,	1.52672,0.00146466,1.55062,0.0239024
400,	1.53371,0.00656661,1.48635,-0.0473554
410,	1.54013,-0.00199558,1.5164,-0.0237297
420,	1.53924,0.00268835,1.64113,0.101887
430,	1.5413,0.00724044,1.45723,-0.0840722
440,	1.53461,0.00547019,1.51975,-0.0148649
450,	1.53946,0.00443017,1.37066,-0.1688
460,	1.53929,-0.0011715,1.45025,-0.0890385
470,	1.53556,0.00240051,1.50444,-0.0311256
480,	1.52273,0.00164074,1.49088,-0.0318468
490,	1.53891,0.00649595,1.4727,-0.0662172
500,	1.53915,-0.00425445,1.55291,0.0137516
510,	1.53462,0.0103769,1.4684,-0.0662231
520,	1.5389,0.0133332,1.38415,-0.154747
530,	1.531,0.00904399,1.56307,0.0320724
540,	1.53405,0.000693588,1.52684,-0.00720336
550,	1.53832,-0.0012963,1.48084,-0.0574733
560,	1.52961,-0.00252478,1.57356,0.0439511
570,	1.53389,-0.00299815,1.46767,-0.0662266
580,	1.53989,0.00426938,1.42146,-0.118432
590,	1.53157,0.00375245,1.44206,-0.0895081
600,	1.53599,-0.00133651,1.59365,0.0576614
610,	1.52439,0.0066567,1.47405,-0.050336
620,	1.53034,0.000573579,1.44638,-0.0839605
630,	1.54045,-0.00657315,1.44222,-0.0982215
640,	1.54145,0.00106852,1.5436,0.00215364
650,	1.53437,0.00309538,1.42674,-0.107631
660,	1.52677,0.00788293,1.52716,0.000392542
670,	1.53828,-0.00202326,1.51749,-0.0207883
680,	1.54677,-0.00428242,1.4608,-0.0859705
690,	1.52108,0.00208946,1.48589,-0.0351833
