t,deltaS
1,-7.21
2,-1.133
3,-1.196
4,-0.6519
5,-0.4989
6,-0.4354
7,-0.01616
8,-0.05837
9,0.07424
10,-0.3016
11,0.3417
12,0.02784
13,-0.2391
14,0.1966
15,-0.1532
16,0.03225
17,-0.01647
18,-0.09279
19,0.0585
20,-0.04313
21,-0.507
22,0.2293
23,-0.08218
24,0.4259
25,-0.2085
26,-0.1055
27,0.1241
28,0.257
29,-0.176
30,-0.08313
31,0.1689
32,0.2462
33,0.08937
34,-0.01413
35,-0.02786
36,0.1802
37,0.01205
38,0.001294
39,0.02152
40,-0.4839
41,0.1188
42,-0.143
43,0.1839
44,0.03228
45,-0.2401
46,-0.07727
47,0.176
48,0.219
49,0.2463
50,0.07899
51,-0.07193
52,-0.1337
53,0.2383
54,0.09217
55,0.03815
56,0.003063
57,-0.0118
58,-0.1927
59,0.04694
60,0.1552
61,-0.09243
62,-0.2639
63,0.1397
64,0.03254
65,-0.212
66,0.0265
67,-0.1784
68,0.1585
69,0.3432
70,-0.1167
71,-0.01682
72,0.1261
73,-0.2446
74,0.2099
75,-0.1457
76,-0.218
77,0.1228
78,-0.03829
79,0.2063
80,-0.05579
81,-0.0139
82,0.1955
83,0.06444
84,-0.0003625
85,-0.1207
86,-0.3907
87,0.05888
88,-0.2946
89,0.167
90,0.1616
91,-0.06353
92,0.2202
93,-0.1411
94,-0.02115
95,0.1283
96,-0.1127
97,-0.2645
98,0.2051
99,-0.1607
100,-0.02668
101,0.1812
102,-0.06342
103,0.03514
104,-0.1499
105,0.1671
106,0.06087
107,-0.02876
108,0.07665
109,-0.06027
110,-0.2157
111,0.1895
112,-0.1058
113,-0.1891
114,0.217
115,0.125
116,0.05847
117,-0.07039
118,0.02642
119,0.2166
120,-0.1471
121,0.1847
122,0.1383
123,-0.1094
124,-0.08296
125,0.0272
126,0.004879
127,-0.07054
128,0.09117
129,-0.2556
130,-0.02375
131,0.1674
132,-0.04417
133,-0.01816
134,0.2179
135,-0.2079
136,0.08384
137,-0.2095
138,-0.1958
139,0.03496
140,-0.04415
141,0.0474
142,-0.06641
143,-0.03531
144,0.114
145,0.02694
146,0.01776
147,0.4647
148,-0.07425
149,0.1502
150,0.2687
151,0.1464
152,0.006653
153,0.1071
154,0.09103
155,0.06231
156,0.1296
157,0.0124
158,0.002715
159,0.1315
160,0.1153
