t,cost
10,4.588
20,5.09067
30,4.63333
40,4.56667
50,4.5
60,4.57467
70,4.23733
80,3.87867
90,3.96933
100,4.064
110,4.09333
120,3.81067
130,3.728
140,3.916
150,4.21333
160,4.05067
170,3.86267
180,4.08133
190,3.732
200,4.37333
210,4.588
220,4.47467
230,5.284
240,5.85067
250,6.09733
260,5.884
270,6.17333
280,6.364
290,5.81467
300,6.15333
310,5.96533
320,5.18533
330,5.52267
340,5.18267
350,5.60267
360,5.74267
370,4.66
380,4.76267
390,4.824
400,5.068
410,4.524
420,4.51333
430,4.17067
440,4.02133
450,3.70533
460,3.92933
470,3.68
480,3.64
490,3.58
500,3.52
510,4.12267
520,4.788
530,4.372
540,4.60933
550,5.27467
560,4.29333
570,3.916
580,3.95467
590,3.61733
600,3.852
610,4.20533
620,4.244
630,4.42267
640,4.33467
650,4.70933
660,3.93333
670,4.028
680,3.632
690,3.93733
700,4.42133
710,4.44533
720,4.00133
730,4.632
740,4.68133
750,4.54133
760,3.74667
770,3.71067
780,4.47733
790,4.1
800,3.75733
810,3.81733
820,4.00667
830,4.74533
840,6.64533
850,6.37333
860,5.72133
870,6.00667
880,5.68933
890,5.512
900,5.31867
910,5.28933
920,6.036
930,5.97733
940,5.74133
950,5.59067
960,6.464
970,7.148
980,7.492
990,7.15067
1000,6.31333
1010,5.928
1020,5.524
1030,5.82667
1040,5.42667
1050,5.39067
1060,6.06267
1070,6.88667
1080,6.42533
1090,6.008
1100,5.16133
1110,4.732
1120,5.224
1130,4.64267
1140,5.48
1150,5.832
1160,5.41467
1170,5.38267
1180,6.664
1190,6.20667
1200,6.03733
1210,7.58667
1220,8.19867
1230,7.148
1240,6.12133
1250,5.48667
1260,5.46667
1270,4.372
1280,4.528
1290,5.07333
1300,4.58533
1310,4.292
1320,3.88933
1330,4.26
1340,4.288
1350,4.47067
1360,4.732
1370,4.49467
1380,5.00533
1390,6.48133
1400,5.876
1410,5.16667
1420,4.592
1430,5.55333
1440,4.94267
1450,5.00933
1460,6.152
1470,5.64133
1480,6.24
1490,5.74533
1500,6.12533
1510,4.85867
1520,5.11467
1530,5
1540,4.96
1550,4.636
1560,5.30133
1570,4.65067
1580,4.79333
1590,4.60267
1600,3.90933
1610,3.67733
1620,3.816
1630,4.19067
1640,3.80133
1650,3.68533
1660,3.62
1670,3.58133
1680,3.61467
1690,3.67867
1700,3.54267
1710,3.55067
1720,3.576
1730,3.46933
1740,3.42267
1750,3.38267
1760,3.33733
1770,3.50533
1780,3.97733
1790,4.57867
1800,4.4
1810,4.30933
1820,4.19733
1830,3.73867
1840,3.50933
1850,3.51733
1860,3.92667
1870,3.55733
1880,3.69867
1890,3.64667
1900,3.85867
1910,5.03867
1920,6.36667
1930,5.248
1940,5.992
1950,6.77733
1960,6.284
1970,5.68133
1980,5.36133
1990,4.8
2000,5.12133
2010,5.76133
2020,6.46533
2030,5.90667
2040,4.996
2050,4.368
