t,walltime
10,34.41
20,38.18
30,34.75
40,34.25
50,33.75
60,34.31
70,31.78
80,29.09
90,29.77
100,30.48
110,30.7
120,28.58
130,27.96
140,29.37
150,31.6
160,30.38
170,28.97
180,30.61
190,27.99
200,32.8
210,34.41
220,33.56
230,39.63
240,43.88
250,45.73
260,44.13
270,46.3
280,47.73
290,43.61
300,46.15
310,44.74
320,38.89
330,41.42
340,38.87
350,42.02
360,43.07
370,34.95
380,35.72
390,36.18
400,38.01
410,33.93
420,33.85
430,31.28
440,30.16
450,27.79
460,29.47
470,27.6
480,27.3
490,26.85
500,26.4
510,30.92
520,35.91
530,32.79
540,34.57
550,39.56
560,32.2
570,29.37
580,29.66
590,27.13
600,28.89
610,31.54
620,31.83
630,33.17
640,32.51
650,35.32
660,29.5
670,30.21
680,27.24
690,29.53
700,33.16
710,33.34
720,30.01
730,34.74
740,35.11
750,34.06
760,28.1
770,27.83
780,33.58
790,30.75
800,28.18
810,28.63
820,30.05
830,35.59
840,49.84
850,47.8
860,42.91
870,45.05
880,42.67
890,41.34
900,39.89
910,39.67
920,45.27
930,44.83
940,43.06
950,41.93
960,48.48
970,53.61
980,56.19
990,53.63
1000,47.35
1010,44.46
1020,41.43
1030,43.7
1040,40.7
1050,40.43
1060,45.47
1070,51.65
1080,48.19
1090,45.06
1100,38.71
1110,35.49
1120,39.18
1130,34.82
1140,41.1
1150,43.74
1160,40.61
1170,40.37
1180,49.98
1190,46.55
1200,45.28
1210,56.9
1220,61.49
1230,53.61
1240,45.91
1250,41.15
1260,41
1270,32.79
1280,33.96
1290,38.05
1300,34.39
1310,32.19
1320,29.17
1330,31.95
1340,32.16
1350,33.53
1360,35.49
1370,33.71
1380,37.54
1390,48.61
1400,44.07
1410,38.75
1420,34.44
1430,41.65
1440,37.07
1450,37.57
1460,46.14
1470,42.31
1480,46.8
1490,43.09
1500,45.94
1510,36.44
1520,38.36
1530,37.5
1540,37.2
1550,34.77
1560,39.76
1570,34.88
1580,35.95
1590,34.52
1600,29.32
1610,27.58
1620,28.62
1630,31.43
1640,28.51
1650,27.64
1660,27.15
1670,26.86
1680,27.11
1690,27.59
1700,26.57
1710,26.63
1720,26.82
1730,26.02
1740,25.67
1750,25.37
1760,25.03
1770,26.29
1780,29.83
1790,34.34
1800,33
1810,32.32
1820,31.48
1830,28.04
1840,26.32
1850,26.38
1860,29.45
1870,26.68
1880,27.74
1890,27.35
1900,28.94
1910,37.79
1920,47.75
1930,39.36
1940,44.94
1950,50.83
1960,47.13
1970,42.61
1980,40.21
1990,36
2000,38.41
2010,43.21
2020,48.49
2030,44.3
2040,37.47
2050,32.76
