ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.50806,0.0178241,null,null,null
0.452062,null,0.000957705,null,null
0.331894,0.0178947,null,null,null
0.333421,null,0.0333246,null,null
0.301934,-0.0577215,null,null,null
0.266531,null,-0.050925,null,null
0.219574,-0.0416738,null,null,null
0.219373,null,-0.05831,null,null
0.202658,-0.0316733,null,null,null
0.211549,null,-0.132827,null,null
0.195022,-0.028282,null,null,null
0.19402,null,-0.103155,null,null
0.182033,0.00436601,null,null,null
0.180079,null,-0.0907515,null,null
0.161475,0.0437302,null,null,null
0.230576,null,-0.0441865,null,null
0.180649,0.036436,null,null,null
0.181641,null,-0.057565,null,null
0.188024,0.0094476,null,null,null
0.154637,null,0.0085824,null,null
0.14259,0.0258029,null,null,null
0.132542,null,-0.0278641,null,null
0.197502,-0.0251265,null,null,null
0.105139,null,-0.0170182,null,null
0.15572,-0.0222191,null,null,null
0.159839,null,0.00903635,null,null
0.197837,0.0054879,null,null,null
0.111777,null,0.065652,null,null
0.182096,-0.00410432,null,null,null
0.134418,null,0.0238283,null,null
0.171098,0.0259631,null,null,null
0.135541,null,0.0439068,null,null
0.176426,-0.0589515,null,null,null
0.126264,null,-0.044066,null,null
0.187915,-0.0128319,null,null,null
0.1691,null,-0.0174931,null,null
0.179884,-0.068356,null,null,null
0.136744,null,-0.0397656,null,null
0.0738465,-0.067111,null,null,null
0.151933,null,0.0250783,null,null
0.128858,0.0104046,null,null,null
0.187753,null,-0.035991,null,null
0.146665,-0.00485599,null,null,null
0.177139,null,0.0456454,null,null
0.128153,-0.0461461,null,null,null
0.151465,null,0.056353,null,null
0.157034,-0.0069052,null,null,null
0.113091,null,0.0246153,null,null
0.120691,0.0251273,null,null,null
0.157877,null,0.0935825,null,null
0.174677,-0.00239258,null,null,null
0.150239,null,0.036522,null,null
0.174677,-0.00239258,null,null,null
0.150239,null,0.036522,null,null
0.124018,0.0073038,null,null,null
0.217472,null,0.019048,null,null
0.120125,-0.0093159,null,null,null
0.186884,null,-0.0429776,null,null
0.168531,-0.0463672,null,null,null
0.138661,null,-0.078977,null,null
0.168531,-0.0463672,null,null,null
0.138661,null,-0.078977,null,null
0.168531,-0.0463672,null,null,null
0.138661,null,-0.078977,null,null
0.208399,-0.00169261,null,null,null
0.208022,null,-0.021032,null,null
0.151264,0.00225912,null,null,null
0.147068,null,0.0121975,null,null
0.159247,0.0172385,null,null,null
0.124486,null,0.0311073,null,null
0.142746,0.0714075,null,null,null
0.102217,null,-0.0121638,null,null
0.0941595,0.0626405,null,null,null
0.155078,null,0.0389081,null,null
0.093764,0.0353106,null,null,null
0.15805,null,0.07533,null,null
0.133968,0.0347965,null,null,null
0.150622,null,0.0410107,null,null
0.134927,0.0267761,null,null,null
0.183819,null,-0.00324544,null,null
0.11563,0.0072273,null,null,null
0.141826,null,0.016764,null,null
0.162575,0.094039,null,null,null
0.189771,null,0.0457893,null,null
0.154263,0.0554455,null,null,null
0.190352,null,0.0283983,null,null
0.109903,0.0658205,null,null,null
0.152791,null,0.00431475,null,null
0.115135,0.0162333,null,null,null
0.177649,null,0.000225528,null,null
0.0297995,0.065431,null,null,null
0.152589,null,-0.0123883,null,null
0.112416,0.113774,null,null,null
0.138327,null,0.000587255,null,null
0.170383,0.164124,null,null,null
0.0752645,null,0.032036,null,null
0.128194,0.0846095,null,null,null
0.147507,null,0.065039,null,null
0.153581,0.109484,null,null,null
0.132477,null,0.039632,null,null
0.108495,0.158981,null,null,null
0.11893,null,-0.0275792,null,null
0.074971,0.140046,null,null,null
0.117336,null,0.0303761,null,null
0.066748,0.145862,null,null,null
0.126477,null,0.0315766,null,null
0.0615965,0.118919,null,null,null
0.15021,null,0.00995845,null,null
0.075906,0.218979,null,null,null
0.149513,null,-0.0311136,null,null
0.077429,0.145997,null,null,null
0.209601,null,-0.0344035,null,null
0.095016,0.151766,null,null,null
0.156018,null,0.0123361,null,null
0.092302,0.138707,null,null,null
0.189078,null,0.0248499,null,null
0.0362186,0.087974,null,null,null
0.17791,null,0.0410549,null,null
0.108088,0.124017,null,null,null
0.224554,null,0.0255119,null,null
0.118437,0.135422,null,null,null
0.204138,null,0.052782,null,null
0.0324851,0.118436,null,null,null
0.158177,null,0.0130679,null,null
0.114049,0.139674,null,null,null
0.143956,null,-0.0293879,null,null
0.127081,0.113972,null,null,null
0.189461,null,-0.0401061,null,null
0.0617635,0.133771,null,null,null
0.132635,null,0.0353762,null,null
0.104476,0.075077,null,null,null
0.137806,null,-0.062197,null,null
0.0329475,0.0602465,null,null,null
0.17188,null,0.0407056,null,null
0.111004,0.0859905,null,null,null
0.180981,null,-0.0301818,null,null
0.083318,0.113147,null,null,null
0.299588,null,0.0233774,null,null
0.056949,0.0974935,null,null,null
0.172125,null,0.065331,null,null
0.0336286,0.0401721,null,null,null
0.157724,null,0.107246,null,null
0.0362232,0.0807235,null,null,null
0.152667,null,0.0754,null,null
0.0632235,0.062567,null,null,null
0.144721,null,0.077088,null,null
-0.00525675,0.0532775,null,null,null
0.193045,null,0.053571,null,null
-0.029585,0.061118,null,null,null
0.163422,null,0.0546575,null,null
-0.0217601,0.062328,null,null,null
0.134033,null,0.066708,null,null
-0.0458896,0.0674805,null,null,null
0.116559,null,0.0332414,null,null
-0.0934225,0.050749,null,null,null
0.10023,null,0.0084603,null,null
-0.0465061,0.053042,null,null,null
0.179584,null,-0.0323983,null,null
-0.0278952,0.0663175,null,null,null
0.153114,null,0.0066133,null,null
0.00986155,0.052047,null,null,null
0.151532,null,0.0126883,null,null
-0.0355069,0.0799025,null,null,null
0.156369,null,-0.00318999,null,null
0.0351764,0.0780425,null,null,null
0.222444,null,0.00825805,null,null
0.0252556,0.119238,null,null,null
0.191036,null,-0.00107406,null,null
0.05455,0.119752,null,null,null
0.21415,null,0.0289871,null,null
0.0271053,0.139388,null,null,null
0.18262,null,0.058493,null,null
0.0132575,0.0955835,null,null,null
0.257546,null,0.0118603,null,null
0.0253507,0.075704,null,null,null
0.236782,null,-0.0179539,null,null
0.0319533,0.0611975,null,null,null
0.159355,null,-0.072524,null,null
-0.00396991,0.110185,null,null,null
0.104917,null,-0.0820525,null,null
0.0741305,0.070438,null,null,null
0.210783,null,-0.114025,null,null
0.0388123,0.0689205,null,null,null
0.146511,null,-0.105327,null,null
0.0472578,0.0632255,null,null,null
0.211227,null,-0.116577,null,null
0.0788,0.0213251,null,null,null
0.144301,null,-0.0450781,null,null
-0.0074691,0.0438564,null,null,null
0.176169,null,-0.0296291,null,null
0.0270353,0.0817435,null,null,null
0.202183,null,-0.0521335,null,null
0.0235724,0.114079,null,null,null
0.166015,null,-0.0408801,null,null
0.0166704,0.106208,null,null,null
0.140271,null,-0.0452649,null,null
-0.0349816,0.120687,null,null,null
0.110312,null,-0.0708485,null,null
0.0393365,0.0676405,null,null,null
0.14366,null,-0.089664,null,null
0.0393365,0.0676405,null,null,null
0.14366,null,-0.089664,null,null
-0.0094247,0.070593,null,null,null
0.163443,null,-0.0643455,null,null
-0.0187087,0.0828175,null,null,null
0.0926195,null,-0.083029,null,null
-0.0320587,0.075437,null,null,null
-0.00312693,null,-0.0301006,null,null
-0.0459671,0.0485292,null,null,null
0.0632265,null,-0.0396869,null,null
-0.0647165,0.0321786,null,null,null
0.058061,null,-0.0439121,null,null
-0.103138,0.0418787,null,null,null
0.0896455,null,0.0129219,null,null
-0.018499,0.0591085,null,null,null
0.101547,null,-0.0203998,null,null
-0.0259793,0.031216,null,null,null
0.139512,null,-0.061613,null,null
-0.084368,0.0864795,null,null,null
0.174493,null,-0.0499288,null,null
-0.0241342,0.0318118,null,null,null
0.175436,null,-0.0457909,null,null
0.0508045,0.050269,null,null,null
0.176429,null,0.0112174,null,null
0.00806885,0.0722505,null,null,null
0.19497,null,-0.0125495,null,null
0.00962515,0.064187,null,null,null
0.171668,null,-0.0429997,null,null
0.0246837,0.087951,null,null,null
0.204965,null,-0.0188438,null,null
0.0147882,0.077031,null,null,null
0.22301,null,0.0114786,null,null
-0.00686615,0.07149,null,null,null
0.13198,null,-0.0432261,null,null
-0.0158568,0.068147,null,null,null
0.168574,null,-0.0585775,null,null
-0.0158568,0.068147,null,null,null
0.168574,null,-0.0585775,null,null
-0.053076,0.11293,null,null,null
0.205451,null,-0.0928615,null,null
-0.0434364,0.0401528,null,null,null
0.172832,null,-0.0434862,null,null
-0.0259119,0.0611835,null,null,null
0.154896,null,-0.050434,null,null
-0.084841,0.0270711,null,null,null
0.152781,null,-0.0158554,null,null
-0.143982,-0.0398499,null,null,null
0.138003,null,-0.0152339,null,null
-0.146666,-0.0455305,null,null,null
0.160158,null,-0.050739,null,null
-0.0936245,-0.0151887,null,null,null
0.15762,null,0.0451121,null,null
-0.079298,-0.0220768,null,null,null
0.199196,null,0.021798,null,null
-0.061873,0.079234,null,null,null
0.148204,null,0.0361438,null,null
-0.051637,0.0373131,null,null,null
0.122076,null,0.067983,null,null
-0.066542,0.0232923,null,null,null
0.154572,null,0.069022,null,null
-0.00686995,0.072327,null,null,null
0.110941,null,0.0885715,null,null
-0.0384679,0.0469902,null,null,null
0.063216,null,0.105794,null,null
-0.0135003,0.0308079,null,null,null
0.122567,null,0.103004,null,null
-0.00307064,0.0112221,null,null,null
0.0951465,null,0.071066,null,null
-0.0339957,0.0378317,null,null,null
0.0693665,null,0.098739,null,null
-0.0470942,0.0438956,null,null,null
0.119779,null,0.122471,null,null
-0.0218714,0.0320122,null,null,null
0.137697,null,0.0914285,null,null
0.0172138,0.0437171,null,null,null
0.143395,null,0.0471522,null,null
-0.0702085,0.0198399,null,null,null
0.0951405,null,0.0449702,null,null
-0.0734535,0.0321893,null,null,null
0.103564,null,0.118803,null,null
-0.0087305,0.0890515,null,null,null
0.103849,null,0.12057,null,null
-0.0309931,-0.0202428,null,null,null
0.086733,null,0.106066,null,null
