MDTU,min_width,max_width
1,0.161559,0.0979033
2,0.203628,0.114794
3,0.22301,0.120025
4,0.241013,0.123772
5,0.256297,0.128905
6,0.269931,0.131306
7,0.266639,0.132906
8,0.269004,0.131973
9,0.26529,0.128999
10,0.271268,0.131799
11,0.27776,0.133429
12,0.275597,0.131204
13,0.280718,0.134203
14,0.268265,0.130706
15,0.276155,0.133565
16,0.273194,0.130336
17,0.277253,0.132679
18,0.271891,0.133618
19,0.276657,0.133065
20,0.265644,0.13203
21,0.277047,0.133721
22,0.274522,0.136474
23,0.279567,0.134957
24,0.275179,0.13239
25,0.273784,0.134222
26,0.276795,0.136298
27,0.276795,0.136298
28,0.268433,0.135029
29,0.278878,0.135186
30,0.27826,0.134545
31,0.27826,0.134545
32,0.27826,0.134545
33,0.280093,0.13438
34,0.278063,0.134687
35,0.277523,0.136252
36,0.275045,0.133996
37,0.273632,0.134209
38,0.272474,0.132168
39,0.266299,0.134347
40,0.282414,0.135812
41,0.279298,0.136826
42,0.274072,0.135764
43,0.278554,0.136416
44,0.270796,0.133505
45,0.276378,0.133587
46,0.279415,0.136821
47,0.262574,0.132497
48,0.266567,0.132221
49,0.277351,0.13272
50,0.277878,0.136453
51,0.28172,0.134402
52,0.271443,0.130943
53,0.274509,0.135155
54,0.282794,0.136995
55,0.290206,0.136595
56,0.290643,0.132864
57,0.283358,0.134318
58,0.283295,0.134432
59,0.282497,0.135097
60,0.28571,0.133756
61,0.27819,0.135205
62,0.275541,0.132095
63,0.287014,0.135932
64,0.283234,0.138154
65,0.286151,0.136876
66,0.284877,0.137506
67,0.2967,0.136951
68,0.288913,0.137274
69,0.287476,0.136337
70,0.290573,0.137461
71,0.295123,0.137133
72,0.299321,0.135559
73,0.293838,0.13757
74,0.297683,0.139741
75,0.292517,0.137641
76,0.294016,0.13896
77,0.295532,0.135408
78,0.298677,0.136321
79,0.295736,0.136675
80,0.292703,0.13783
81,0.295743,0.136641
82,0.307949,0.139331
83,0.310187,0.137987
84,0.30019,0.136571
85,0.291228,0.135965
86,0.294592,0.136209
87,0.293433,0.133278
88,0.286518,0.13458
89,0.289035,0.13359
90,0.282768,0.133465
91,0.288851,0.136213
92,0.284212,0.133104
93,0.278565,0.133803
94,0.279532,0.132024
95,0.290666,0.135132
96,0.284103,0.133484
97,0.289132,0.135037
98,0.286025,0.134049
99,0.289567,0.133188
100,0.28796,0.137765
101,0.28796,0.137765
102,0.285454,0.137604
103,0.29609,0.137454
104,0.294995,0.140123
105,0.293936,0.141379
106,0.289875,0.139187
107,0.282683,0.137414
108,0.287462,0.135284
109,0.294048,0.137379
110,0.2805,0.137917
111,0.281489,0.136079
112,0.274478,0.134418
113,0.287492,0.134331
114,0.274734,0.13479
115,0.276646,0.135627
116,0.278756,0.137204
117,0.279556,0.13469
118,0.276326,0.13386
119,0.276326,0.13386
120,0.288674,0.137447
121,0.27605,0.134119
122,0.274383,0.135981
123,0.278724,0.135761
124,0.2806,0.137467
125,0.280331,0.132917
126,0.270915,0.133513
127,0.275912,0.133803
128,0.284938,0.134223
129,0.28668,0.134126
130,0.277321,0.134918
131,0.282383,0.132764
132,0.283021,0.132425
133,0.276341,0.13309
134,0.278032,0.133038
135,0.27886,0.132119
