MDTU,min_min,min_max,max_min,max_max5
1,-1.20487,0.300597,-0.318126,0.576063
2,-2.26782,0.320502,-0.334105,0.646033
3,-2.88389,0.380174,-0.377052,0.637795
4,-3.48899,0.326598,-0.477355,0.674503
5,-3.11138,0.348183,-0.349834,0.659465
6,-3.04696,0.332888,-0.708731,0.635256
7,-2.43229,0.366168,-0.49557,0.638459
8,-4.78324,0.3358,-0.527591,0.636785
9,-3.76235,0.33962,-0.529333,0.62838
10,-3.08305,0.33511,-0.385953,0.634214
11,-5.65895,0.336291,-0.483649,0.682155
12,-3.142,0.368543,-0.571756,0.656469
13,-3.59501,0.367855,-0.412541,0.68647
14,-2.74968,0.388006,-0.470087,0.638117
15,-3.61486,0.372516,-0.494616,0.691822
16,-2.69053,0.313663,-0.411498,0.632578
17,-5.23378,0.360552,-0.455703,0.71826
18,-4.67779,0.327121,-0.367269,0.661225
19,-4.13498,0.36953,-0.409949,0.63336
20,-3.36267,0.328116,-0.414263,0.644077
21,-2.56797,0.314384,-0.65103,0.650206
22,-2.31688,0.35235,-0.538895,0.643726
23,-3.13883,0.330767,-0.50768,0.662823
24,-2.50316,0.451564,-0.613936,0.671338
25,-3.0723,0.386713,-0.576425,0.662982
26,-2.56854,0.356883,-0.709029,0.643099
27,-2.56854,0.356883,-0.709029,0.643099
28,-2.64902,0.396106,-0.397733,0.627241
29,-3.41209,0.448486,-0.454792,0.662557
30,-3.14112,0.340109,-0.436002,0.635338
31,-3.14112,0.340109,-0.436002,0.635338
32,-3.14112,0.340109,-0.436002,0.635338
33,-3.62885,0.363522,-0.439634,0.695685
34,-2.74473,0.350423,-0.471852,0.635563
35,-3.28017,0.345433,-0.393042,0.736018
36,-3.02736,0.329795,-0.408296,0.666353
37,-3.21879,0.387313,-0.54325,0.667377
38,-5.45413,0.348952,-0.341229,0.668406
39,-2.60467,0.330337,-0.448804,0.613967
40,-3.70243,0.366622,-0.659562,0.703332
41,-2.94159,0.389541,-0.619671,0.655061
42,-2.9042,0.384409,-0.478933,0.680976
43,-3.21221,0.436091,-0.427964,0.617738
44,-3.30218,0.374592,-0.511134,0.650979
45,-3.05158,0.391205,-0.497988,0.657528
46,-5.75473,0.348106,-0.539464,0.653832
47,-3.4007,0.410324,-0.483221,0.611855
48,-2.42177,0.390846,-0.538286,0.664056
49,-3.72547,0.36841,-0.643275,0.671235
50,-2.88266,0.385732,-0.504617,0.717688
51,-4.23639,0.348681,-0.615768,0.642008
52,-3.37095,0.365317,-0.519205,0.736089
53,-2.98788,0.318586,-0.489986,0.69552
54,-3.04097,0.394109,-0.5814,0.657871
55,-3.22757,0.335221,-0.388361,0.681026
56,-3.8973,0.327538,-0.497795,0.657177
57,-2.81048,0.376003,-0.350565,0.657709
58,-3.28798,0.359537,-0.377253,0.672389
59,-2.96884,0.374626,-0.42107,0.682054
60,-4.40703,0.367134,-0.630608,0.674621
61,-3.40713,0.301891,-0.361942,0.679894
62,-2.7882,0.371829,-0.357139,0.685407
63,-3.05114,0.361874,-0.55164,0.655771
64,-3.28265,0.338324,-0.465161,0.715352
65,-3.83385,0.343302,-0.426802,0.670763
66,-3.01064,0.338322,-0.579336,0.64876
67,-3.983,0.411646,-0.686744,0.688662
68,-3.0783,0.357755,-0.706029,0.668785
69,-4.45575,0.40491,-0.415985,0.657246
70,-2.93771,0.366951,-0.773316,0.667716
71,-4.92339,0.406439,-0.505102,0.651603
72,-4.15095,0.346477,-0.563297,0.667824
73,-3.05969,0.37519,-0.474208,0.700603
74,-4.00854,0.391421,-0.563315,0.678962
75,-4.41509,0.41629,-0.515485,0.679174
76,-2.93279,0.374106,-0.50054,0.672079
77,-3.7994,0.399634,-0.503506,0.641252
78,-3.95312,0.352257,-0.472201,0.686011
79,-3.27399,0.37745,-0.39559,0.662107
80,-3.17016,0.351834,-0.491878,0.669304
81,-2.81471,0.382669,-0.499796,0.682816
82,-3.20921,0.415321,-0.471431,0.680066
83,-4.11776,0.371603,-0.37761,0.652425
84,-2.68327,0.367043,-0.545413,0.686372
85,-2.74559,0.395824,-0.428567,0.666187
86,-3.15333,0.390012,-0.519977,0.66133
87,-3.74628,0.402947,-0.484608,0.705515
88,-3.84159,0.388654,-0.536711,0.689006
89,-2.85121,0.360717,-0.540699,0.648826
90,-3.22287,0.387566,-0.49051,0.642348
91,-4.05108,0.402802,-0.58533,0.630208
92,-3.12442,0.346358,-0.453196,0.635799
93,-2.69642,0.408688,-0.417325,0.658832
94,-3.21808,0.363089,-0.464632,0.687154
95,-3.52327,0.359444,-0.398515,0.674286
96,-2.91235,0.386962,-0.369238,0.666176
97,-3.11122,0.390613,-0.479896,0.682917
98,-3.52469,0.387415,-0.316841,0.696926
99,-3.10548,0.386756,-0.452202,0.636567
100,-2.9234,0.375943,-0.520545,0.658116
101,-2.9234,0.375943,-0.520545,0.658116
102,-2.76747,0.350801,-0.459696,0.64303
103,-3.75388,0.372405,-0.496539,0.629921
104,-3.19999,0.403992,-0.593972,0.635941
105,-4.05616,0.368085,-0.515706,0.685272
106,-3.08256,0.421433,-0.478736,0.647361
107,-3.11178,0.364853,-0.504482,0.640613
108,-3.09263,0.406829,-0.441919,0.653352
109,-4.53977,0.345285,-0.543739,0.656297
110,-3.21817,0.393922,-0.522076,0.67663
111,-3.62598,0.354039,-0.427324,0.650859
112,-3.68919,0.380834,-0.338291,0.639386
113,-3.59524,0.332378,-0.498304,0.690064
114,-3.24365,0.343233,-0.433686,0.67367
115,-3.51703,0.3544,-0.4245,0.653079
116,-3.73174,0.341296,-0.432988,0.644573
117,-3.76992,0.384268,-0.485575,0.691538
118,-3.52851,0.348001,-0.605269,0.712257
119,-3.52851,0.348001,-0.605269,0.712257
120,-3.49959,0.397847,-0.51241,0.70446
121,-2.56518,0.351824,-0.540064,0.638344
122,-3.35744,0.336023,-0.322307,0.645657
123,-3.19123,0.373412,-0.394621,0.654493
