t,e^(-dS)
457,0.933821
458,1.00845
459,1.04197
460,1.01904
461,1.08638
462,0.802599
463,0.954106
464,1.05907
465,1.27011
466,0.85257
467,1.21264
468,1.16801
469,1.29758
470,1.08176
471,0.707583
472,0.899515
473,0.849082
474,1.36957
475,0.9445
476,1.00072
477,1.03034
478,1.13428
479,1.29823
480,0.761473
481,1.20816
482,1.43864
483,0.975973
484,1.04016
485,1.14374
486,0.919275
487,1.04843
488,1.03041
489,0.861483
490,0.776235
491,1.32128
492,1.02649
493,0.927372
494,0.871012
495,0.893508
496,1.17515
497,0.974296
498,0.652398
499,1.21884
500,1.22067
501,0.709213
502,0.836691
503,0.762159
504,0.870141
505,0.739338
506,0.754953
507,0.924382
508,0.897358
509,0.988872
510,1.21604
511,0.987055
512,0.775304
513,0.711343
514,1.10561
515,1.49377
516,0.752767
517,0.795408
518,1.03675
519,1.12389
520,0.847978
521,0.968555
522,1.02501
523,0.884175
524,1.05643
525,0.906087
526,1.16859
527,0.964148
528,1.20659
529,1.00745
530,0.924382
531,1.0219
532,0.817177
533,0.780048
534,1.23368
535,1.34891
536,0.873366
537,0.971815
538,0.850101
539,0.993863
540,0.804286
541,0.966088
542,1.32896
543,0.934728
544,1.03752
545,0.928783
546,0.970979
547,0.753746
548,1.02951
549,0.963724
550,1.02642
551,0.726512
552,0.919128
553,1.12446
554,0.859934
555,0.80292
556,0.850186
557,0.974053
558,0.942744
559,1.09623
560,1.20695
561,0.734181
562,0.888163
563,0.963676
564,1.20539
565,0.688665
566,1.18341
567,0.915248
568,0.856158
569,0.759496
570,1.10495
571,1.18554
572,1.11171
573,0.784193
574,0.927846
575,1.25095
576,0.924974
577,1.08878
578,0.891455
579,1.49646
580,0.965528
581,1.4229
582,1.06224
583,1.25095
584,0.824977
585,0.843665
586,1.17892
587,1.25245
588,0.807914
589,0.889585
590,1.13122
591,0.996989
592,1.0678
593,1.40326
594,0.81734
595,1.06029
596,1.13917
597,0.675231
598,0.873978
599,0.942547
600,1.01546
601,1.05826
602,1.12277
603,0.937771
604,0.985802
605,0.920397
606,0.819222
607,0.776779
608,1.00318
609,1.0805
610,0.846877
611,0.903933
612,0.908855
613,1.03164
614,1.0293
615,0.781766
616,1.22593
617,1.26504
618,0.816197
619,1.03844
620,0.765137
